DateTime,AddedIPs,RemovedIPs
1506373635,3,3
1506377242,1,3
1506380843,3,6
1506384462,7,0
1506388037,0,2
1506391665,1,0
1506395240,0,3
1506398821,5,3
1506402455,0,5
1506406047,1,2
1506409639,3,0
1506413244,1,26
1506416833,24,6
1506420443,7,1
1506424022,4,0
1506431249,1,3
1506434843,0,2
1506438455,0,6
1506442051,2,0
1506445637,7,3
1506452826,2,1
1506456441,1,1
1506460047,5,3
1506463635,1,2
1506467240,1,32
1506470878,4,2
1506474442,6,13
1506478046,36,0
1506481651,0,2
1506485231,0,1
1506488848,1,2
1506492428,4,9
1506496054,2,2
1506503262,7,0
1506506838,1,19
1506510416,20,3
1506514044,3,0
1506517667,1,1
1506524847,0,21
1506528422,17,4
1506532048,1,1
1506535640,3,2
1506539248,2,1
1506542844,2,26
1506546449,26,1
1506550036,4,1
1506553645,1,0
1506557277,2,2
1506560881,0,32
1506564465,0,5
1506568053,36,1
1506571668,0,2
1506575241,5,1
1506582449,2,2
1506586063,0,2
1506589674,0,4
1506593251,7,2
1506596868,0,7
1506600471,2,0
1506604056,5,0
1506607652,3,2
1506611251,1,0
1506614845,4,1
1506618459,0,6
1506622055,5,2
1506625652,2,1
1506629283,0,2
1506632849,3,0
1506647237,2,4
1506650844,1,2
1506654474,1,1
1506658063,1,4
1506661639,5,6
1506665262,5,1
1506668851,1,0
1506672448,1,1
1506679653,2,0
1506683279,2,0
1506686887,0,1
1506690448,2,3
1506694042,3,0
1506697658,0,2
1506701251,0,1
1506704873,1,3
1506708470,3,6
1506712046,5,3
1506715653,3,1
1506719242,1,1
1506722863,5,0
1506726464,1,1
1506730100,0,1
1506733662,0,1
1506737262,0,3
1506740848,2,0
1506744453,1,1
1506751656,1,2
1506755245,3,1
1506758858,0,1
1506762462,2,0
1506766044,1,2
1506769643,1,0
1506773261,0,1
1506776864,1,2
1506780453,2,2
1506784064,0,2
1506787635,1,0
1506791252,1,0
1506794855,2,4
1506798442,2,0
1506802063,2,1
1506805657,4,2
1506809242,1,2
1506812844,1,1
1506816487,1,0
1506823663,0,2
1506827262,1,3
1506830860,1,1
1506834453,0,1
1506838068,1,0
1506841643,2,1
1506845248,1,1
1506848835,1,0
1506852450,2,1
1506856061,0,2
1506859640,1,0
1506863259,1,1
1506866840,1,1
1506870448,0,1
1506874057,2,3
1506877659,2,2
1506884867,0,2
1506888438,1,1
1506892054,2,3
1506895665,1,2
1506899247,6,0
1506902903,3,5
1506906476,4,0
1506910052,0,1
1506913670,0,3
1506917258,1,2
1506920857,2,1
1506924454,1,1
1506928058,1,0
1506931656,0,2
1506935267,0,2
1506938840,2,1
1506942465,0,1
1506946048,1,1
1506949656,1,0
1506953250,3,1
1506956847,1,0
1506960450,0,3
1506964063,2,3
1506967672,2,1
1506971262,1,0
1506974848,1,0
1506978457,2,2
1506982068,0,3
1506985654,2,4
1506989289,6,3
1506992823,3,2
1506996440,1,0
1507000046,1,1
1507003635,0,1
1507007253,0,3
1507010841,1,3
1507014420,0,38
1507018018,36,1
1507021641,1,5
1507025241,9,1
1507032413,1,7
1507036038,5,1
1507039645,2,16
1507043236,0,1
1507046844,2,19
1507050433,37,3
1507054051,1,0
1507057652,3,0
1507061245,1,0
1507064848,0,7
1507068433,2,3
1507072033,1,15
1507075669,5,14
1507079257,3,10
1507082849,6,11
1507086435,27,0
1507090062,6,1
1507093645,7,2
1507097236,4,0
1507100842,2,2
1507104460,1,1
1507108043,0,9
1507111659,2,20
1507115250,3,5
1507118822,24,2
1507122463,1,2
1507126063,2,0
1507129630,2,0
1507133230,3,0
1507144029,2,1
1507147609,4,2
1507151231,1,0
1507154849,1,3
1507158458,1,6
1507162100,6,5
1507165655,4,11
1507169245,3,7
1507172860,2,10
1507176441,22,4
1507180055,1,7
1507183646,1,0
