DateTime,AddedIPs,RemovedIPs
1506438951,3,17
1506442529,6,8
1506446123,20,8
1506449765,7,6
1506453289,8,6
1506456940,10,3
1506460525,9,10
1506464128,2,7
1506467723,4,33
1506471365,18,9
1506474949,13,11
1506478540,36,4
1506482154,2,20
1506485703,2,3
1506489327,4,18
1506492899,10,14
1506496535,8,12
1506500136,10,5
1506503737,21,2
1506507316,6,18
1506510927,19,4
1506514528,5,5
1506518142,2,8
1506521722,3,10
1506525353,6,28
1506528913,22,12
1506532543,8,9
1506536132,9,7
1506539740,9,17
1506543343,3,34
1506546969,26,3
1506550520,17,9
1506554122,11,8
1506557767,39,2
1506561406,6,27
1506564974,7,19
1506568565,33,27
1506572184,5,9
1506575730,13,10
1506579347,7,14
1506582925,28,6
1506586575,6,7
1506590174,7,11
1506593749,10,4
1506597348,2,16
1506600963,5,5
1506604580,16,4
1506608150,8,8
1506611752,7,2
1506615338,8,2
1506618978,0,12
1506622545,11,11
1506626144,10,6
1506629784,1,8
1506633359,14,1
1506636972,6,3
1506640561,1,3
1506644243,19,3
1506647741,5,11
1506651338,7,2
1506654979,4,27
1506658577,4,10
1506662129,13,16
1506665748,5,6
1506669388,8,5
1506672951,8,6
1506676550,4,9
1506680150,6,2
1506683770,6,4
1506687410,11,5
1506690975,3,8
1506694549,8,4
1506698190,4,3
1506701771,3,17
1506705371,14,3
1506708968,5,8
1506712552,6,3
1506716153,10,3
1506719745,3,2
1506723380,8,8
1506726943,5,6
1506730663,26,7
1506734173,6,7
1506737767,1,10
1506741362,4,29
1506744980,18,11
1506748594,6,12
1506752155,9,9
1506755801,5,13
1506759412,17,15
1506762997,17,5
1506766571,16,6
1506770200,7,3
1506773804,10,6
1506777381,6,8
1506781002,5,14
1506784602,6,6
1506788164,9,4
1506791778,7,4
1506795375,7,4
1506798984,1,4
1506802583,2,6
1506806166,10,8
1506809762,4,19
1506813387,14,9
1506817020,43,2
1506820561,7,6
1506824211,2,5
1506827787,8,28
1506831381,1,6
1506835003,9,4
1506838621,8,4
1506842155,11,6
1506845806,5,4
1506849386,4,10
1506853036,9,7
1506856628,12,9
1506860225,4,4
1506863825,7,3
1506867411,5,12
1506871028,6,11
1506874631,11,8
1506878245,7,8
1506881785,3,8
1506885415,10,7
1506888949,5,14
