DateTime,AddedIPs,RemovedIPs
1507236042,3,4
1507237907,1,0
1507239862,2,2
1507241762,1,1
1507243671,1,1
1507245635,0,3
1507247959,1,1
1507249769,2,2
1507251649,1,1
1507253560,0,3
1507255473,1,1
1507257389,1,0
1507259298,3,1
1507261230,3,2
1507263138,2,1
1507265066,2,1
1507267197,1,2
1507269463,0,1
1507271512,0,2
1507273475,1,1
1507275394,3,3
1507277307,1,3
1507279234,9,1
1507281118,1,1
1507283195,5,5
1507285227,3,0
1507287148,2,0
1507289059,1,1
1507290977,1,2
1507292899,2,627
1507294851,3,1259
1507296758,3,638
1507298669,1,3
1507300604,0,3
1507302509,4,2
1507304610,2,0
1507306846,3,0
1507308769,10,0
1507310658,0,2
1507312643,1,0
1507314523,3,1
1507317604,5,2
1507319530,4,2
1507321494,1,2
1507323411,1,2
1507325330,0,3
1507327261,2,1
1507329212,1,1
1507331088,2,0
1507333021,4,1
1507334903,1,3
1507336883,4,3
1507339003,1,1
1507340911,0,2
1507342846,1,2
1507344746,2,3
1507346665,7,2
1507348582,0,1
1507350517,2,3
1507352433,3,1
1507354367,5,1
1507356301,1,3
1507358172,1,1
1507360135,7,1
1507362027,1,2
1507363994,1,1
1507365878,8,7
1507367823,4,2
1507369695,7,7
1507371675,4,0
1507373565,4,6
1507375538,0,3
1507377381,4,2
1507379419,3,6
1507381252,1,3
1507383230,4,4
1507385078,2,5
1507387024,2,2
1507388898,0,3
1507390890,0,3
1507392764,1,5
1507394756,2,5
1507396614,2,3
1507400440,1,5
1507402400,5,1
1507404261,1,1
1507406209,0,3
1507408101,2,1
1507410113,2,4
1507411962,0,2
1507413893,2,2
1507415791,3,1
1507417769,3,4
1507419640,2,0
1507421654,0,6
1507423480,2,8
1507425481,2,2
1507427320,4,1
1507431144,1,1
1507433182,2,6
1507434995,2,0
1507436994,0,1
1507439809,3,3
1507441712,3,4
1507443638,1,2
1507445550,1,2
1507447472,1,2
1507449392,7,3
1507451319,2,2
1507454214,12,7
1507456235,61,7
1507458037,53,4
1507460010,61,3
1507461866,26,1
1507463869,28,3
1507465701,26,4
1507467735,37,2
1507469572,9,3
1507471539,43,2
1507473382,9,1
1507475365,10,2
1507477409,24,2
1507479222,16,3
1507481067,32,5
1507483065,46,2
1507484899,52,0
1507487169,63,5
1507488971,26,2
1507490992,42,0
1507493806,76,1
1507495711,26,4
1507497624,115,1
1507499562,76,3
1507501715,63,2
1507503658,31,0
1507506575,5,7
1507508424,1,1
1507510449,1,3
1507512262,4,1
1507514296,6,2
1507516103,3,2
1507518197,4,2
1507520177,2,2
1507522097,3,2
1507524007,6,1
1507526213,2,4
1507528104,2,3
1507530039,5,1
1507531977,16,0
1507533881,4,1
1507535782,3,7
1507537703,18,2
1507539687,4,1
1507541565,3,35
1507543480,3,61
1507545386,1,52
1507547306,3,49
1507549242,0,22
1507551354,0,30
1507553321,0,48
1507555218,0,7
1507557137,4,23
1507559058,2,35
1507560989,4,5
1507562915,2,23
1507564927,0,14
1507566765,0,26
1507568688,1,39
1507570596,2,45
1507572752,0,61
1507574665,1,45
1507576593,3,33
1507578506,37,45
1507580455,9,48
1507582338,0,28
1507584362,2,122
1507586182,0,58
1507589300,2,81
1507591217,1,9
1507593132,3,0
1507595068,2,0
1507596871,0,1
1507598911,4,2
1507600811,3,5
1507602736,1,4
1507604664,1,0
1507606578,3,1
1507608505,0,2
1507610419,3,3
1507612353,0,2
1507614252,4,3
1507616176,1,2
1507618104,2,26
1507620017,2,7
1507621951,3,4
1507623850,2,15
1507625785,1,7
1507627887,3,5
1507629853,4,3
1507631771,3,4
1507633698,0,4
1507635620,5,0
1507637555,3,1
1507639450,5,2
1507641378,4,0
1507643290,2,4
1507645230,3,2
1507647135,2,2
1507649060,2,1
1507652899,1,0
1507655088,3,1
1507656979,1,2
1507658899,4,0
1507660749,1,0
1507662749,3,1
1507664655,2,31
1507666581,2,21
1507668500,3,5
1507670410,3,1
1507672340,2,0
1507674263,1,2
1507676183,2,1
1507678120,3,1
1507680019,0,4
1507681968,0,1
1507683989,3,1
1507685795,0,4
1507687691,4,0
1507689631,3,1
1507691554,0,1
1507693472,8,4
1507695375,4,0
1507697315,3,4
1507699236,3,1
1507701139,5,3
1507703065,1,3
1507705002,0,1
1507706912,2,4
1507708899,1,2
1507710769,1,0
1507712675,1,2
1507714580,1,4
1507716522,4,9
1507718424,3,3
1507720359,2,0
1507722266,3,4
1507724207,0,3
1507726095,1,5
1507728031,0,2
1507729959,2,4
1507731889,1,1
1507733784,0,1
1507735709,5,1
1507737874,4,1
1507740043,0,2
1507741955,0,2
1507743870,8,2
1507747296,11,4
1507749402,3,3
1507751336,3,1
1507753240,3,2
1507755192,2,3
1507757054,1,3
1507759029,53,2
1507760892,26,1
1507762915,3,1
1507764761,1,3
1507766730,1,0
1507768571,5,0
1507770542,125,2
1507772433,278,1
1507774374,84,2
1507776253,2,1
1507778485,0,1
1507780342,2,7
1507782548,2,0
1507785450,0,5
1507787307,1,7
1507789288,4,1
1507793171,36,3
1507794979,40,0
1507797198,43,1
1507799058,40,1
1507801080,39,3
1507802896,17,2
1507804850,26,2
1507806748,34,2
1507808699,15,3
1507810594,24,0
1507812552,34,0
1507814438,7,3
1507816377,16,3
1507818269,19,0
1507820232,26,0
1507822096,32,4
1507824991,79,2
1507826891,56,0
1507828903,35,3
1507830726,40,1
1507832724,47,1
1507834580,42,1
1507836618,36,1
1507838437,47,1
1507840438,49,1
1507842274,55,1
1507844272,20,0
1507846091,2,29
1507848089,27,1
1507849953,2,2
1507851923,10,3
1507854045,2,3
1507855968,0,3
1507857876,3,213
1507859782,1,268
1507861697,3,3
1507864583,2,3
1507866500,2,3
1507868418,1,4
1507870346,1,3
1507872270,5,0
1507874185,2,2
1507876108,2,4
1507878059,3,1
1507879953,1,40
1507881871,2,47
1507883799,2,33
1507885708,2,51
1507887617,3,34
1507889550,0,16
1507891468,0,28
1507893381,2,40
1507895552,0,10
1507897478,3,26
1507899418,1,34
1507901307,0,5
1507904188,2,24
1507906119,1,19
1507908178,4,38
1507910252,0,57
1507912112,2,56
1507914289,0,53
1507916167,1,28
1507917991,2,42
1507919805,3,59
1507922077,5,27
1507924105,2,49
1507926010,2,50
1507927928,1,55
1507929818,1,37
1507931765,2,2
1507933569,0,73
1507935618,1,4
1507937540,2,9
1507939461,0,6
1507941377,1,0
1507943286,3,0
1507945167,3,1
1507947399,6,2
1507949414,0,3
1507951656,6,2
1507953456,0,2
1507955558,0,2
1507957484,1,3
1507959387,1,4
1507961565,2,2
1507963470,1,3
1507965399,1,5
1507967312,1,0
1507969219,1,4
1507971139,1,3
1507973064,1,2
1507974996,1,1
1507977156,0,1
1507979356,2,1
1507981226,1,4
1507983157,4,0
1507985082,0,3
1507986989,26,0
1507988904,20,1
1507990817,19,1
1507992742,2,3
1507994660,5,2
1507996594,3,0
1507998524,1,1
1508001407,1,1
1508003362,0,1
1508005241,0,1
1508007382,2,4
1508009308,1,2
1508011301,2,1
1508013148,1,1
1508015140,1,0
1508016996,2,0
1508018987,1,0
1508020817,3,0
1508022829,0,3
1508024660,1,0
1508028508,1,0
1508030487,2,2
1508032348,3,3
1508034326,2,3
1508036187,1,0
1508038148,4,8
1508041004,1,4
1508042915,3,2
1508044818,4,2
1508046763,1,1
1508048659,1,4
1508050593,12,3
1508052497,9,4
1508054471,4,0
1508056363,1,1
1508058274,0,3
1508060188,33,0
1508062104,42,0
1508064032,38,1
1508065961,36,1
1508067875,44,4
1508069809,22,3
1508071709,19,0
1508073879,41,32
1508075789,19,20
1508077713,18,11
1508080605,37,3
1508082498,10,3
1508084687,22,2
1508086598,16,0
1508088561,34,1
1508091387,68,0
1508093303,56,3
1508095221,44,3
1508097158,31,1
1508099054,44,2
1508100997,54,3
1508102899,36,1
1508105792,64,2
1508107750,52,5
1508109634,55,1
1508111586,21,1
1508113691,1,2
1508115906,2,0
1508117794,2,3
1508119740,3,4
1508121616,2,0
1508123576,3,1
1508125469,2,4
1508127429,4,0
1508129314,3,1
1508131246,1,2
1508133137,2,2
1508135125,1,1
1508136989,1,13
1508138930,0,13
1508141790,11,3
1508143708,1,1
1508145635,3,14
1508147579,1,39
1508149532,0,41
1508151390,1,40
1508153324,1,42
1508156411,0,41
1508158609,1,28
1508160805,4,45
1508162673,6,7
1508164605,55,23
1508166523,5,32
1508168444,6,5
1508170362,6,22
1508172280,1,14
1508174192,1,25
1508176118,3,42
1508178037,462,47
1508179983,3,58
1508181858,2,42
1508183768,2,30
1508185712,0,46
1508188649,2,73
1508190781,0,39
1508193187,1,60
1508195054,2,52
1508197053,1,48
1508199188,1,2
1508201063,2,0
1508203299,2,1
1508205142,1,1
1508207078,5,3
1508208994,1,2
1508210958,5,3
1508212881,0,2
1508214803,2,4
1508216679,1,1
1508218637,1,4
1508220504,1,0
1508222482,0,2
1508224358,1,1
1508226284,1,1
1508229350,0,4
1508231307,2,2
1508233208,2,0
1508235141,1,1
