DateTime,Entries,UniqueIPs
1507236042,2708,2708
1507237907,2709,2709
1507239862,2709,2709
1507241762,2709,2709
1507243671,2709,2709
1507245635,2706,2706
1507247959,2706,2706
1507249769,2706,2706
1507251649,2706,2706
1507253560,2703,2703
1507255473,2703,2703
1507257389,2704,2704
1507259298,2706,2706
1507261230,2707,2707
1507263138,2708,2708
1507265066,2709,2709
1507267197,2708,2708
1507269463,2707,2707
1507271512,2705,2705
1507273475,2705,2705
1507275394,2705,2705
1507277307,2703,2703
1507279234,2711,2711
1507281118,2711,2711
1507283195,2711,2711
1507285227,2714,2714
1507287148,2716,2716
1507289059,2716,2716
1507290977,2715,2715
1507292899,2090,2090
1507294851,834,834
1507296758,199,199
1507298669,197,197
1507300604,194,194
1507302509,196,196
1507304610,198,198
1507306846,201,201
1507308769,211,211
1507310658,209,209
1507312643,210,210
1507314523,212,212
1507317604,215,215
1507319530,217,217
1507321494,216,216
1507323411,215,215
1507325330,212,212
1507327261,213,213
1507329212,213,213
1507331088,215,215
1507333021,218,218
1507334903,216,216
1507336883,217,217
1507339003,217,217
1507340911,215,215
1507342846,214,214
1507344746,213,213
1507346665,218,218
1507348582,217,217
1507350517,216,216
1507352433,218,218
1507354367,222,222
1507356301,220,220
1507358172,220,220
1507360135,226,226
1507362027,225,225
1507363994,225,225
1507365878,226,226
1507367823,228,228
1507369695,228,228
1507371675,232,232
1507373565,230,230
1507375538,227,227
1507377381,229,229
1507379419,226,226
1507381252,224,224
1507383230,224,224
1507385078,221,221
1507387024,221,221
1507388898,218,218
1507390890,215,215
1507392764,211,211
1507394756,208,208
1507396614,207,207
1507400440,203,203
1507402400,207,207
1507404261,207,207
1507406209,204,204
1507408101,205,205
1507410113,203,203
1507411962,201,201
1507413893,201,201
1507415791,203,203
1507417769,202,202
1507419640,204,204
1507421654,198,198
1507423480,192,192
1507425481,192,192
1507427320,195,195
1507431144,195,195
1507433182,191,191
1507434995,193,193
1507436994,192,192
1507439809,192,192
1507441712,191,191
1507443638,190,190
1507445550,189,189
1507447472,188,188
1507449392,192,192
1507451319,192,192
1507454214,197,197
1507456235,251,251
1507458037,300,300
1507460010,358,358
1507461866,383,383
1507463869,408,408
1507465701,430,430
1507467735,465,465
1507469572,471,471
1507471539,512,512
1507473382,520,520
1507475365,528,528
1507477409,550,550
1507479222,563,563
1507481067,590,590
1507483065,634,634
1507484899,686,686
1507487169,744,744
1507488971,768,768
1507490992,810,810
1507493806,885,885
1507495711,907,907
1507497624,1021,1021
1507499562,1094,1094
1507501715,1155,1155
1507503658,1186,1186
1507506575,1184,1184
1507508424,1184,1184
1507510449,1182,1182
1507512262,1185,1185
1507514296,1189,1189
1507516103,1190,1190
1507518197,1192,1192
1507520177,1192,1192
1507522097,1193,1193
1507524007,1198,1198
1507526213,1196,1196
1507528104,1195,1195
1507530039,1199,1199
1507531977,1215,1215
1507533881,1218,1218
1507535782,1214,1214
1507537703,1230,1230
1507539687,1233,1233
1507541565,1201,1201
1507543480,1143,1143
1507545386,1092,1092
1507547306,1046,1046
1507549242,1024,1024
1507551354,994,994
1507553321,946,946
1507555218,939,939
1507557137,920,920
1507559058,887,887
1507560989,886,886
1507562915,865,865
1507564927,851,851
1507566765,825,825
1507568688,787,787
1507570596,744,744
1507572752,683,683
1507574665,639,639
1507576593,609,609
1507578506,601,601
1507580455,562,562
1507582338,534,534
1507584362,414,414
1507586182,356,356
1507589300,277,277
1507591217,269,269
1507593132,272,272
1507595068,274,274
1507596871,273,273
1507598911,275,275
1507600811,273,273
1507602736,270,270
1507604664,271,271
1507606578,273,273
1507608505,271,271
1507610419,271,271
1507612353,269,269
1507614252,270,270
