DateTime,AddedIPs,RemovedIPs
1507833612,6,7
1507834348,6,4
1507835060,4,5
1507835786,4,14
1507836501,11,0
1507837458,6,3
1507838182,6,6
1507838898,3,3
1507839617,5,7
1507840350,3,9
1507841300,5,5
1507842013,3,2
1507842752,4,12
1507843453,3,11
1507844172,2,6
1507845146,7,5
1507845857,5,11
1507846995,8,11
1507847769,5,10
1507848511,4,2
1507849476,9,10
1507850433,7,4
1507851143,10,8
1507851854,2,7
1507852567,10,6
1507853291,1,0
1507854029,11,8
1507854745,8,11
1507855464,4,10
1507856446,9,7
1507857143,2,0
1507857858,9,19
1507858569,7,0
1507859294,7,17
1507860015,9,0
1507860743,12,5
1507861453,6,4
1507862174,9,3
1507862890,7,3
1507863625,6,4
1507864341,9,12
1507865066,6,4
1507866027,7,5
1507866738,10,16
1507867463,5,9
1507868186,7,8
1507868905,4,3
1507869608,5,5
1507870331,7,9
1507871056,6,3
1507871788,3,11
1507872757,5,3
1507873450,5,3
1507874170,7,5
1507874887,7,5
1507875643,8,5
1507876332,9,0
1507877054,4,7
1507877779,7,1
1507878503,5,3
1507879208,6,0
1507879937,3,1
1507880651,3,3
1507881387,7,10
1507882348,4,11
1507883050,11,0
1507883783,5,10
1507884503,5,5
1507885223,8,3
1507885927,2,8
1507886654,7,2
1507887390,8,2
1507888106,3,8
1507889067,10,4
1507890033,5,1
1507890744,4,7
1507891452,4,6
1507892168,3,6
1507892898,4,1
1507893616,7,5
1507894347,3,5
1507895054,5,5
1507895779,8,2
1507896502,6,5
1507897468,9,5
1507898428,5,6
1507899405,6,4
1507900097,4,9
1507900812,6,7
1507901534,7,2
1507902262,6,5
1507903241,6,2
1507903930,1,7
1507904656,19,6
1507905379,6,4
1507906110,5,3
1507907318,9,7
1507908168,4,3
1507908993,7,10
1507910692,18,8
1507911385,8,11
1507912103,13,9
1507913062,8,8
1507914038,2,15
1507915003,7,3
1507915950,9,8
1507916904,7,4
1507917627,4,3
1507918581,4,12
1507919303,7,2
1507920012,4,1
1507920746,3,15
1507921461,6,0
1507922441,8,0
1507923136,9,16
1507923855,7,0
1507924833,8,10
1507925534,6,17
1507926270,6,4
1507926979,5,0
1507927705,9,12
1507928665,7,0
1507929645,7,9
1507930596,8,6
1507931549,8,17
1507932516,3,6
1507933455,4,6
1507934430,3,5
1507935138,7,5
1507935878,3,8
1507936575,6,5
1507937291,5,4
1507938258,6,7
1507938977,1,3
1507939708,3,6
1507940409,2,8
1507941150,2,0
1507942117,11,13
1507942824,7,4
1507944159,12,2
1507944985,8,19
1507946179,13,3
1507947388,13,14
1507948327,3,10
1507949288,7,1
1507950494,10,8
1507951640,7,11
1507952295,2,9
1507953263,7,5
1507953995,7,8
1507954723,5,7
1507955549,7,3
1507956249,3,0
1507956993,7,7
1507957977,6,1
1507958651,4,5
1507959371,5,7
1507960091,7,4
