DateTime,AddedIPs,RemovedIPs
1507833612,47,36
1507834348,43,42
1507835060,45,36
1507835786,40,44
1507836501,58,53
1507837458,42,42
1507838182,41,62
1507838898,24,25
1507839617,61,61
1507840350,40,39
1507841300,49,37
1507842013,39,26
1507842752,35,41
1507843453,34,40
1507844172,36,61
1507845146,34,43
1507845857,45,46
1507846995,58,64
1507847769,35,41
1507848511,33,38
1507849476,47,48
1507850433,48,42
1507851143,43,30
1507851854,27,41
1507852567,52,50
1507853291,18,30
1507854029,50,43
1507854745,44,49
1507855464,45,39
1507856446,51,62
1507857143,44,31
1507857858,34,29
1507858569,36,29
1507859294,35,35
1507860015,32,42
1507860743,42,44
1507861453,41,45
1507862174,42,25
1507862890,35,23
1507863625,26,43
1507864341,48,43
1507865066,34,32
1507866027,42,34
1507866738,33,49
1507867463,41,34
1507868186,40,38
1507868905,34,40
1507869608,46,38
1507870331,39,36
1507871056,35,43
1507871788,40,35
1507872757,49,41
1507873450,22,55
1507874170,60,25
1507874887,36,40
1507875643,44,30
1507876332,35,38
1507877054,35,56
1507877779,42,85
1507878503,92,49
1507879208,38,52
1507879937,58,51
1507880651,38,59
1507881387,87,50
1507882348,44,63
1507883050,79,83
1507883783,85,35
1507884503,45,37
1507885223,46,54
1507885927,27,22
1507886654,43,38
1507887390,57,52
1507888106,31,43
1507889067,76,59
1507890033,59,42
1507890744,36,42
1507891452,39,42
1507892168,34,31
1507892898,32,40
1507893616,47,46
1507894347,42,28
1507895054,40,31
1507895779,38,53
1507896502,56,39
1507897468,55,51
1507898428,47,41
1507899405,59,64
1507900097,54,33
1507900812,38,36
1507901534,47,37
1507902262,41,39
1507903241,41,62
1507903930,21,33
1507904656,72,57
1507905379,47,32
1507906110,35,51
1507907318,52,54
1507908168,33,32
1507908993,62,57
1507910692,90,74
1507911385,48,45
1507912103,51,48
1507913062,45,81
1507914038,53,37
1507915003,57,42
1507915950,65,52
1507916904,55,36
1507917627,34,33
1507918581,43,46
1507919303,47,33
1507920012,33,28
1507920746,38,100
1507921461,88,45
1507922441,77,45
1507923136,50,43
1507923855,47,35
1507924833,36,42
1507925534,29,37
1507926270,40,44
1507926979,42,49
1507927705,46,36
1507928665,34,51
1507929645,46,67
1507930596,50,46
1507931549,44,54
1507932516,30,56
1507933455,62,52
1507934430,35,34
