DateTime,Entries,UniqueIPs
1507833612,7643,7643
1507834348,7644,7644
1507835060,7653,7653
1507835786,7649,7649
1507836501,7654,7654
1507837458,7654,7654
1507838182,7633,7633
1507838898,7632,7632
1507839617,7632,7632
1507840350,7633,7633
1507841300,7645,7645
1507842013,7658,7658
1507842752,7652,7652
1507843453,7646,7646
1507844172,7621,7621
1507845146,7612,7612
1507845857,7611,7611
1507846995,7605,7605
1507847769,7599,7599
1507848511,7594,7594
1507849476,7593,7593
1507850433,7599,7599
1507851143,7612,7612
1507851854,7598,7598
1507852567,7600,7600
1507853291,7588,7588
1507854029,7595,7595
1507854745,7590,7590
1507855464,7596,7596
1507856446,7585,7585
1507857143,7598,7598
1507857858,7603,7603
1507858569,7610,7610
1507859294,7610,7610
1507860015,7600,7600
1507860743,7598,7598
1507861453,7594,7594
1507862174,7611,7611
1507862890,7623,7623
1507863625,7606,7606
1507864341,7611,7611
1507865066,7613,7613
1507866027,7621,7621
1507866738,7605,7605
1507867463,7612,7612
1507868186,7614,7614
1507868905,7608,7608
1507869608,7616,7616
1507870331,7619,7619
1507871056,7611,7611
1507871788,7616,7616
1507872757,7624,7624
1507873450,7591,7591
1507874170,7626,7626
1507874887,7622,7622
1507875643,7636,7636
1507876332,7633,7633
1507877054,7612,7612
1507877779,7569,7569
1507878503,7612,7612
1507879208,7598,7598
1507879937,7605,7605
1507880651,7584,7584
1507881387,7621,7621
1507882348,7602,7602
1507883050,7598,7598
1507883783,7648,7648
1507884503,7656,7656
1507885223,7648,7648
1507885927,7653,7653
1507886654,7658,7658
1507887390,7663,7663
1507888106,7651,7651
1507889067,7668,7668
1507890033,7685,7685
1507890744,7679,7679
1507891452,7676,7676
1507892168,7679,7679
1507892898,7671,7671
1507893616,7672,7672
1507894347,7686,7686
1507895054,7695,7695
1507895779,7680,7680
1507896502,7697,7697
1507897468,7701,7701
1507898428,7707,7707
1507899405,7702,7702
1507900097,7723,7723
1507900812,7725,7725
1507901534,7735,7735
1507902262,7737,7737
1507903241,7716,7716
1507903930,7704,7704
1507904656,7719,7719
1507905379,7734,7734
1507906110,7718,7718
1507907318,7716,7716
1507908168,7717,7717
1507908993,7722,7722
1507910692,7738,7738
1507911385,7741,7741
1507912103,7744,7744
1507913062,7708,7708
1507914038,7724,7724
1507915003,7739,7739
1507915950,7752,7752
1507916904,7771,7771
1507917627,7772,7772
1507918581,7769,7769
1507919303,7783,7783
1507920012,7788,7788
1507920746,7726,7726
1507921461,7769,7769
1507922441,7801,7801
1507923136,7808,7808
1507923855,7820,7820
1507924833,7814,7814
1507925534,7806,7806
1507926270,7802,7802
1507926979,7795,7795
1507927705,7805,7805
1507928665,7788,7788
1507929645,7767,7767
1507930596,7771,7771
1507931549,7761,7761
1507932516,7735,7735
1507933455,7745,7745
1507934430,7746,7746
1507935138,7748,7748
1507935878,7718,7718
1507936575,7726,7726
1507937291,7608,7608
1507938258,6819,6819
1507938977,6745,6745
1507939708,6780,6780
1507940409,6818,6818
1507941150,6791,6791
1507942117,6828,6828
1507942824,6808,6808
1507944159,6828,6828
1507944985,6834,6834
1507946179,7350,7350
1507947388,7456,7456
1507948327,7487,7487
1507949288,7493,7493
1507950494,7491,7491
1507951640,7505,7505
1507952295,7506,7506
1507953263,7514,7514
1507953995,7530,7530
1507954723,7534,7534
1507955549,7537,7537
1507956249,7538,7538
1507956993,7538,7538
1507957977,7544,7544
1507958651,7567,7567
1507959371,7571,7571
1507960091,7558,7558
1507960697,7566,7566
1507961549,7569,7569
1507962249,7590,7590
1507962972,7595,7595
1507963949,7590,7590
1507964915,7601,7601
1507965607,7618,7618
1507966329,7601,7601
1507967052,7612,7612
1507967784,7592,7592
1507968746,7599,7599
1507969451,7604,7604
1507970185,7592,7592
1507970903,7575,7575
1507971624,7639,7639
1507972599,7637,7637
1507973558,7653,7653
1507974252,7639,7639
1507974980,7666,7666
1507975702,7663,7663
1507976659,7662,7662
1507977388,7678,7678
1507978106,7689,7689
1507978821,7680,7680
1507979799,7711,7711
1507980753,7683,7683
1507981449,7699,7699
1507982180,7677,7677
