DateTime,Entries,UniqueIPs
1507453004,1047,1047
1507453851,1051,1051
1507454675,1049,1049
1507455632,1048,1048
1507456544,1047,1047
1507457445,1056,1056
1507458625,1058,1058
1507459365,1070,1070
1507460708,1096,1096
1507461644,1100,1100
1507462487,1106,1106
1507464093,1135,1135
1507464947,1140,1140
1507465832,1142,1142
1507466743,1145,1145
1507467779,1153,1153
1507468845,1164,1164
1507469319,1159,1159
1507470338,1164,1164
1507472073,1163,1163
1507472906,1165,1165
1507473754,1162,1162
1507474638,1159,1159
1507475443,1165,1165
1507477354,1171,1171
1507478498,1179,1179
1507479280,1186,1186
1507480241,1184,1184
1507480957,1182,1182
1507482880,1175,1175
1507484735,1178,1178
1507486474,1172,1172
1507487307,1180,1180
1507488341,1187,1187
1507488998,1190,1190
1507489839,1192,1192
1507490925,1201,1201
1507491777,1210,1210
1507493194,1220,1220
1507494043,1227,1227
1507495254,1228,1228
1507496202,1222,1222
1507497045,1223,1223
1507497940,1224,1224
1507498849,1225,1225
1507499737,1223,1223
1507500645,1230,1230
1507500886,1235,1235
1507501847,1244,1244
1507502568,1249,1249
1507503394,1251,1251
1507504245,1252,1252
1507506153,1255,1255
1507507729,1259,1259
1507509644,1264,1264
1507510596,1266,1266
1507511449,1265,1265
1507513253,1262,1262
1507514138,1263,1263
1507515037,1261,1261
1507516120,1260,1260
1507518873,1259,1259
1507520443,1257,1257
1507522249,1257,1257
1507524042,1256,1256
1507524943,1258,1258
1507525847,1256,1256
1507526914,1255,1255
1507527824,1253,1253
1507529455,1255,1255
1507531538,1254,1254
1507533279,1251,1251
1507534242,1248,1248
1507535061,1249,1249
1507536879,1248,1248
1507537843,1247,1247
1507538556,1249,1249
1507541316,1250,1250
1507542232,1248,1248
1507543846,1246,1246
1507545759,1236,1236
1507546591,1224,1224
1507547446,1221,1221
1507549248,1211,1211
1507551042,1206,1206
1507552956,1189,1189
1507554872,1187,1187
1507555843,1178,1178
1507556555,1179,1179
1507557771,1167,1167
1507558827,1168,1168
1507559312,1169,1169
1507560152,1167,1167
1507561162,1166,1166
1507562143,1167,1167
1507563943,1159,1159
1507564593,1157,1157
1507565444,1156,1156
1507566866,1148,1148
1507567834,1144,1144
1507569042,1145,1145
1507570956,1133,1133
1507571928,1143,1143
1507572882,1151,1151
1507573730,1155,1155
1507574560,1146,1146
1507575925,1162,1162
1507576853,1170,1170
1507580076,1198,1198
1507581047,1211,1211
1507581754,1217,1217
1507583455,1217,1217
1507584490,1225,1225
1507585535,1223,1223
1507587041,1231,1231
1507588124,1234,1234
1507589145,1225,1225
1507589981,1224,1224
1507590946,1225,1225
1507591845,1220,1220
1507592751,1218,1218
1507593393,1219,1219
1507594247,1209,1209
1507596164,1207,1207
1507597844,1219,1219
1507599343,1240,1240
1507600677,1246,1246
1507601746,1234,1234
1507602512,1233,1233
1507603367,1215,1215
1507604569,1211,1211
1507605649,1224,1224
1507606951,1219,1219
1507608647,1213,1213
1507609563,1221,1221
1507610551,1222,1222
1507612108,1227,1227
1507613089,1224,1224
1507614049,1216,1216
1507614931,1204,1204
1507615846,1202,1202
1507616674,1203,1203
1507617646,1188,1188
1507618773,1179,1179
1507619750,1177,1177
1507620807,1170,1170
1507621354,1170,1170
1507623276,1161,1161
1507624958,1183,1183
1507625810,1188,1188
1507626645,1183,1183
1507628559,1180,1180
1507629837,1163,1163
1507630772,1170,1170
1507631744,1165,1165
1507632713,1161,1161
1507633716,1157,1157
1507634699,1173,1173
1507635632,1168,1168
1507636671,1172,1172
1507637661,1172,1172
1507638636,1170,1170
1507639638,1166,1166
1507640609,1157,1157
1507642528,1149,1149
1507644637,1145,1145
1507646446,1138,1138
1507648239,1133,1133
1507649793,1128,1128
1507651838,1125,1125
1507653757,1118,1118
1507655676,1114,1114
1507656638,1105,1105
1507657538,1100,1100
1507658640,1097,1097
1507660520,1085,1085
1507661391,1077,1077
1507662450,1067,1067
1507664549,1053,1053
1507665595,1050,1050
1507668719,1038,1038
1507669765,1032,1032
1507671753,1009,1009
1507672893,1001,1001
1507675678,999,999
1507677040,994,994
1507678957,987,987
1507680157,985,985
1507682189,984,984
1507684240,983,983
1507686338,981,981
1507691440,980,980
1507694134,979,979
1507695039,978,978
1507696235,976,976
1507698637,975,975
1507700739,973,973
1507706074,972,972
1507708763,971,971
1507711367,967,967
1507713053,966,966
1507715082,961,961
1507718553,959,959
1507720473,958,958
1507722158,956,956
1507723551,955,955
1507725259,952,952
1507727438,951,951
1507728635,949,949
1507730881,948,948
1507733133,947,947
1507734639,946,946
