DateTime,AddedIPs,RemovedIPs
1507460702,4,5
1507462482,2,3
1507464078,6,3
1507464940,1,0
1507465822,6,7
1507466736,3,1
1507467758,0,1
1507468839,4,0
1507469311,1,0
1507470331,4,2
1507472067,6,3
1507472899,0,1
1507473748,2,5
1507474632,1,0
1507475437,1,4
1507477349,3,6
1507478482,2,4
1507479273,1,0
1507480235,1,4
1507480950,1,1
1507482874,5,5
1507483838,2,4
1507484729,2,0
1507486468,3,2
1507487300,2,0
1507488334,4,1
1507488992,3,0
1507489833,0,3
1507490919,2,0
1507491771,0,2
1507493188,1,2
1507495243,2,2
1507496197,1,0
1507497039,2,3
1507498843,6,7
1507499732,2,0
1507500638,3,6
1507501839,1,4
1507502563,3,1
1507504239,2,0
1507506147,2,3
1507507722,3,3
1507509638,3,8
1507510590,2,0
1507511443,2,2
1507513246,7,7
1507514132,4,0
1507515032,2,3
1507516114,8,0
1507517567,6,4
1507518867,8,0
1507520437,11,6
1507521327,5,0
1507522243,9,3
1507523127,4,0
1507524036,5,6
1507524937,6,0
1507525841,3,4
1507526908,1,0
1507527817,0,7
1507529448,1,2
1507530337,4,0
1507531531,3,3
1507533273,9,3
1507534236,1,4
1507535055,4,2
1507536873,10,4
1507537837,2,2
1507538549,4,0
1507540236,9,3
1507541310,1,0
1507542224,2,3
1507543840,11,5
1507545753,4,6
1507546586,1,0
1507547441,3,4
1507549242,8,6
1507551036,9,1
1507552107,1,0
1507552950,2,4
1507554867,4,2
1507555837,2,5
1507556549,0,1
1507557738,2,4
1507558821,7,0
1507560146,1,5
1507561156,3,4
1507562137,2,1
1507563937,5,4
1507564587,1,0
1507565438,2,1
1507566836,3,4
1507567827,6,1
1507569036,2,1
1507570948,1,5
1507571879,1,0
1507572876,5,3
1507573724,4,0
1507574554,2,2
1507576846,7,1
1507580070,9,8
1507581039,0,3
1507581747,2,1
1507583449,4,2
1507584485,3,0
1507585529,2,7
1507587035,1,0
1507588118,6,0
1507589139,3,1
1507589975,1,3
1507590940,3,1
1507591838,2,4
1507592745,2,3
1507593387,3,0
1507594241,3,1
1507594466,1,0
1507596158,3,10
1507597838,7,1
1507599338,2,1
1507600671,8,4
1507602506,4,4
1507603361,4,5
1507604558,4,4
1507605643,3,0
1507606945,4,9
1507608641,15,5
1507609556,3,0
1507610545,3,6
1507612100,2,3
1507613083,6,0
1507614925,8,5
1507615840,3,5
1507616663,7,0
1507617641,3,11
1507618760,7,6
1507619744,4,0
1507620802,5,3
1507621348,2,2
1507624529,14,9
1507625800,1,0
1507626639,4,5
1507627709,5,0
1507628552,5,4
1507629821,5,4
1507630765,2,0
1507631738,1,4
1507632706,2,0
1507633710,3,6
1507634692,1,0
1507635625,4,9
1507636665,1,0
1507637640,3,2
1507638628,1,4
1507639630,0,1
1507640603,0,3
1507642522,0,1
1507644631,0,2
1507646440,0,6
1507648233,0,1
1507649787,0,3
1507651832,0,2
1507653751,0,4
1507655669,0,3
1507656630,0,5
1507657531,0,2
1507658633,0,2
