DateTime,Entries,UniqueIPs
1507480234,2117,2117
1507480949,2107,2107
1507482873,2104,2104
1507483837,2082,2082
1507484728,2080,2080
1507486467,2114,2114
1507487300,2126,2126
1507488333,2114,2114
1507488991,2117,2117
1507489832,2113,2113
1507490918,2122,2122
1507491770,2099,2099
1507493187,2108,2108
1507494036,2115,2115
1507495241,2104,2104
1507496196,2111,2111
1507497038,2107,2107
1507497934,2113,2113
1507498842,2090,2090
1507499731,2094,2094
1507500638,2092,2092
1507501838,2104,2104
1507502562,2102,2102
1507503387,2113,2113
1507504238,2117,2117
1507506147,2110,2110
1507507721,2113,2113
1507509637,2115,2115
1507510590,2125,2125
1507511442,2125,2125
1507513246,2129,2129
1507514132,2129,2129
1507515031,2107,2107
1507516113,2115,2115
1507517566,2109,2109
1507518867,2109,2109
1507520436,2092,2092
1507521326,2090,2090
1507522242,2085,2085
1507523126,2093,2093
1507524036,2099,2099
1507524936,2103,2103
1507525840,2098,2098
1507526907,2115,2115
1507527816,2081,2081
1507529446,2093,2093
1507530336,2101,2101
1507531530,2084,2084
1507533272,2085,2085
1507534235,2069,2069
1507535054,2069,2069
1507536872,2059,2059
1507537835,2042,2042
1507538549,2030,2030
1507540235,2017,2017
1507541309,2027,2027
1507542223,2008,2008
1507543839,2008,2008
1507545752,2007,2007
1507546585,2010,2010
1507547440,2001,2001
1507549241,2001,2001
1507551035,2014,2014
1507552106,2018,2018
1507552949,1998,1998
1507554866,2002,2002
1507555836,1988,1988
1507556548,2001,2001
1507557740,2015,2015
1507558819,2027,2027
1507560146,2044,2044
1507561150,2040,2040
1507562136,2044,2044
1507562911,2055,2055
1507563936,2036,2036
1507564586,2039,2039
1507565437,2036,2036
1507566835,2026,2026
1507567827,2034,2034
1507569035,2045,2045
1507570947,2060,2060
1507571878,2077,2077
1507572875,2078,2078
1507573724,2078,2078
1507574553,2066,2066
1507576845,2078,2078
1507580069,2061,2061
1507581036,2050,2050
1507581746,2060,2060
1507583448,2066,2066
1507584484,2073,2073
1507585528,2063,2063
1507587035,2072,2072
1507588117,2089,2089
1507589138,2080,2080
1507589974,2077,2077
1507590938,2097,2097
1507591837,2090,2090
1507592743,2090,2090
1507593385,2094,2094
1507594240,2091,2091
1507594465,2096,2096
1507596157,2087,2087
1507597837,2077,2077
1507599337,2079,2079
1507600670,2082,2082
1507602505,2084,2084
1507603360,2085,2085
1507604554,2091,2091
1507605642,2092,2092
1507606945,2095,2095
1507608640,2093,2093
1507609554,2090,2090
1507610544,2090,2090
1507612097,2097,2097
1507613082,2098,2098
1507614925,2102,2102
1507615839,2109,2109
1507616660,2119,2119
1507617640,2115,2115
1507618762,2126,2126
1507619742,2125,2125
1507620800,2127,2127
1507621347,2132,2132
1507624528,2156,2156
1507624950,2152,2152
1507625799,2155,2155
1507626638,2160,2160
1507627708,2174,2174
1507628551,2152,2152
1507629812,2144,2144
1507630762,2161,2161
1507631737,2155,2155
1507632705,2154,2154
1507633709,2157,2157
1507634691,2169,2169
1507635624,2157,2157
1507636664,2174,2174
1507637640,2161,2161
1507638625,2150,2150
1507639625,2147,2147
1507640599,2141,2141
1507642521,2133,2133
1507644631,2122,2122
1507645485,2121,2121
1507646439,2105,2105
1507648232,2098,2098
1507649786,2084,2084
1507651831,2074,2074
1507653750,2057,2057
1507655668,2033,2033
1507656631,2013,2013
1507657530,2010,2010
1507658633,2000,2000
1507660513,1967,1967
1507661384,1965,1965
1507662438,1941,1941
1507664542,1921,1921
1507665588,1908,1908
1507666493,1905,1905
1507668712,1890,1890
1507669758,1881,1881
1507671746,1846,1846
1507672881,1828,1828
1507675670,1805,1805
1507677033,1790,1790
1507678950,1770,1770
1507680926,1756,1756
1507681822,1749,1749
1507682728,1743,1743
1507684233,1735,1735
1507686331,1713,1713
1507687411,1707,1707
1507689026,1697,1697
1507689833,1692,1692
1507691433,1687,1687
1507694127,1665,1665
1507695032,1662,1662
1507696228,1642,1642
1507696951,1638,1638
1507698630,1636,1636
1507700732,1618,1618
1507702233,1610,1610
1507706067,1590,1590
1507707749,1573,1573
1507709668,1561,1561
1507711360,1550,1550
1507713044,1543,1543
1507715073,1502,1502
1507716631,1495,1495
1507718546,1482,1482
1507720467,1452,1452
1507722151,1433,1433
1507723544,1419,1419
1507725252,1406,1406
1507727431,1379,1379
1507728628,1349,1349
1507730874,1323,1323
1507733126,1297,1297
1507734633,1282,1282
1507736547,1264,1264
1507738168,1245,1245
1507740328,1172,1172
1507741270,1152,1152
1507743927,1141,1141
1507747321,1093,1093
1507748335,1083,1083
1507750229,1067,1067
1507752631,1038,1038
1507754729,1014,1014
1507756231,1005,1005
1507758325,977,977
1507760908,961,961
1507761781,926,926
1507762804,916,916
1507764627,891,891
1507765526,889,889
1507767031,881,881
1507769125,859,859
1507770633,848,848
1507774231,824,824
1507776148,803,803
1507778064,794,794
1507779030,792,792
1507779926,784,784
1507781431,767,767
1507783354,744,744
1507786227,708,708
1507787132,701,701
1507788160,680,680
1507789827,671,671
1507790548,665,665
1507791669,657,657
1507793430,613,613
1507794158,610,610
1507795283,599,599
1507797030,571,571
1507797752,564,564
1507798803,549,549
1507801347,510,510
1507803032,485,485
1507805089,328,328
1507806630,261,261
1507925665,122,122
1507927237,175,175
1507928134,202,202
1507929035,227,227
1507930106,244,244
1507931132,260,260
1507932049,277,277
1507932949,291,291
1507933706,309,309
1507934564,328,328
1507936239,343,343
1507937308,357,357
1507939835,381,381
1507940910,386,386
1507941749,392,392
1507944308,426,426
1507945529,430,430
1507946369,482,482
1507947341,728,728
1507948225,736,736
1507948960,740,740
1507950866,750,750
1507952031,760,760
1507954532,779,779
1507955439,784,784
1507956156,786,786
1507956989,797,797
1507958702,811,811
1507959637,817,817
1507960544,831,831
1507961436,847,847
1507962504,856,856
1507963749,870,870
1507965052,877,877
1507967137,905,905
1507968234,912,912
1507969246,933,933
1507970132,957,957
1507971010,966,966
1507972067,978,978
1507973147,1022,1022
1507974162,1039,1039
1507975291,1056,1056
1507976137,1066,1066
1507977752,1090,1090
1507978587,1102,1102
1507979436,1114,1114
1507980635,1135,1135
1507981537,1144,1144
1507982373,1154,1154
1507983225,1160,1160
1507984525,1173,1173
1507984953,1182,1182
1507986866,1222,1222
1507988438,1232,1232
1507989324,1238,1238
1507990234,1249,1249
1507991439,1258,1258
1507992937,1274,1274
1507993842,1279,1279
1507994817,1283,1283
1507995757,1298,1298
1507997441,1327,1327
1507998505,1331,1331
1507999547,1337,1337
1508000478,1348,1348
1508001343,1354,1354
1508002657,1365,1365
1508003735,1384,1384
1508004641,1397,1397
1508005715,1406,1406
1508006737,1416,1416
1508008473,1440,1440
1508009439,1453,1453
1508010332,1463,1463
1508012072,1483,1483
1508012905,1491,1491
1508013938,1501,1501
1508015438,1520,1520
1508017347,1540,1540
1508019037,1553,1553
1508020249,1599,1599
1508022276,1618,1618
1508023234,1631,1631
1508024136,1634,1634
1508027125,1665,1665
1508028162,1684,1684
1508029308,1704,1704
1508030067,1706,1706
1508030918,1703,1703
1508031748,1718,1718
1508033442,1717,1717
1508034624,1723,1723
1508035536,1735,1735
1508036187,1748,1748
1508037035,1760,1760
1508037270,1762,1762
1508038488,1778,1778
1508039617,1788,1788
1508040642,1788,1788
1508042712,1797,1797
1508043671,1812,1812
1508044469,1814,1814
1508045429,1812,1812
1508047452,1836,1836
1508048444,1838,1838
1508048922,1847,1847
1508049932,1858,1858
1508051434,1870,1870
1508053233,1884,1884
1508054096,1894,1894
