DateTime,Entries,UniqueIPs
1507504233,37000,37000
1507506142,36898,36898
1507507717,36862,36862
1507509633,36712,36712
1507510585,36847,36847
1507511438,36768,36768
1507513236,36670,36670
1507514127,36816,36816
1507515021,8244,8244
1507516109,36931,36931
1507517562,36740,36740
1507518862,36776,36776
1507520431,36615,36615
1507521322,36790,36790
1507522238,36696,36696
1507523122,36800,36800
1507524031,36669,36669
1507524932,36858,36858
1507525836,36764,36764
1507526902,37004,37004
1507527811,36712,36712
1507529437,36816,36816
1507530331,37001,37001
1507531526,36696,36696
1507533268,36619,36619
1507534231,36514,36514
1507535050,36517,36517
1507536867,36578,36578
1507537825,36454,36454
1507538544,36426,36426
1507540230,36478,36478
1507541305,36697,36697
1507542218,36477,36477
1507543834,36592,36592
1507545747,36663,36663
1507546580,36873,36873
1507547436,36854,36854
1507549231,36677,36677
1507551031,36757,36757
1507552102,36938,36938
1507552945,36609,36609
1507554861,36622,36622
1507555831,36398,36398
1507556544,36419,36419
1507557728,36333,36333
1507558807,36538,36538
1507559302,8244,8244
1507560141,36363,36363
1507561147,8244,8244
1507562129,36441,36441
1507562907,36581,36581
1507563932,36327,36327
1507564582,36460,36460
1507565433,36366,36366
1507566831,36272,36272
1507567822,36329,36329
1507569031,36261,36261
1507570943,36202,36202
1507571874,36373,36373
1507572870,36280,36280
1507573714,36419,36419
1507574548,36080,36080
1507575908,8244,8244
1507576836,36286,36286
1507580064,36143,36143
1507581029,36151,36151
1507581742,36186,36186
1507583438,36331,36331
1507584479,36445,36445
1507585523,36396,36396
1507587030,36453,36453
1507588113,36613,36613
1507589132,36543,36543
1507589970,36531,36531
1507590932,36656,36656
1507591832,36616,36616
1507592735,36656,36656
1507593381,36745,36745
1507594236,36740,36740
1507594461,36764,36764
1507596149,36800,36800
1507597833,36952,36952
1507599332,37026,37026
1507600666,37212,37212
1507601737,37304,37304
1507602501,37444,37444
1507603355,37396,37396
1507604550,37499,37499
1507605634,37700,37700
1507606940,37704,37704
1507608636,37861,37861
1507609546,37967,37967
1507610540,38028,38028
1507612087,38224,38224
1507613078,38432,38432
1507614032,38292,38292
1507614920,38474,38474
1507615835,38547,38547
1507616647,38651,38651
1507617634,38533,38533
1507618743,38572,38572
1507619732,38693,38693
1507620795,38644,38644
1507621343,38652,38652
1507623264,8244,8244
1507624944,38693,38693
1507625791,38862,38862
1507626633,38803,38803
1507627703,38969,38969
1507628546,38758,38758
1507629786,38748,38748
1507630744,38897,38897
1507631728,38820,38820
1507632701,38839,38839
1507633699,38805,38805
1507634686,38937,38937
1507635619,38900,38900
1507636660,39188,39188
1507637635,39186,39186
1507638619,38950,38950
1507639620,38860,38860
1507640592,38658,38658
1507642517,38412,38412
1507642944,8244,8244
1507643781,38412,38412
1507644626,38126,38126
1507645481,38125,38125
1507646435,37871,37871
1507647250,8244,8244
1507648227,37766,37766
1507649782,37542,37542
1507651827,37344,37344
1507653745,37071,37071
1507655664,36924,36924
1507656625,36700,36700
1507657526,36636,36636
1507658628,36505,36505
1507660513,36275,36275
1507661380,36216,36216
1507662431,36034,36034
1507664537,35785,35785
1507665583,35647,35647
1507666488,35629,35629
1507668707,35370,35370
1507669754,35276,35276
1507671741,35021,35021
1507672863,34916,34916
1507675665,34689,34689
1507677028,34591,34591
1507678945,34316,34316
1507680922,34146,34146
1507681818,33922,33922
1507682724,33829,33829
1507684228,33634,33634
1507686326,33228,33228
1507687404,33023,33023
1507689021,32719,32719
1507689829,32580,32580
1507691429,32327,32327
1507694122,31821,31821
1507695027,31524,31524
1507696223,31137,31137
1507696947,31007,31007
1507698626,30726,30726
1507700727,30203,30203
1507702228,30061,30061
