DateTime,Entries,UniqueIPs
1507170623,136,136
1507171533,137,137
1507173038,138,138
1507175426,138,138
1507176635,136,136
1507178440,137,137
1507179333,138,138
1507181432,137,137
1507183270,138,138
1507185034,136,136
1507185749,137,137
1507188507,136,136
1507189457,136,136
1507191346,138,138
1507192232,136,136
1507193117,138,138
1507194261,138,138
1507195053,139,139
1507196148,141,141
1507198842,144,144
1507199658,143,143
1507200503,144,144
1507203643,143,143
1507206635,144,144
1507209034,144,144
1507209926,143,143
1507210894,142,142
1507212634,143,143
1507214734,144,144
1507215419,145,145
1507217436,146,146
1507219764,148,148
1507220725,149,149
1507221746,147,147
1507226126,148,148
1507228223,149,149
1507234474,149,149
1507235456,147,147
1507239043,147,147
1507241433,145,145
1507243499,143,143
1507244795,144,144
1507246837,143,143
1507251396,144,144
1507252240,143,143
1507253441,145,145
1507255834,146,146
1507256907,147,147
1507257932,145,145
1507259744,147,147
1507261350,148,148
1507263036,147,147
1507265142,149,149
1507266082,150,150
1507266867,149,149
1507268740,150,150
1507271730,148,148
1507273842,148,148
1507275935,146,146
1507277668,147,147
1507278637,148,148
1507280136,150,150
1507281929,152,152
1507283777,154,154
1507285715,155,155
1507286555,155,155
1507288466,155,155
1507290295,154,154
1507291834,152,152
1507295677,153,153
1507296640,152,152
1507297498,166,166
1507299036,162,162
1507300108,164,164
1507301097,165,165
1507301785,166,166
1507304435,167,167
1507305386,169,169
1507306236,168,168
1507308335,169,169
1507309834,168,168
1507313443,169,169
1507315529,169,169
1507317926,170,170
1507318105,169,169
1507320140,166,166
1507320943,166,166
1507321708,167,167
1507322609,165,165
1507324481,163,163
1507325437,163,163
1507326335,165,165
1507327286,164,164
1507329360,162,162
1507330520,163,163
1507331440,164,164
1507333235,165,165
1507334151,168,168
1507336841,170,170
1507338637,168,168
1507339840,167,167
1507340767,168,168
1507342466,167,167
1507344153,166,166
1507345841,167,167
1507347934,163,163
1507349441,162,162
1507352978,160,160
1507354239,159,159
1507355124,158,158
1507356088,155,155
1507356939,156,156
1507357706,157,157
1507358543,160,160
1507359395,159,159
1507362337,159,159
1507363322,157,157
1507364143,156,156
1507365041,156,156
1507365758,155,155
1507366586,157,157
1507367422,155,155
1507369355,177,177
1507371335,178,178
1507373139,177,177
1507374635,176,176
1507378243,177,177
1507379308,176,176
1507380160,176,176
1507382066,177,177
1507382911,178,178
1507383751,177,177
1507386038,176,176
1507386863,177,177
1507389037,175,175
1507390093,176,176
1507391132,173,173
1507394730,172,172
1507396219,171,171
1507398339,171,171
1507399834,170,170
1507403443,171,171
1507404457,171,171
1507408237,172,172
1507409142,174,174
1507409796,174,174
1507411479,175,175
1507412451,176,176
1507413340,177,177
1507414238,178,178
1507416153,180,180
1507417837,181,181
1507419639,179,179
1507420803,179,179
1507422908,177,177
1507423836,178,178
1507425275,178,178
1507426954,177,177
1507428636,175,175
1507430444,174,174
1507432243,176,176
1507433438,175,175
1507434276,175,175
1507435472,174,174
1507436428,175,175
1507437755,174,174
1507439741,175,175
1507441095,176,176
1507442188,178,178
1507445133,179,179
1507446229,180,180
1507447241,178,178
1507448496,177,177
1507450053,178,178
1507452297,175,175
1507452998,176,176
1507453845,177,177
1507455626,179,179
1507459359,178,178
1507461638,178,178
1507464081,178,178
1507465826,176,176
1507466736,175,175
1507467762,168,168
1507470332,169,169
1507472067,170,170
1507473749,169,169
1507474632,171,171
1507475437,170,170
1507477349,169,169
1507480235,170,170
1507482874,168,168
1507483838,169,169
1507486468,168,168
1507488334,167,167
1507489833,168,168
1507490919,169,169
1507491771,169,169
1507493188,170,170
1507495243,170,170
1507496197,171,171
1507497039,170,170
1507498844,169,169
1507499732,170,170
1507500639,169,169
1507501840,169,169
1507502563,170,170
1507503388,171,171
1507506148,176,176
1507507722,179,179
1507509638,178,178
1507513247,181,181
1507514133,182,182
1507516114,183,183
1507518868,185,185
1507520437,187,187
1507524037,188,188
1507524937,188,188
1507526908,191,191
1507529448,192,192
1507533273,189,189
1507534237,189,189
1507536873,189,189
1507538550,188,188
1507540236,159,159
1507541310,160,160
1507542225,158,158
1507543840,159,159
1507549242,161,161
1507551036,162,162
1507552108,163,163
1507552950,162,162
1507554867,161,161
1507555837,159,159
1507556549,157,157
1507557745,156,156
1507558822,158,158
1507561157,156,156
1507563937,156,156
1507565438,157,157
1507567828,155,155
1507569037,156,156
1507570949,155,155
1507571880,156,156
1507572876,154,154
1507573725,155,155
1507574554,155,155
1507580070,151,151
1507581039,151,151
1507581748,149,149
1507583450,149,149
1507585529,148,148
1507587036,152,152
1507589140,153,153
1507589976,153,153
1507590941,154,154
1507591839,153,153
1507592745,154,154
1507594242,152,152
1507596159,152,152
1507597838,151,151
1507599338,149,149
1507600671,149,149
1507602506,150,150
1507603361,150,150
1507605643,151,151
1507606946,151,151
1507608641,152,152
1507612100,149,149
1507614926,150,150
1507615840,149,149
1507617641,147,147
1507618762,147,147
1507621348,145,145
1507623265,144,144
1507624951,143,143
1507625804,143,143
1507626639,142,142
1507628552,141,141
1507629822,143,143
1507630766,144,144
1507632707,144,144
1507633710,143,143
1507634693,144,144
1507635625,144,144
1507637641,142,142
1507638629,141,141
1507644632,139,139
1507651832,138,138
1507658634,137,137
1507660514,136,136
1507661385,135,135
1507662444,133,133
1507669759,132,132
1507671747,128,128
1507675672,126,126
1507677034,124,124
1507680928,123,123
1507681823,121,121
1507682729,120,120
1507684234,118,118
1507686332,115,115
1507687412,113,113
1507689027,111,111
1507689834,109,109
1507691434,107,107
1507694128,106,106
1507695033,105,105
1507698631,104,104
1507700733,103,103
1507702234,102,102
1507706068,100,100
1507707750,96,96
1507708757,93,93
1507711361,90,90
1507713045,88,88
1507715075,87,87
1507716632,86,86
1507718547,85,85
1507720468,83,83
1507727433,81,81
1507728629,79,79
1507733127,78,78
