DateTime,Entries,UniqueIPs
1507488978,9472,9472
1507489822,9449,9449
1507490904,9497,9497
1507491758,9449,9449
1507493163,9457,9457
1507494021,9484,9484
1507495224,9455,9455
1507496177,9486,9486
1507497026,9473,9473
1507497924,9504,9504
1507498823,9445,9445
1507499718,9484,9484
1507500628,9479,9479
1507500874,9485,9485
1507501820,9465,9465
1507502546,9465,9465
1507503377,9508,9508
1507504228,9514,9514
1507506137,9500,9500
1507507712,9519,9519
1507509623,9496,9496
1507510577,9531,9531
1507511426,9517,9517
1507513224,9490,9490
1507514119,9514,9514
1507516098,9533,9533
1507517557,9493,9493
1507518857,9493,9493
1507520418,9476,9476
1507521317,9510,9510
1507522227,9499,9499
1507523116,9527,9527
1507524022,9458,9458
1507524923,9502,9502
1507525827,9487,9487
1507526897,9528,9528
1507527805,9475,9475
1507529427,9495,9495
1507530319,9534,9534
1507531519,9504,9504
1507533259,9520,9520
1507534222,9517,9517
1507535045,9512,9512
1507536860,9539,9539
1507537819,9503,9503
1507538538,9502,9502
1507540225,9493,9493
1507541299,9532,9532
1507542209,9475,9475
1507543825,9492,9492
1507545738,9447,9447
1507546575,9494,9494
1507547427,9460,9460
1507549219,9433,9433
1507551026,9457,9457
1507552097,9520,9520
1507552940,9445,9445
1507554856,9451,9451
1507555821,9413,9413
1507556539,9404,9404
1507557707,9412,9412
1507558517,9440,9440
1507559298,9469,9469
1507560136,9404,9404
1507562119,9436,9436
1507562898,9467,9467
1507563923,9424,9424
1507564577,9448,9448
1507565427,9427,9427
1507566825,9431,9431
1507567817,9449,9449
1507569025,9440,9440
1507570938,9409,9409
1507571869,9445,9445
1507572857,9446,9446
1507573703,9485,9485
1507574540,9437,9437
1507575907,9479,9479
1507576824,9510,9510
1507580059,9484,9484
1507581019,9452,9452
1507581736,9454,9454
1507583426,9465,9465
1507584474,9501,9501
1507585516,9448,9448
1507587025,9453,9453
1507588099,9494,9494
1507589119,9451,9451
1507589965,9422,9422
1507590920,9458,9458
1507591823,9432,9432
1507592723,9427,9427
1507593376,9457,9457
1507594226,9437,9437
1507594456,9449,9449
1507596139,9429,9429
1507597824,9452,9452
1507599327,9460,9460
1507600661,9474,9474
1507601726,9460,9460
1507602496,9492,9492
1507603347,9415,9415
1507604536,9412,9412
1507605622,9450,9450
1507606936,9433,9433
1507608626,9439,9439
1507609537,9464,9464
1507610535,9420,9420
1507612078,9421,9421
1507613073,9452,9452
1507614021,9405,9405
1507614916,9445,9445
1507615825,9429,9429
1507616642,9458,9458
1507617623,9388,9388
1507618733,9390,9390
1507619719,9428,9428
1507620783,9398,9398
1507621338,9396,9396
1507623261,9411,9411
1507624938,9380,9380
1507625780,9408,9408
1507626628,9380,9380
1507627698,9417,9417
1507628540,9214,9214
1507629779,9199,9199
1507630739,9221,9221
1507631722,9185,9185
1507632695,9185,9185
1507633688,9173,9173
1507634681,9218,9218
1507635612,9175,9175
1507636655,9211,9211
1507637630,9145,9145
1507638613,9081,9081
1507639613,9060,9060
1507640586,8993,8993
1507642511,8922,8922
1507644622,8840,8840
1507646430,8715,8715
1507648222,8669,8669
1507649777,8604,8604
1507651822,8530,8530
1507653739,8433,8433
1507655658,8378,8378
1507656625,8300,8300
1507657521,8268,8268
1507658623,8222,8222
1507660508,8147,8147
1507661375,8124,8124
1507662426,8067,8067
1507664532,7966,7966
1507665578,7924,7924
1507666482,7918,7918
1507668702,7842,7842
1507669748,7796,7796
1507671736,7704,7704
1507672858,7647,7647
1507675660,7565,7565
1507677022,7518,7518
1507678940,7422,7422
1507680108,7374,7374
1507681813,7305,7305
1507682718,7292,7292
1507684223,7240,7240
1507686321,7154,7154
1507687399,7116,7116
1507689017,7032,7032
1507689824,7004,7004
1507691423,6944,6944
1507694117,6849,6849
1507695022,6794,6794
1507696218,6727,6727
1507696941,6706,6706
1507698621,6664,6664
1507700722,6552,6552
1507702223,6494,6494
1507706057,6345,6345
1507707739,6236,6236
1507709657,6189,6189
1507711348,6079,6079
1507713033,6007,6007
1507715061,5903,5903
1507716622,5840,5840
1507718537,5756,5756
1507720457,5665,5665
1507722141,5514,5514
1507723535,5451,5451
1507725242,5367,5367
1507727422,5285,5285
1507728619,5202,5202
1507730865,5117,5117
1507733117,4997,4997
1507734622,4933,4933
1507736537,4838,4838
1507738159,4741,4741
1507740318,4644,4644
1507741255,4572,4572
1507743918,4487,4487
1507747309,4250,4250
1507749318,4185,4185
1507750219,4091,4091
1507752622,3998,3998
1507754716,3885,3885
1507756221,3820,3820
1507758316,3725,3725
1507760899,3615,3615
1507761772,3476,3476
1507762759,3420,3420
1507763720,3418,3418
1507764618,3331,3331
1507765516,3301,3301
1507767022,3224,3224
1507769116,3091,3091
1507770623,3031,3031
1507774222,2820,2820
1507776139,2687,2687
1507778055,2611,2611
1507779020,2505,2505
1507779917,2469,2469
1507781422,2403,2403
1507783345,2242,2242
1507786217,2056,2056
1507787123,2015,2015
1507788140,1920,1920
1507789817,1774,1774
1507790538,1735,1735
1507791659,1625,1625
1507793417,1488,1488
1507794148,1443,1443
1507795265,1335,1335
1507797020,1195,1195
1507797740,1131,1131
1507798751,1032,1032
1507799599,1022,1022
1507801336,795,795
1507803023,653,653
1507805080,433,433
1507806621,180,180
1507925656,689,689
1507927222,1090,1090
