DateTime,AddedIPs,RemovedIPs
1504379737,0,2
1504384958,0,1
1504387710,1,0
1504421091,15,0
1504425541,0,1
1504431939,0,1
1504437049,3,0
1504439135,1,0
1504446153,1,0
1504454583,0,1
1504456253,0,1
1504456965,0,2
1504459953,0,2
1504464105,0,1
1504465837,1,0
1504466731,2,0
1504468777,0,1
1504473046,2,0
1504476646,0,3
1504479405,1,2
1504485007,0,1
1504493135,1,0
1504499260,1,0
1504501839,0,1
1504503750,0,1
1504507493,1,1
1504528949,0,1
1504535125,6,0
1504536058,0,1
1504537300,0,2
1504539819,0,1
1504543361,1,0
1504546830,0,2
1504553440,1,1
1504557043,0,1
1504559676,1,0
1504568549,0,1
1504586559,2,0
1504588475,0,6
1504589435,0,8
1504590151,0,1
1504591838,0,1
1504603855,0,3
1504606248,0,5
1504611893,0,1
1504637770,0,3
1504654837,0,1
1504676738,1,3
1504678055,0,1
1504680153,1,7
1504681842,0,7
1504683630,0,1
1504685741,2,0
1504686653,0,1
1504687359,1,0
1504690952,0,1
1504704933,0,8
1504708960,3,0
1504716220,0,1
1504717851,1,0
1504735141,0,1
1504745430,1,0
1504759639,4,0
1504768247,0,1
1504780272,0,1
1504791839,0,1
1504793452,0,1
1504803756,0,1
1504806261,0,1
1504807939,0,1
1504813837,2,0
1504833064,1,0
1504838826,1,0
1504839910,0,1
1504849356,1,0
1504855969,0,2
1504860559,0,1
1504884739,0,1
1504887148,0,1
1504890967,1,0
1504894511,0,1
1504895476,0,1
1504901454,0,1
1504915839,0,2
1504922890,1,0
1504927864,0,2
1504930628,3,0
1504931500,0,1
1504938931,2,0
1504941042,1,0
1504951927,1,1
1504962249,1,0
1504968423,0,1
1504969923,0,1
1504971862,1,0
1504981937,0,1
1504989306,0,1
1505007150,0,3
1505008252,1,0
1505010655,0,2
1505018148,1,0
1505041176,1,0
1505043127,1,0
1505045517,2,0
1505050294,0,1
1505054931,1,0
1505056333,1,0
1505071004,0,1
1505081528,1,1
1505089846,1,0
1505099451,0,2
1505102195,2,0
1505111733,0,1
1505121277,0,1
1505132447,1,0
1505133751,0,1
1505136930,0,1
1505141877,1,0
1505174195,1,0
1505187648,0,2
1505188607,3,0
1505209548,0,1
1505214644,0,1
1505220340,0,1
1505225441,0,1
1505227358,0,2
1505232656,3,0
1505241648,1,0
1505274336,0,1
1505275852,3,0
1505286633,1,0
1505301283,0,1
1505313934,0,1
1505342047,0,1
1505344071,0,1
1505347845,1,0
1505351670,1,0
1505354195,2,0
1505367946,0,1
1505387446,0,1
1505393153,1,0
1505400930,0,1
1505405682,0,1
1505412649,0,1
1505415746,1,0
1505449893,3,1
1505452472,1,0
1505455853,0,1
1505458440,1,0
1505466409,1,0
1505467243,1,0
1505468553,1,0
1505475956,0,1
1505477451,1,0
1505485890,0,2
1505487798,1,1
1505499355,1,0
1505500219,7,0
1505500961,5,0
1505507879,0,1
