DateTime,AddedIPs,RemovedIPs
1507158271,16,0
1507160194,9,15
1507164251,27,12
1507166180,33,14
1507168094,33,5
1507170020,25,12
1507171953,25,31
1507173852,26,0
1507175781,29,26
1507177706,29,25
1507181550,37,61
1507183468,14,18
1507185396,33,35
1507187316,17,5
1507189227,17,7
1507191150,11,17
1507193066,15,14
1507194978,11,0
1507196908,5,5
1507198829,7,0
1507200749,10,9
1507202671,9,12
1507204572,8,19
1507206503,14,29
1507210341,18,11
1507212253,20,14
1507214414,19,14
1507216339,24,9
1507218253,31,12
1507222329,21,43
1507224264,22,23
1507226168,11,23
1507228092,27,11
1507230027,12,31
1507232189,14,11
1507234101,10,17
1507236022,15,29
1507237885,16,9
1507239855,21,26
1507242512,29,10
1507244425,12,16
1507246580,13,17
1507248405,9,11
1507250407,6,0
1507252475,26,33
1507256413,30,54
1507258608,28,53
1507262491,17,63
1507264377,6,35
1507266438,13,0
1507268652,23,36
1507272494,32,46
1507274421,28,18
1507276342,13,18
1507278251,18,12
1507284131,10,43
1507285941,15,8
1507287857,8,12
1507290025,9,10
1507291952,21,10
1507295773,17,12
1507297700,28,13
1507299612,25,15
1507303450,26,40
1507305383,13,26
1507307308,30,0
1507309212,12,22
1507311134,15,18
1507313061,15,15
1507314984,13,26
1507317891,35,13
1507319780,12,13
1507321702,17,9
1507323622,8,14
1507325548,27,18
1507327461,14,24
1507329631,33,30
1507331551,21,9
1507333457,16,18
1507335624,26,9
1507337531,32,5
1507339453,29,21
1507341381,35,0
1507343306,37,29
1507345220,13,30
1507349065,29,17
1507350982,23,6
1507352906,30,17
1507354812,28,0
1507356746,31,24
1507358657,23,0
1507360575,22,31
1507362497,29,23
1507364426,15,15
1507366345,10,15
1507368255,8,0
1507370170,9,0
1507372091,10,7
1507374028,3,15
1507375957,24,8
1507379792,28,27
1507381695,7,0
1507383624,17,16
1507385547,5,29
1507389370,28,17
1507391292,21,25
1507395145,17,37
1507397054,36,10
1507398981,33,17
1507400902,27,17
1507402821,30,10
1507404735,33,33
1507406667,32,9
1507408571,18,14
1507410493,21,10
1507412427,23,18
1507414346,23,20
1507416260,29,26
1507418196,19,18
1507420103,21,15
1507422034,26,19
1507423948,25,34
1507425870,19,24
1507427771,34,0
1507429719,30,71
1507431628,27,13
1507433557,27,0
1507435461,31,0
1507439302,32,47
1507443148,24,94
1507445070,29,25
1507446988,25,23
1507448905,27,20
1507450829,13,17
1507452746,12,10
1507456589,12,17
1507458511,6,10
1507460419,6,0
1507462341,21,6
1507464270,30,19
1507468132,17,27
1507470012,13,0
1507471938,26,22
1507473860,31,7
1507475781,19,22
1507477701,21,28
1507479636,19,0
1507481546,15,18
1507483469,23,27
1507485386,9,30
1507487551,16,26
1507489465,18,27
1507491395,11,28
1507493305,10,29
1507495230,13,17
1507497147,28,20
1507499061,27,20
1507501285,31,18
1507503126,10,28
1507505049,20,22
1507507008,21,22
1507508904,20,24
1507510823,27,27
1507512747,38,19
1507514667,22,34
1507516582,26,31
1507518519,27,26
1507522340,25,62
1507524261,27,0
1507526202,27,31
1507528094,23,0
1507530025,17,20
1507537694,11,97
1507539643,13,8
1507541554,9,0
1507543461,6,9
1507545376,2,6
1507547297,3,6
1507549232,5,24
1507551144,18,26
1507554986,17,15
1507556930,24,13
1507558815,9,25
1507560730,8,35
1507562652,30,20
1507564840,12,30
1507566756,13,25
1507568665,6,22
1507570586,8,29
1507572732,15,9
1507574656,31,14
1507576573,8,23
1507578496,20,9
1507580703,30,9
1507582577,11,12
1507584754,13,24
1507586666,9,33
1507588591,25,32
1507590506,9,13
1507592424,12,25
1507594340,19,22
1507598195,14,48
1507600104,16,37
1507602015,29,25
1507603933,9,26
1507605853,30,38
1507609720,29,25
1507611635,14,32
1507615463,25,50
1507617373,10,20
1507619295,19,0
1507621224,29,0
1507623145,12,0
1507625055,15,14
1507628893,15,19
1507631069,11,6
1507632974,17,6
1507634899,17,5
1507636837,15,6
1507638754,13,11
1507640666,22,0
1507642578,28,20
1507644495,27,31
1507646434,23,11
1507650267,25,37
1507652176,14,11
1507654092,38,8
1507656029,27,11
1507661096,29,44
1507662980,7,6
1507664898,36,23
1507670655,36,40
1507672572,43,11
1507674613,29,10
1507676423,12,21
1507678331,12,10
1507680272,34,14
1507682170,7,16
1507684350,10,0
1507686258,28,17
1507688176,19,18
1507690097,37,29
1507692020,16,8
1507693940,20,31
1507695867,45,0
1507697782,15,28
1507699702,32,16
1507701622,31,0
1507704499,38,34
1507706431,22,18
1507708345,24,25
1507710253,14,15
1507712184,18,16
1507714092,17,0
1507716051,15,12
1507717942,12,12
1507719860,13,12
1507721773,10,17
1507723720,14,9
1507725621,15,16
1507727551,24,28
1507729463,27,36
1507731402,12,34
1507733293,18,21
1507735233,23,0
1507737385,10,27
1507739556,14,12
1507741479,9,32
1507745309,12,30
1507747752,32,30
1507749613,11,6
1507751544,19,35
1507753451,40,0
1507755384,13,0
1507757302,30,29
1507761144,29,71
1507763325,25,14
1507767153,41,58
1507769068,40,8
1507770987,33,9
1507772896,42,31
1507776738,32,56
1507778658,27,13
1507782504,33,72
1507784465,30,20
1507786359,17,31
1507788283,23,37
1507790180,6,0
1507794034,26,54
1507795948,12,24
1507797863,11,12
1507799797,10,23
1507801712,12,19
1507803635,20,15
1507805554,7,12
1507807468,8,12
1507809385,5,8
1507811308,13,12
1507815149,14,32
1507817324,29,32
1507819222,34,11
1507821149,26,18
1507823065,28,21
1507825253,21,11
1507827148,27,14
1507829066,40,12
1507830983,16,0
1507832905,27,13
1507834850,12,33
1507837000,12,6
1507838894,9,16
1507840835,15,27
1507842748,15,9
1507844674,28,24
1507846991,32,0
1507848988,24,31
1507850887,23,19
1507852824,5,0
1507854741,39,38
1507856653,7,37
1507858565,5,28
1507862419,17,46
1507864337,24,34
1507866248,33,27
1507868183,28,0
1507870102,36,39
1507872009,19,28
1507875848,25,37
1507877775,33,7
1507879698,42,0
1507881604,10,26
1507883539,9,11
1507885455,15,12
1507889296,6,27
1507891219,18,17
1507893140,16,5
1507895050,14,6
1507896989,32,9
1507898903,26,15
1507900808,15,0
1507902731,8,11
1507904652,34,26
1507906580,30,35
1507908508,27,28
1507910688,11,32
1507912589,12,23
1507914527,20,27
1507916425,10,36
1507918578,21,16
1507920502,39,37
1507922437,26,10
1507924333,9,16
1507926263,29,11
1507928183,23,13
1507930104,38,18
1507932042,16,33
1507933961,18,29
1507935874,12,24
1507937795,16,23
1507939705,5,5
1507941618,12,37
1507944155,25,7
1507946176,12,6
1507948323,9,0
1507950490,10,15
1507952291,29,21
1507954719,36,64
1507956989,33,34
1507958898,26,20
1507961079,28,0
1507964912,27,64
1507966833,32,41
1507968742,16,10
1507970654,13,12
1507972595,5,18
1507974503,18,0
1507976655,12,7
1507978613,16,13
1507980749,20,19
1507982682,28,14
1507984591,5,23
1507986503,30,32
1507988422,30,15
1507990352,19,7
1507992256,33,30
1507994194,24,33
1507996100,30,24
1507998015,30,12
1507999943,22,11
1508001854,34,20
1508005701,35,28
1508007875,24,45
1508009781,31,23
1508011713,25,11
1508013625,30,29
1508015544,25,19
1508017458,26,42
1508019397,20,14
1508021305,31,18
1508023234,23,20
1508025149,38,17
1508027067,31,2
1508028985,25,12
1508030892,27,19
1508032832,36,12
1508034754,43,8
1508036663,28,0
1508038591,30,9
1508040507,44,29
1508042426,26,33
1508044356,7,31
1508046266,28,24
1508048193,19,29
1508050100,26,0
1508052030,26,24
1508053944,22,28
1508055861,13,21
1508057783,10,12
1508061637,9,26
1508063551,12,15
1508065473,12,13
1508067374,15,19
1508069323,8,31
1508071226,13,4
1508073395,21,18
1508075292,28,27
1508077209,20,15
1508079148,16,30
1508081071,29,25
1508084215,19,27
1508086097,26,28
1508088035,27,19
1508089943,33,37
1508091858,28,0
1508093771,26,33
1508095707,22,21
1508097623,20,30
1508099539,32,27
1508103389,25,54
1508105305,16,28
1508107214,28,21
1508109138,25,29
1508111065,24,30
1508113005,24,34
1508114909,31,40
1508116813,26,26
1508118739,11,27
1508120655,31,37
1508122589,16,33
1508124501,28,34
1508126429,27,32
1508128342,18,45
1508130265,30,23
1508132184,24,9
1508134110,10,32
1508136025,22,24
1508137950,25,28
1508139859,28,28
1508141781,9,22
1508143698,13,14
1508145626,10,13
1508147570,9,0
1508155223,10,56
1508157141,14,11
1508161219,25,29
1508163131,6,23
1508165052,31,17
1508166988,5,14
1508168894,21,32
1508170820,20,18
1508172743,9,23
1508174652,30,26
1508176568,16,26
1508178493,32,27
1508180426,6,31
1508182349,9,24
1508184254,7,21
1508186170,16,28
1508188101,32,0
1508190006,13,28
1508191931,30,14
1508193861,25,29
1508195805,19,25
1508197763,27,26
1508199648,19,28
1508201553,34,29
1508203721,40,27
1508205643,33,11
1508207557,22,28
1508209470,11,14
1508211398,14,32
1508213322,16,26
1508215236,41,24
1508219088,17,65
1508220984,21,16
1508222939,27,22
1508226759,30,59
1508231541,12,27
1508233463,9,9
1508235377,16,9
