DateTime,Entries,UniqueIPs
1507158271,4114,4189
1507160194,4112,4187
1507164251,4113,4190
1507166180,4131,4209
1507168094,4140,4219
1507170020,4141,4220
1507171953,4144,4225
1507173852,4144,4225
1507175781,4145,4225
1507177706,4154,4235
1507181550,4149,4232
1507183468,4137,4222
1507185396,4143,4227
1507187316,4146,4231
1507189227,4142,4227
1507191150,4138,4223
1507193066,4143,4228
1507194978,4143,4232
1507196908,4142,4231
1507198829,4147,4236
1507200749,4142,4230
1507202671,4135,4225
1507204572,4138,4228
1507206503,4127,4217
1507210341,4131,4218
1507212253,4121,4208
1507214414,4112,4200
1507216339,4113,4200
1507218253,4132,4219
1507222329,4131,4218
1507224264,4135,4222
1507226168,4133,4221
1507228092,4142,4230
1507230027,4138,4225
1507232189,4126,4212
1507234101,4115,4201
1507236022,4107,4192
1507237885,4110,4195
1507239855,4110,4195
1507242512,4121,4206
1507244425,4122,4207
1507246580,4111,4196
1507248405,4100,4183
1507250407,4091,4174
1507252475,4095,4178
1507256413,4092,4175
1507258608,4089,4172
1507262491,4073,4154
1507264377,4077,4158
1507266438,4065,4146
1507268652,4065,4146
1507272494,4064,4145
1507274421,4059,4140
1507276342,4057,4139
1507278251,4065,4147
1507284131,4032,4114
1507285941,4045,4127
1507287857,4045,4127
1507290025,4038,4121
1507291952,4043,4126
1507295773,4013,4095
1507297700,4012,4094
1507299612,4011,4093
1507303450,4000,4082
1507305383,3993,4075
1507307308,3993,4075
1507309212,3999,4081
1507311134,4007,4089
1507313061,3998,4080
1507314984,4005,4087
1507317891,4009,4091
1507319780,3995,4077
1507321702,3969,4050
1507323622,3958,4039
1507325548,3957,4038
1507327461,3944,4025
1507329631,3951,4032
1507331551,3967,4048
1507333457,3978,4059
1507335624,3971,4053
1507337531,3969,4051
1507339453,3969,4051
1507341381,3995,4077
1507343306,4004,4086
1507345220,3992,4074
1507349065,4000,4082
1507350982,4015,4097
1507352906,4026,4108
1507354812,4044,4127
1507356746,4053,4136
1507358657,4054,4137
1507360575,4055,4138
1507362497,4053,4136
1507364426,4046,4128
1507366345,4050,4133
1507368255,4041,4124
1507370170,4047,4130
1507372091,4053,4136
1507374028,4052,4135
1507375957,4063,4146
1507379792,4066,4149
1507381695,4056,4139
1507383624,4054,4137
1507385547,4043,4126
1507389370,4051,4134
1507391292,4047,4130
1507395145,4029,4112
1507397054,4046,4129
1507398981,4058,4140
1507400902,4072,4154
1507402821,4066,4148
1507404735,4078,4160
1507406667,4097,4179
1507408571,4108,4190
1507410493,4125,4210
1507412427,4120,4205
1507414346,4118,4204
1507416260,4117,4204
1507418196,4113,4199
1507420103,4115,4201
1507422034,4118,4204
1507423948,4114,4200
1507425870,4115,4201
1507427771,4121,4208
1507429719,4127,4214
1507431628,4124,4211
1507433557,4123,4210
1507435461,4123,4210
1507439302,4132,4221
1507443148,4105,4195
1507445070,4112,4205
1507446988,4113,4206
1507448905,4116,4209
1507450829,4111,4202
1507452746,4119,4211
1507456589,4113,4202
1507458511,4110,4199
1507460419,4108,4197
1507462341,4112,4200
1507464270,4127,4215
1507468132,4118,4206
1507470012,4120,4208
1507471938,4133,4225
1507473860,4139,4233
1507475781,4136,4230
1507477701,4141,4236
1507479636,4148,4243
1507481546,4141,4235
1507483469,4146,4240
1507485386,4137,4231
1507487551,4141,4235
1507489465,4149,4243
1507491395,4141,4234
1507493305,4142,4235
1507495230,4154,4247
1507497147,4160,4256
1507499061,4175,4272
1507501285,4194,4291
1507503126,4199,4296
1507505049,4207,4303
1507507008,4214,4311
1507508904,4225,4322
1507510823,4219,4317
1507512747,4232,4330
1507514667,4249,4348
1507516582,4251,4349
1507518519,4253,4351
1507522340,4244,4342
1507524261,4241,4340
1507526202,4242,4342
1507528094,4256,4356
1507530025,4258,4359
1507537694,4226,4327
1507539643,4227,4328
1507541554,4223,4324
1507543461,4222,4323
1507545376,4220,4321
1507547297,4220,4321
1507549232,4215,4316
1507551144,4225,4326
1507554986,4221,4321
1507556930,4218,4319
1507558815,4202,4302
1507560730,4185,4285
1507562652,4207,4307
1507564840,4206,4305
1507566756,4212,4311
1507568665,4212,4311
1507570586,4212,4311
1507572732,4217,4316
1507574656,4228,4326
1507576573,4226,4324
1507578496,4223,4321
1507580703,4237,4335
1507582577,4241,4339
1507584754,4249,4347
1507586666,4227,4325
1507588591,4234,4333
1507590506,4227,4326
1507592424,4213,4312
1507594340,4225,4324
1507598195,4201,4300
1507600104,4186,4285
1507602015,4190,4287
1507603933,4196,4293
1507605853,4201,4298
1507609720,4210,4307
1507611635,4200,4297
1507615463,4183,4280
1507617373,4191,4288
1507619295,4196,4293
1507621224,4200,4297
1507623145,4197,4292
1507625055,4202,4297
1507628893,4205,4300
1507631069,4195,4290
1507632974,4200,4295
1507634899,4200,4295
1507636837,4196,4291
1507638754,4207,4302
1507640666,4220,4315
1507642578,4234,4330
1507644495,4244,4340
1507646434,4246,4343
1507650267,4235,4332
1507652176,4240,4337
1507654092,4262,4361
