DateTime,AddedIPs,RemovedIPs
1507158271,26,27
1507160194,21,26
1507164251,55,18
1507166180,50,48
1507168094,46,55
1507170020,42,48
1507171953,45,42
1507173852,43,41
1507175781,53,46
1507177706,52,53
1507181550,58,52
1507183468,19,61
1507185396,54,20
1507187316,30,47
1507189227,35,31
1507191150,17,37
1507193066,33,18
1507194978,19,34
1507196908,8,21
1507198829,14,11
1507200749,16,13
1507202671,19,17
1507204572,18,18
1507206503,18,19
1507210341,32,18
1507212253,34,28
1507214414,32,30
1507216339,35,31
1507218253,45,34
1507222329,43,52
1507224264,40,41
1507226168,32,39
1507228092,47,27
1507230027,20,52
1507232189,24,23
1507234101,23,22
1507236022,29,23
1507237885,34,29
1507239855,46,30
1507242512,47,45
1507244425,21,54
1507246580,26,19
1507248405,28,26
1507250407,18,32
1507252475,45,12
1507256413,48,44
1507258608,48,47
1507262491,30,53
1507264377,14,30
1507266438,26,15
1507268652,41,26
1507272494,51,35
1507274421,47,46
1507276342,26,54
1507278251,32,32
1507284131,17,33
1507285941,26,15
1507287857,16,25
1507290025,17,15
1507291952,36,16
1507295773,37,37
1507297700,49,31
1507299612,35,56
1507303450,47,35
1507305383,28,45
1507307308,52,25
1507309212,24,54
1507311134,20,24
1507313061,25,22
1507314984,23,26
1507317891,59,22
1507319780,27,60
1507321702,39,24
1507323622,18,38
1507325548,50,22
1507327461,31,46
1507329631,55,31
1507331551,34,59
1507333457,28,32
1507335624,48,30
1507337531,49,44
1507339453,47,51
1507341381,62,46
1507343306,62,62
1507345220,29,62
1507349065,50,28
1507350982,46,49
1507352906,52,45
1507354812,51,56
1507356746,53,45
1507358657,44,55
1507360575,37,44
1507362497,46,37
1507364426,31,48
1507366345,23,34
1507368255,15,26
1507370170,15,15
1507372091,18,15
1507374028,15,19
1507375957,40,13
1507379792,51,37
1507381695,9,55
1507383624,43,9
1507385547,14,40
1507389370,48,12
1507391292,34,45
1507395145,37,40
1507397054,54,36
1507398981,53,53
1507400902,47,50
1507402821,55,50
1507404735,47,52
1507406667,53,46
1507408571,39,57
1507410493,43,36
1507412427,47,40
1507414346,50,50
1507416260,58,52
1507418196,37,56
1507420103,50,36
1507422034,47,52
1507423948,53,47
1507425870,29,56
1507427771,58,26
1507429719,49,58
1507431628,47,50
1507433557,50,49
1507435461,56,49
1507439302,59,54
1507443148,57,63
1507445070,43,46
1507446988,42,48
1507448905,51,41
1507450829,25,53
1507452746,23,28
1507456589,23,27
1507458511,12,23
1507460419,16,13
1507462341,55,13
1507464270,49,49
1507468132,43,51
1507470012,16,44
1507471938,50,18
1507473860,53,45
1507475781,42,53
1507477701,39,40
1507479636,38,43
1507481546,42,39
1507483469,52,42
1507485386,17,53
1507487551,31,20
1507489465,37,26
1507491395,22,39
1507493305,21,23
1507495230,28,23
1507497147,53,23
1507499061,54,52
1507501285,63,56
1507503126,19,64
1507505049,47,22
1507507008,48,41
1507508904,51,45
1507510823,49,54
1507512747,54,50
1507514667,44,50
1507516582,48,45
1507518519,49,47
1507522340,52,52
1507524261,48,48
1507526202,53,53
1507528094,46,50
1507530025,44,47
1507537694,27,51
1507539643,26,27
1507541554,17,26
1507543461,14,17
1507545376,13,16
1507547297,14,10
1507549232,14,15
1507551144,34,14
1507554986,39,27
1507556930,47,43
1507558815,20,48
1507560730,19,22
1507562652,51,17
1507564840,21,52
1507566756,21,22
1507568665,18,17
1507570586,13,18
1507572732,34,16
1507574656,46,26
1507576573,18,52
1507578496,43,19
1507580703,51,42
1507582577,15,53
1507584754,15,15
1507586666,25,18
1507588591,42,19
1507590506,24,39
1507592424,30,27
1507594340,32,30
1507598195,40,28
1507600104,40,43
1507602015,49,41
1507603933,26,50
1507605853,59,26
1507609720,48,62
1507611635,31,46
1507615463,52,32
1507617373,22,53
1507619295,38,18
1507621224,51,35
1507623145,23,53
1507625055,26,27
1507628893,23,24
1507631069,22,26
1507632974,32,23
1507634899,26,32
1507636837,26,26
1507638754,30,22
1507640666,50,31
1507642578,53,47
1507644495,51,56
1507646434,41,52
1507650267,43,39
1507652176,21,46
1507654092,61,21
1507656029,41,56
1507661096,49,45
1507662980,17,51
1507664898,55,17
1507670655,61,51
1507672572,68,60
1507674613,40,71
1507676423,19,38
1507678331,24,22
1507680272,60,13
1507682170,14,70
1507684350,19,16
1507686258,48,16
1507688176,35,47
1507690097,52,34
1507692020,20,53
1507693940,33,21
1507695867,66,33
1507697782,33,70
1507699702,52,29
1507701622,51,49
1507704499,59,50
1507706431,29,56
1507708345,43,35
1507710253,23,44
1507712184,34,25
1507714092,25,35
1507716051,27,25
1507717942,20,27
1507719860,20,18
1507721773,14,21
1507723720,25,15
1507725621,20,25
1507727551,33,16
1507729463,47,36
1507731402,23,45
1507733293,37,22
1507735233,42,40
1507737385,20,40
1507739556,24,23
1507741479,21,22
1507745309,18,22
1507747752,49,15
1507749613,22,51
1507751544,32,20
1507753451,60,33
