DateTime,AddedIPs,RemovedIPs
1507740495,42,50
1507741494,62,31
1507742426,41,72
1507743403,50,31
1507744348,49,58
1507745324,55,55
1507747768,112,65
1507748915,44,79
1507749854,25,5
1507750834,45,98
1507751772,32,7
1507752749,56,56
1507753702,41,5
1507754670,53,90
1507755620,42,18
1507756592,26,5
1507757551,59,54
1507758496,59,64
1507759464,52,47
1507760425,61,44
1507761383,45,44
1507762343,33,6
1507763330,37,33
1507764256,65,112
1507765229,43,24
1507766175,78,59
1507767159,60,44
1507768092,112,34
1507769083,74,71
1507770040,57,78
1507771101,44,31
1507772180,53,69
1507773140,29,44
1507774094,35,5
1507775066,67,54
1507776022,79,51
1507776974,49,10
1507777954,53,44
1507778891,54,44
1507779855,74,19
1507780838,110,127
1507782039,63,45
1507782995,77,51
1507783944,46,43
1507784893,37,85
1507785876,26,24
1507786823,20,27
1507787776,26,22
1507788756,30,28
1507789701,57,64
1507790656,53,45
1507791637,45,82
1507792582,32,57
1507793560,37,30
1507794498,57,47
1507795464,58,35
1507796417,42,34
1507797410,44,22
1507798332,34,63
1507799305,41,18
1507800264,21,26
1507801217,61,41
1507802182,42,23
1507803157,34,49
1507804095,62,57
1507805057,51,45
1507806039,67,44
1507806977,44,29
1507808664,90,47
1507809628,33,35
1507810590,43,9
1507811554,40,10
1507812507,41,32
1507813463,34,21
1507814434,29,8
1507815374,38,17
1507816333,37,25
1507817329,53,20
1507818264,37,20
1507819227,38,23
1507820184,36,51
1507821154,32,3
1507822091,29,17
1507823079,39,38
1507825268,78,77
1507826174,34,24
1507827153,24,9
1507828104,42,12
1507829081,32,61
1507830013,56,9
1507830988,28,8
1507832185,45,10
1507833136,44,9
1507834107,25,2
1507835072,28,13
1507836012,16,5
1507837005,26,5
1507837935,18,9
1507838909,31,3
1507839855,23,8
1507840840,42,11
1507841773,32,12
1507842763,41,11
1507843690,38,4
1507844681,33,13
1507845636,21,15
1507847009,36,3
1507848024,35,40
1507848993,22,7
1507849948,28,4
1507850892,43,33
1507851865,32,17
1507852829,38,36
1507854041,41,38
1507854973,30,12
1507855964,39,24
1507856895,49,26
1507857871,34,25
1507858827,34,16
1507859777,38,27
1507860753,41,15
1507861692,35,22
1507862654,62,42
1507863636,51,21
1507864577,40,41
1507865550,39,23
1507866495,33,8
1507867473,23,11
1507868413,31,15
1507869394,34,31
1507870341,31,7
1507871298,38,43
1507872266,26,19
1507873227,38,12
1507874180,30,28
1507875148,28,50
1507876102,30,6
1507877064,40,34
1507878019,25,47
1507878989,29,7
1507879949,33,32
1507880909,32,22
