DateTime,AddedIPs,RemovedIPs
1507741494,1025,1037
1507742426,1020,1010
1507743403,1098,1097
1507744348,1396,1392
1507745324,1094,1082
1507747768,1973,1956
1507748915,739,726
1507749854,638,633
1507750834,510,524
1507751772,975,967
1507752749,1243,1241
1507753702,1005,1019
1507754670,950,937
1507755620,867,859
1507756592,623,619
1507757551,1046,1033
1507758496,941,940
1507759464,1194,1184
1507760425,999,999
1507761383,1297,1291
1507762343,878,864
1507763330,973,985
1507764256,1252,1246
1507765229,1281,1284
1507766175,1775,1738
1507767159,1322,1304
1507768092,1764,1780
1507769083,932,905
1507770040,608,625
1507771101,502,486
1507772180,634,640
1507773140,421,420
1507774094,494,466
1507775066,1257,1279
1507776022,1147,1125
1507776974,1157,1159
1507777954,1364,1355
1507778891,1431,1428
1507779855,1380,1453
1507780838,1758,1727
1507782039,1502,1472
1507782995,1278,1262
1507783944,672,659
1507784893,599,585
1507785876,448,429
1507786823,486,471
1507787776,387,402
1507788756,1081,1072
1507789701,1637,1630
1507790656,1314,1314
1507791637,975,966
1507792582,891,883
1507793560,1324,1316
1507794498,1570,1573
1507795464,1268,1277
1507796417,1155,1161
1507797410,1118,1123
1507798332,716,723
1507799305,830,857
1507800264,564,560
1507801217,932,911
1507802182,814,816
1507803157,993,965
1507804095,1793,1806
1507805057,1093,1102
1507806039,1098,1112
1507806977,944,977
1507808664,1945,1992
1507809628,719,748
1507810590,580,607
1507811554,806,819
1507812507,571,577
1507813463,777,784
1507814434,620,616
1507815374,746,759
1507816333,650,646
1507817329,804,815
1507818264,641,637
1507819227,572,580
1507820184,691,690
1507821154,586,604
1507822091,634,631
1507823079,718,728
1507825268,1435,1417
1507826174,685,693
1507827153,603,601
1507828104,738,725
1507829081,673,664
1507830013,906,902
1507830988,920,914
1507832185,871,863
1507833136,767,772
1507834107,446,452
1507835072,523,517
1507836012,414,411
1507837005,517,514
1507837935,432,446
1507838909,496,502
1507839855,362,368
1507840840,1400,1413
1507841773,1097,1089
1507842763,1187,1197
1507843690,708,724
1507844681,761,768
1507845636,710,715
1507847009,918,914
1507848024,685,696
1507848993,624,620
1507849948,766,778
1507850892,718,714
1507851865,756,756
1507852829,780,783
1507854041,837,865
1507854973,619,629
1507855964,742,763
1507856895,669,678
1507857871,875,895
1507858827,696,698
1507859777,557,544
1507860753,836,830
1507861692,612,605
1507862654,725,723
1507863636,762,745
1507864577,581,586
1507865550,658,658
1507866495,582,591
1507867473,808,805
1507868413,593,597
1507869394,751,753
1507870341,689,681
1507871298,721,708
1507872266,553,565
1507873227,728,733
1507874180,684,692
1507875148,746,739
1507876102,571,576
1507877064,673,657
1507878019,738,736
1507878989,571,572
1507879949,701,708
1507880909,659,659
1507881867,756,751
1507882813,595,593
1507883795,639,653
1507884734,641,648
1507885703,713,712
