DateTime,Entries,UniqueIPs
1507741491,963,963
1507742423,964,964
1507743401,965,965
1507744329,975,975
1507745321,985,985
1507747765,998,998
1507748913,997,997
1507749852,1002,1002
1507750831,992,992
1507751770,999,999
1507752746,1005,1005
1507753699,1004,1004
1507754668,1011,1011
1507755617,1018,1018
1507756589,1022,1022
1507757546,1029,1029
1507758494,1032,1032
1507759462,1045,1045
1507760423,1048,1048
1507761380,1057,1057
1507762341,1071,1071
1507763327,1067,1067
1507764253,1086,1086
1507765226,1082,1082
1507766173,1106,1106
1507767156,1118,1118
1507768089,1098,1098
1507769081,1117,1117
1507770038,1096,1096
1507771098,1120,1120
1507772178,1109,1109
1507773137,1113,1113
1507774091,1137,1137
1507775064,1113,1113
1507776020,1142,1142
1507776971,1129,1129
1507777952,1145,1145
1507778889,1159,1159
1507779853,1150,1150
1507780836,1157,1157
1507782036,1161,1161
1507782993,1166,1166
1507783941,1187,1187
1507784891,1185,1185
1507785873,1190,1190
1507786821,1202,1202
1507787774,1182,1182
1507788754,1191,1191
1507789697,1196,1196
1507790654,1196,1196
1507791635,1209,1209
1507792580,1213,1213
1507793558,1222,1222
1507794496,1233,1233
1507795462,1231,1231
1507796414,1245,1245
1507797407,1234,1234
1507798329,1240,1240
1507799302,1224,1224
1507800262,1231,1231
1507801214,1257,1257
1507802179,1243,1243
1507803155,1253,1253
1507804092,1241,1241
1507805055,1249,1249
1507806037,1247,1247
1507806975,1206,1206
1507808661,1144,1144
1507809625,1116,1116
1507810588,1100,1100
1507811552,1082,1082
1507812505,1075,1075
1507813461,1056,1056
1507814431,1053,1053
1507815371,1041,1041
1507816330,1037,1037
1507817327,1034,1034
1507818262,1034,1034
1507819225,1030,1030
1507820181,1030,1030
1507821152,1013,1013
1507822089,1017,1017
1507823076,1011,1011
1507825265,1017,1017
1507826172,1020,1020
1507827151,1020,1020
1507828102,1030,1030
1507829079,1028,1028
1507830011,1041,1041
1507830986,1041,1041
1507832183,1041,1041
1507833134,1036,1036
1507834105,1028,1028
1507835069,1033,1033
1507836010,1028,1028
1507837003,1027,1027
1507837933,1024,1024
1507838907,1019,1019
1507839852,1021,1021
1507840838,1018,1018
1507841770,1016,1016
1507842760,994,994
1507843688,980,980
1507844679,971,971
1507845633,961,961
1507847007,960,960
1507848022,956,956
1507848990,959,959
1507849945,954,954
1507850890,950,950
1507851862,953,953
1507852827,950,950
1507854038,921,921
1507854971,912,912
1507855961,888,888
1507856893,881,881
1507857868,860,860
1507858824,862,862
1507859775,873,873
1507860751,875,875
1507861690,877,877
1507862651,886,886
1507863633,900,900
1507864575,905,905
1507865548,906,906
1507866493,900,900
1507867471,901,901
1507868411,896,896
1507869391,894,894
1507870339,895,895
1507871296,904,904
1507872263,895,895
1507873225,899,899
1507874178,895,895
1507875145,900,900
1507876099,900,900
1507877062,909,909
1507878017,905,905
1507878987,898,898
1507879946,892,892
1507880906,892,892
1507881864,900,900
1507882810,906,906
1507883792,899,899
1507884731,890,890
1507885701,887,887
1507886663,885,885
1507887610,888,888
1507888582,885,885
1507889543,886,886
1507890491,889,889
1507891461,884,884
1507892442,878,878
1507893374,881,881
1507895062,879,879
1507896014,881,881
1507896991,879,879
1507897938,874,874
1507898906,875,875
1507899860,872,872
1507900821,873,873
1507901782,866,866
1507902734,861,861
1507903704,860,860
1507904666,853,853
1507905610,861,861
1507906584,859,859
1507907530,857,857
1507908512,857,857
1507910701,850,850
1507911610,845,845
1507912592,836,836
1507913531,828,828
1507914530,817,817
1507915452,812,812
1507916428,806,806
1507917369,804,804
1507918592,800,800
1507919533,798,798
1507920505,798,798
1507921471,797,797
1507922451,795,795
1507923382,794,794
1507924336,796,796
1507925303,800,800
1507926279,793,793
1507927210,791,791
1507928186,793,793
1507929148,798,798
1507930107,795,795
1507931067,798,798
1507932045,802,802
1507932993,806,806
1507933964,801,801
1507934892,803,803
1507935886,805,805
1507936820,802,802
1507937798,802,802
1507938730,794,794
1507939717,774,774
1507940700,759,759
1507941621,736,736
1507942571,723,723
1507944171,699,699
1507945576,675,675
1507946656,711,711
1507947625,753,753
1507948592,784,784
1507949792,811,811
1507950743,821,821
1507951649,833,833
1507952772,846,846
1507954003,842,842
1507955178,843,843
1507956258,850,850
1507957477,867,867
1507958418,861,861
1507959380,862,862
1507960339,857,857
1507961558,864,864
1507962492,860,860
1507963463,862,862
1507964423,860,860
1507965391,857,857
1507966337,855,855
1507967305,852,852
1507968270,855,855
1507969212,861,861
1507970197,868,868
1507971133,872,872
1507972109,872,872
1507973057,867,867
1507974010,866,866
1507974989,868,868
1507976195,860,860
1507977149,864,864
1507978115,862,862
1507979147,876,876
1507980261,873,873
1507981219,868,868
1507982189,872,872
1507983150,865,865
1507984091,867,867
1507985075,869,869
1507986026,866,866
1507986982,869,869
1507987970,875,875
1507988897,874,874
1507989874,874,874
1507990810,873,873
1507991793,881,881
1507992735,884,884
1507993701,887,887
1507994653,894,894
1507995638,899,899
1507996588,899,899
1507997540,902,902
1507998516,909,909
1507999458,904,904
1508000463,903,903
1508001400,913,913
1508002337,910,910
1508003318,910,910
1508004277,908,908
1508005234,908,908
1508006182,907,907
1508007142,908,908
1508008351,906,906
1508009302,902,902
1508010263,904,904
1508011215,903,903
1508012197,908,908
1508013142,911,911
1508014103,915,915
1508015068,912,912
1508016037,902,902
1508016990,903,903
1508017930,910,910
1508018908,910,910
1508019862,914,914
1508020810,915,915
1508021821,907,907
1508022735,912,912
1508023709,912,912
1508024653,908,908
1508025619,897,897
1508026594,891,891
1508027553,875,875
1508028501,867,867
1508029462,867,867
1508030435,859,859
1508031398,848,848
1508032340,847,847
1508033302,853,853
1508034265,853,853
1508035229,846,846
1508036181,823,823
1508037148,818,818
1508038098,807,807
1508039067,800,800
1508040053,802,802
1508040997,791,791
1508041948,787,787
1508042909,779,779
1508043873,779,779
1508044811,786,786
1508045794,783,783
1508046756,774,774
1508047695,771,771
1508048652,769,769
1508049625,765,765
1508050587,763,763
1508051546,759,759
1508052491,757,757
1508053470,747,747
1508054433,736,736
1508055375,722,722
1508056356,714,714
1508057321,710,710
1508058265,709,709
1508059210,703,703
1508060181,702,702
1508061162,681,681
1508062096,669,669
1508063065,663,663
1508064025,658,658
1508064974,648,648
1508065955,637,637
1508066895,637,637
1508067868,633,633
1508068829,626,626
1508069802,612,612
1508070740,600,600
1508071703,591,591
1508072684,583,583
