DateTime,AddedIPs,RemovedIPs
1507740495,576,0
1507741494,674,2
1507742426,692,0
1507743403,669,111
1507744348,851,0
1507745324,676,306
1507747768,1147,2
1507748915,425,100
1507749854,346,1
1507750834,285,3
1507751772,537,153
1507752749,652,2
1507753702,507,174
1507754670,473,0
1507755620,424,0
1507756592,303,130
1507757551,547,1
1507758496,424,125
1507759464,530,0
1507760425,433,5
1507761383,561,120
1507762343,363,2
1507763330,378,121
1507764256,502,2
1507765229,497,2
1507766175,667,116
1507767159,476,3
1507768092,660,115
1507769083,348,2
1507770040,217,52
1507771101,193,64
1507772180,240,0
1507773140,125,135
1507774094,145,4
1507775066,422,60
1507776022,369,50
1507776974,361,8
1507777954,389,110
1507778891,422,5
1507779855,417,1
1507780838,620,141
1507782039,421,10
1507782995,365,111
1507783944,193,0
1507784893,147,31
1507785876,114,77
1507786823,119,0
1507787776,88,119
1507788756,269,0
1507789701,485,67
1507790656,371,74
1507791637,272,0
1507792582,219,102
1507793560,350,91
1507794498,352,11
1507795464,270,191
1507796417,239,38
1507797410,213,45
1507798332,157,221
1507799305,193,116
1507800264,140,0
1507801217,223,142
1507802182,205,109
1507803157,234,121
1507804095,415,123
1507805057,246,4
1507806039,283,167
1507806977,284,259
1507808664,546,429
1507809628,197,96
1507810590,195,71
1507811554,235,48
1507812507,166,62
1507813463,208,22
1507814434,151,45
1507815374,218,10
1507816333,167,25
1507817329,233,161
1507818264,171,221
1507819227,148,148
1507820184,164,211
1507821154,149,154
1507822091,160,229
1507823079,177,299
1507825268,364,565
1507826174,173,176
1507827153,135,197
1507828104,197,183
1507829081,181,239
1507830013,254,308
1507830988,247,233
1507832185,213,426
1507833136,196,0
1507834107,114,0
1507835072,103,157
1507836012,85,126
1507837005,115,101
1507837935,100,271
1507838909,133,353
1507839855,91,269
1507840840,356,240
1507841773,250,217
1507842763,268,135
1507843690,159,291
1507844681,175,258
1507845636,130,346
1507847009,209,623
1507848024,181,202
1507848993,161,261
1507849948,187,284
1507850892,170,313
1507851865,180,443
1507852829,173,310
1507854041,225,453
1507854973,150,210
1507855964,160,92
1507856895,120,100
1507857871,188,118
1507858827,130,113
1507859777,117,121
1507860753,186,396
1507861692,126,358
1507862654,157,356
1507863636,165,411
1507864577,147,415
1507865550,134,471
1507866495,154,623
1507867473,169,450
1507868413,129,0
1507869394,175,362
1507870341,144,174
1507871298,181,210
1507872266,123,0
1507873227,165,239
1507874180,163,427
1507875148,162,0
1507876102,144,1360
1507877064,140,427
1507878019,170,0
1507878989,133,1011
1507879949,168,0
1507880909,149,1413
1507881867,166,599
1507882813,132,0
1507883795,130,564
1507884734,154,713
1507885703,155,0
1507886665,144,261
1507887612,154,447
1507888584,157,820
1507889546,146,0
1507890493,180,907
1507891463,186,941
1507892445,192,358
1507893376,192,0
1507895065,307,969
1507896017,191,0
1507896994,165,421
1507897941,242,0
1507898908,152,407
1507899863,231,0
1507900823,213,174
1507901784,227,365
1507902736,220,239
1507903706,191,0
1507904668,161,315
1507905612,160,0
1507906586,219,331
1507907533,234,0
1507908515,220,392
1507910704,434,410
1507911612,195,0
1507912594,220,334
1507913533,206,0
1507914532,224,388
1507915455,254,0
1507916430,217,423
1507917371,211,0
1507918594,256,498
1507919536,155,0
1507920507,123,112
1507921474,120,273
1507922453,156,159
1507923384,141,0
1507924338,138,304
1507925305,123,0
1507926282,314,536
1507927212,266,0
1507928189,174,739
1507929151,207,0
1507930109,137,378
1507931069,181,0
1507932048,223,433
1507932995,189,0
1507933967,197,158
1507934894,145,161
1507935888,219,228
1507936822,179,196
1507937800,147,209
1507938733,207,251
1507939719,360,219
1507940703,237,190
1507941623,189,194
1507942573,219,181
1507944173,337,241
1507945578,487,285
1507946659,429,202
1507947627,340,152
1507948595,174,203
1507949795,170,200
1507950745,105,169
1507951652,76,194
1507952774,58,143
1507954007,70,379
1507955181,62,218
1507956261,85,176
1507957479,162,207
1507958420,128,178
1507959382,227,197
1507960341,316,233
1507961561,478,380
1507962494,297,0
1507963466,294,390
1507964425,210,160
1507965393,204,177
1507966340,174,0
1507967308,321,161
1507968272,178,345
1507969215,172,161
1507970199,167,175
1507971135,160,187
1507972112,231,163
1507973059,155,0
1507974012,189,149
1507974992,137,344
1507976197,252,141
1507977152,166,179
1507978117,179,185
1507979150,198,176
1507980265,260,268
1507981221,212,0
1507982192,190,158
1507983152,139,157
1507984115,191,217
1507985078,172,132
1507986028,144,206
1507986984,188,172
1507987972,204,160
1507988900,167,184
1507989876,163,180
1507990812,133,183
1507991796,127,186
1507992738,133,209
1507993704,170,189
1507994655,142,175
1507995640,147,448
1507996590,209,0
1507997542,226,188
1507998519,224,230
1507999461,113,208
1508000466,121,221
1508001403,166,229
1508002339,86,189
1508003320,121,208
1508004279,141,286
1508005237,399,179
1508006184,178,123
1508007145,123,136
1508008354,247,129
1508009304,202,105
1508010265,201,99
1508011218,297,97
1508012200,242,344
1508013144,307,297
1508014105,185,165
1508015070,125,184
1508016039,134,162
1508016992,116,156
1508017933,175,250
1508018911,246,163
1508019864,382,194
1508020812,252,92
1508021824,128,156
1508022737,159,141
1508023712,142,103
1508024656,86,148
1508025621,88,317
1508026596,79,228
1508027555,180,153
1508028504,123,150
1508029465,123,354
1508030437,120,0
1508031400,137,389
1508032343,82,341
1508033305,193,296
1508034268,334,126
1508035231,249,82
1508036183,95,0
1508037151,180,145
1508038100,143,77
1508039069,100,0
1508040055,117,103
1508041000,222,72
1508041951,355,73
1508042911,126,180
1508043875,94,0
1508044814,105,151
1508045796,128,610
1508046758,116,568
1508047697,96,0
1508048655,360,374
1508049627,303,360
1508050589,107,200
1508051548,103,190
1508052493,141,199
1508053472,126,418
1508054435,168,153
1508055377,114,165
1508056359,386,151
1508057324,176,178
1508058268,141,222
1508059212,149,142
1508060184,164,195
1508061165,162,129
1508062099,143,257
1508063068,166,146
1508064028,159,183
1508064976,33,231
1508065957,51,284
1508066897,53,274
1508067870,97,235
1508068831,187,195
1508069804,157,205
1508070743,234,190
1508071705,61,139
1508072687,83,201
1508073874,51,220
1508074828,49,215
1508075785,26,235
1508076740,23,181
1508077709,21,191
1508078671,10,156
1508079630,11,132
1508080584,8,92
1508081560,6,130
1508082494,2,287
1508084243,8,610
1508085153,5,126
1508086102,5,130
1508087064,1,101
1508088040,2,83
1508088974,2,119
1508089957,0,156
1508090893,1,531
1508091863,1,261
1508092826,1,191
1508093786,7,364
1508094735,5,0
1508095712,5,410
1508096674,1,435
1508097627,1,459
1508098588,1,0
1508099554,2,761
1508100507,1,239
1508101468,3,0
1508102417,2,190
1508103404,2,375
1508104359,1,253
1508105309,1,0
1508106266,1,972
1508107219,0,164
1508109152,1,281
1508110104,1,0
1508111069,0,275
1508112035,0,134
1508113010,3,303
1508113954,2,0
1508114913,0,542
1508115881,0,171
