DateTime,AddedIPs,RemovedIPs
1507741494,1041,1041
1507742426,1042,1042
1507743403,1124,1124
1507744348,1423,1423
1507745324,1116,1116
1507747768,2000,2000
1507748915,740,740
1507749854,645,645
1507750834,521,521
1507751772,985,985
1507752749,1266,1266
1507753702,1031,1031
1507754670,970,970
1507755620,879,879
1507756592,632,632
1507757551,1065,1065
1507758496,946,946
1507759464,1214,1214
1507760425,1011,1011
1507761383,1327,1327
1507762343,887,887
1507763330,996,996
1507764256,1284,1284
1507765229,1322,1322
1507766175,1806,1806
1507767159,1346,1346
1507768092,1798,1798
1507769083,934,934
1507770040,595,595
1507771101,496,496
1507772180,626,626
1507773140,413,413
1507774094,475,475
1507775066,1268,1268
1507776022,1146,1146
1507776974,1151,1151
1507777954,1380,1380
1507778891,1458,1458
1507779855,1473,1473
1507780838,1835,1835
1507782039,1527,1527
1507782995,1298,1298
1507783944,677,677
1507784893,587,587
1507785876,437,437
1507786823,480,480
1507787776,377,377
1507788756,1086,1086
1507789701,1652,1652
1507790656,1319,1319
1507791637,976,976
1507792582,890,890
1507793560,1333,1333
1507794498,1591,1591
1507795464,1294,1294
1507796417,1183,1183
1507797410,1138,1138
1507798332,741,741
1507799305,851,851
1507800264,582,582
1507801217,953,953
1507802182,823,823
1507803157,1014,1014
1507804095,1837,1837
1507805057,1124,1124
1507806039,1137,1137
1507806977,963,963
1507808664,2000,2000
1507809628,734,734
1507810590,599,599
1507811554,818,818
1507812507,579,579
1507813463,795,795
1507814434,619,619
1507815374,765,765
1507816333,655,655
1507817329,819,819
1507818264,643,643
1507819227,579,579
1507820184,697,697
1507821154,590,590
1507822091,646,646
1507823079,734,734
1507825268,1447,1447
1507826174,701,701
1507827153,602,602
1507828104,738,738
1507829081,679,679
1507830013,917,917
1507830988,931,931
1507832185,875,875
1507833136,774,774
1507834107,448,448
1507835072,517,517
1507836012,415,415
1507837005,520,520
1507837935,441,441
1507838909,500,500
1507839855,368,368
1507840840,1429,1429
1507841773,1111,1111
1507842763,1202,1202
1507843690,705,705
1507844681,759,759
1507845636,707,707
1507847009,917,917
1507848024,693,693
1507848993,624,624
1507849948,770,770
1507850892,718,718
1507851865,755,755
1507852829,778,778
1507854041,836,836
1507854973,621,621
1507855964,740,740
1507856895,651,651
1507857871,871,871
1507858827,691,691
1507859777,541,541
1507860753,829,829
1507861692,603,603
1507862654,714,714
1507863636,742,742
1507864577,586,586
1507865550,657,657
1507866495,583,583
1507867473,808,808
1507868413,596,596
1507869394,746,746
1507870341,681,681
1507871298,720,720
1507872266,554,554
1507873227,728,728
1507874180,690,690
1507875148,745,745
1507876102,576,576
1507877064,666,666
1507878019,745,745
1507878989,571,571
1507879949,702,702
1507880909,653,653
1507881867,756,756
1507882813,594,594
1507883795,643,643
1507884734,641,641
1507885703,710,710
1507886665,650,650
1507887612,621,621
1507888584,670,670
1507889546,645,645
1507890493,599,599
1507891463,783,783
1507892445,765,765
1507893376,658,658
1507895065,1134,1134
1507896017,677,677
1507896994,582,582
1507897941,808,808
1507898908,567,567
1507899863,813,813
1507900823,631,631
1507901784,706,706
1507902736,711,711
1507903706,621,621
1507904668,660,660
1507905612,704,704
1507906586,800,800
1507907533,742,742
1507908515,734,734
1507910704,1518,1518
1507911612,692,692
1507912594,812,812
1507913533,740,740
1507914532,834,834
1507915455,877,877
1507916430,774,774
1507917371,798,798
1507918594,951,951
1507919536,661,661
1507920507,493,493
1507921474,568,568
1507922453,539,539
1507923384,448,448
1507924338,443,443
1507925305,396,396
1507926282,1097,1097
1507927212,1008,1008
1507928189,670,670
1507929151,727,727
1507930109,628,628
1507931069,637,637
