DateTime,AddedIPs,RemovedIPs
1506222119,1,2
1506225721,1,3
1506229325,0,2
1506232918,1,3
1506236519,1,2
1506240118,0,3
1506243719,1,1
1506247319,0,1
1506250920,1,0
1506254520,3,2
1506261717,0,1
1506268925,1,0
1506276122,1,2
1506279728,1,1
1506283325,1,1
1506286927,0,1
1506290525,0,1
1506294126,6,0
1506297728,1,0
1506304925,1,0
1506308527,1,1
1506312125,3,1
1506315727,0,3
1506319326,1,1
1506322924,0,1
1506326526,1,1
1506330116,3,1
1506333725,1,2
1506340914,1,2
1506344520,0,1
1506348118,0,1
1506351721,0,4
1506355323,2,0
1506362522,1,1
1506366121,2,6
1506369722,3,1
1506373322,1,2
1506376923,2,0
1506380524,3,1
1506384118,3,1
1506391324,1,0
1506394923,4,3
1506398521,1,2
1506402118,1,1
1506405718,1,0
1506409318,4,2
1506416519,1,0
1506420119,0,1
1506423718,1,3
1506427320,1,1
1506430919,2,3
1506434516,1,2
1506441718,1,1
1506445318,1,1
1506448922,2,0
1506452520,3,0
1506456116,1,1
1506459722,4,0
1506463319,2,1
1506470523,2,1
1506474124,3,3
1506477723,8,0
1506481325,2,0
1506484929,2,1
1506488522,2,1
1506495728,2,1
1506499326,1,2
1506502920,2,0
1506506519,0,2
1506510122,1,5
1506513722,0,5
1506517323,2,0
1506520921,0,2
1506524519,2,3
1506528119,2,1
1506531721,3,1
1506535317,0,1
1506538923,0,1
1506542523,2,2
1506546124,0,3
1506553328,1,1
1506556924,1,1
1506560526,0,1
1506564125,4,1
1506567724,1,0
1506571325,1,2
1506574927,2,0
1506578527,7,1
1506589321,1,1
1506592922,2,0
1506596524,1,0
1506600129,1,1
1506610924,2,2
1506614527,0,1
1506618126,2,0
1506621726,0,7
1506625325,10,0
1506628922,1,2
1506632527,1,0
1506636125,1,2
1506639722,1,0
1506643325,1,0
1506646925,9,1
1506650524,3,0
1506654126,1,0
1506657715,1,1
1506661321,0,1
1506664928,0,2
1506668523,1,0
1506672123,0,3
1506675719,1,2
1506679321,0,2
1506693719,2,2
1506697320,1,0
1506700920,0,1
1506704527,1,1
1506708121,2,1
1506711724,3,1
1506715323,2,0
1506718925,8,1
1506722523,16,2
1506726123,2,2
1506729723,2,0
1506733321,1,1
1506736923,24,0
1506740522,4,0
1506744124,1,2
1506747723,1,2
1506751325,1,0
1506754932,1,0
1506758521,1,0
1506762134,0,1
1506765733,6,0
1506769336,1,4
1506772934,2,1
1506776533,1,0
1506780132,0,2
1506787330,0,2
1506790924,0,1
1506794520,1,2
1506798120,0,1
