DateTime,Entries,UniqueIPs
1506222119,498,498
1506225721,496,496
1506229325,494,494
1506232918,492,492
1506236519,491,491
1506240118,488,488
1506243719,488,488
1506247319,487,487
1506250920,488,488
1506254520,489,489
1506261717,488,488
1506268925,489,489
1506276122,488,488
1506279728,488,488
1506283325,488,488
1506286927,487,487
1506290525,486,486
1506294126,492,492
1506297728,493,493
1506304925,494,494
1506308527,494,494
1506312125,496,496
1506315727,493,493
1506319326,493,493
1506322924,492,492
1506326526,492,492
1506330116,494,494
1506333725,493,493
1506340914,492,492
1506344520,491,491
1506348118,490,490
1506351721,486,486
1506355323,488,488
1506362522,488,488
1506366121,484,484
1506369722,486,486
1506373322,485,485
1506376923,487,487
1506380524,489,489
1506384118,491,491
1506391324,492,492
1506394923,493,493
1506398521,492,492
1506402118,492,492
1506405718,493,493
1506409318,495,495
1506416519,496,496
1506420119,495,495
1506423718,493,493
1506427320,493,493
1506430919,492,492
1506434516,491,491
1506441718,491,491
1506445318,491,491
1506448922,493,493
1506452520,496,496
1506456116,496,496
1506459722,500,500
1506463319,501,501
1506470523,502,502
1506474124,502,502
1506477723,510,510
1506481325,512,512
1506484929,513,513
1506488522,514,514
1506495728,515,515
1506499326,514,514
1506502920,516,516
1506506519,514,514
1506510122,510,510
1506513722,505,505
1506517323,507,507
1506520921,505,505
1506524519,504,504
1506528119,505,505
1506531721,507,507
1506535317,506,506
1506538923,505,505
1506542523,505,505
1506546124,502,502
1506553328,502,502
1506556924,502,502
1506560526,501,501
1506564125,504,504
1506567724,505,505
1506571325,504,504
1506574927,506,506
1506578527,512,512
1506589321,512,512
1506592922,514,514
1506596524,515,515
1506600129,515,515
1506610924,515,515
1506614527,514,514
1506618126,516,516
1506621726,509,509
1506625325,519,519
1506628922,518,518
1506632527,519,519
1506636125,518,518
1506639722,519,519
1506643325,520,520
1506646925,528,528
1506650524,531,531
1506654126,532,532
1506657715,532,532
1506661321,531,531
1506664928,529,529
1506668523,530,530
1506672123,527,527
1506675719,526,526
1506679321,524,524
1506693719,524,524
1506697320,525,525
1506700920,524,524
1506704527,524,524
1506708121,525,525
1506711724,527,527
1506715323,529,529
1506718925,536,536
1506722523,550,550
1506726123,550,550
1506729723,552,552
1506733321,552,552
1506736923,576,576
1506740522,580,580
1506744124,579,579
1506747723,578,578
1506751325,579,579
1506754932,580,580
1506758521,581,581
1506762134,580,580
1506765733,586,586
1506769336,583,583
1506772934,584,584
1506776533,585,585
1506780132,583,583
1506787330,581,581
1506790924,580,580
1506794520,579,579
1506798120,578,578
1506801721,577,577
1506808917,580,580
1506812519,593,593
1506816119,598,598
1506819718,598,598
1506823317,598,598
1506830518,598,598
1506837718,599,599
1506841316,601,601
1506844920,601,601
1506848516,603,603
1506852117,606,606
1506855717,605,605
1506859317,603,603
1506862921,603,603
1506866519,605,605
1506870118,602,602
1506873719,603,603
1506877319,601,601
1506880918,598,598
1506884517,598,598
1506891720,598,598
1506895324,596,596
1506898923,595,595
1506902525,594,594
1506909725,594,594
1506913322,590,590
1506916928,590,590
1506920528,591,591
1506924125,589,589
1506931323,583,583
1506934921,578,578
1506938522,574,574
1506942124,571,571
1506945722,572,572
1506949328,570,570
1506952921,570,570
1506956524,573,573
1506960122,572,572
1506967321,572,572
1506970924,571,571
1506974524,570,570
1506978119,571,571
1506981721,569,569
1506985321,572,572
1506988921,574,574
1506996124,576,576
1506999726,577,577
1507003320,579,579
1507006921,585,585
1507010521,587,587
1507014127,592,592
1507017726,592,592
1507021325,593,593
1507024924,594,594
1507028526,594,594
1507032121,596,596
1507035723,599,599
1507039330,599,599
1507042930,597,597
1507046522,596,596
1507050134,598,598
1507053730,595,595
1507057329,597,597
1507060927,606,606
1507064529,610,610
1507068131,612,612
1507071731,614,614
1507075331,612,612
