DateTime,Entries,UniqueIPs
1506438394,6124,6124
1506442002,6219,6219
1506445607,6309,6309
1506449216,6368,6368
1506452812,6398,6398
1506456409,6420,6420
1506460011,6439,6439
1506463614,6469,6469
1506467217,6491,6491
1506470822,6510,6510
1506474420,6524,6524
1506478016,6540,6540
1506481620,6554,6554
1506485212,6558,6558
1506488811,6562,6562
1506492412,6572,6572
1506496011,6572,6572
1506499615,6573,6573
1506503215,6575,6575
1506506815,6582,6582
1506510420,6598,6598
1506514021,6623,6623
1506517623,6628,6628
1506521222,6620,6620
1506524820,6624,6624
1506528418,6624,6624
1506532023,6617,6617
1506535622,6614,6614
1506539227,6610,6610
1506542831,6616,6616
1506546429,6617,6617
1506550019,6612,6612
1506553629,6612,6612
1506557225,6610,6610
1506560828,6613,6613
1506564425,6613,6613
1506568026,6609,6609
1506571626,6606,6606
1506575225,6611,6611
1506578827,6607,6607
1506582419,6602,6602
1506586027,6606,6606
1506589621,6609,6609
1506593218,6611,6611
1506596823,6605,6605
1506600427,6618,6618
1506604020,6615,6615
1506607627,6630,6630
1506611228,6633,6633
1506614829,6635,6635
1506618426,6644,6644
1506622028,6640,6640
1506625627,6641,6641
1506629219,6636,6636
1506632828,6636,6636
1506636425,6646,6646
1506640023,6653,6653
1506643623,6649,6649
1506647224,6652,6652
1506650822,6654,6654
1506654424,6662,6662
1506658018,6650,6650
1506661618,6651,6651
1506665233,6649,6649
1506668822,6651,6651
1506672417,6645,6645
1506676019,6644,6644
1506679619,6633,6633
1506683219,6628,6628
1506686826,6628,6628
1506690420,6625,6625
1506694021,6647,6647
1506697624,6655,6655
1506701226,6665,6665
1506704834,6662,6662
1506708423,6653,6653
1506712029,6638,6638
1506715622,6624,6624
1506719225,6627,6627
1506722823,6623,6623
1506726422,6610,6610
1506730020,6590,6590
1506733620,6573,6573
1506737216,6569,6569
1506740814,6553,6553
1506744417,6535,6535
1506748012,6522,6522
1506751611,6503,6503
1506755209,6494,6494
1506758808,6480,6480
1506762418,6471,6471
1506766024,6474,6474
1506769623,6477,6477
1506773214,6473,6473
1506776824,6472,6472
1506780413,6521,6521
1506784017,6619,6619
1506787620,6711,6711
1506791227,6765,6765
1506794830,6813,6813
1506798432,6858,6858
1506802034,6897,6897
1506805634,6928,6928
1506809236,6943,6943
1506812840,6960,6960
1506816441,6977,6977
1506820038,6980,6980
1506823637,6988,6988
1506827237,7001,7001
1506830838,6995,6995
1506834438,6989,6989
1506838035,6983,6983
1506841635,6987,6987
1506845233,6987,6987
1506848835,6981,6981
1506852438,6985,6985
1506856035,6987,6987
1506859638,6978,6978
1506863245,6969,6969
1506866840,6977,6977
1506870438,6975,6975
1506874036,6977,6977
1506877636,6972,6972
1506881248,6956,6956
1506884832,6945,6945
1506888439,6944,6944
1506892034,6950,6950
1506895639,6970,6970
1506899241,6990,6990
1506902838,6983,6983
1506906439,6991,6991
1506910040,6993,6993
1506913638,6992,6992
1506917243,6992,6992
1506920839,6995,6995
1506924439,6982,6982
1506928037,6986,6986
1506931636,6986,6986
1506935239,6983,6983
1506938839,6980,6980
1506942440,6974,6974
1506946038,6965,6965
1506949637,6961,6961
1506953236,6964,6964
1506956838,6961,6961
1506960439,6965,6965
1506964040,6965,6965
1506967636,6966,6966
1506971240,6973,6973
1506974841,6970,6970
1506978439,6963,6963
1506982036,6963,6963
1506985634,6975,6975
1506989234,6964,6964
1506992835,6967,6967
1506996436,6965,6965
1507000035,6961,6961
1507003632,6958,6958
1507007233,6956,6956
1507010833,6958,6958
1507014437,6951,6951
1507018033,6945,6945
1507021629,6940,6940
1507025234,6948,6948
1507028832,6949,6949
1507032432,6957,6957
1507036034,6944,6944
1507039631,6913,6913
1507043227,6874,6874
1507046829,6857,6857
1507050439,6839,6839
1507054038,6819,6819
1507057637,6799,6799
1507061237,6791,6791
1507064838,6780,6780
1507068437,6768,6768
1507072035,6752,6752
1507075635,6740,6740
1507079234,6744,6744
1507082832,6741,6741
1507086433,6728,6728
1507090032,6711,6711
1507093632,6701,6701
1507097230,6679,6679
1507100829,6676,6676
1507104428,6677,6677
1507108027,6666,6666
1507111628,6651,6651
1507115228,6643,6643
1507118826,6629,6629
1507122429,6619,6619
1507126032,6638,6638
1507129634,6731,6731
1507133239,6808,6808
1507136840,6857,6857
1507140442,6901,6901
1507144047,6959,6959
1507147648,6989,6989
1507151251,7024,7024
1507154853,7057,7057
1507158453,7086,7086
1507162054,7106,7106
1507165657,7125,7125
1507169257,7149,7149
1507172859,7166,7166
1507176457,7187,7187
1507180058,7206,7206
1507183658,7221,7221
1507187262,7254,7254
1507190861,7276,7276
1507194463,7302,7302
1507198064,7325,7325
1507201664,7351,7351
1507205265,7375,7375
1507208867,7394,7394
1507212468,7408,7408
1507216068,7425,7425
1507219672,7465,7465
1507223275,7485,7485
1507226873,7503,7503
1507230474,7537,7537
1507234079,7563,7563
1507237680,7590,7590
1507241283,7605,7605
1507244884,7635,7635
1507248484,7664,7664
1507252084,7682,7682
1507255683,7707,7707
1507259282,7736,7736
1507262886,7771,7771
1507266489,7806,7806
1507270092,7849,7849
1507273692,7877,7877
1507277295,7910,7910
1507280893,7939,7939
1507284499,7973,7973
1507288099,8007,8007
1507291705,8047,8047
1507295302,8074,8074
1507298906,8094,8094
1507302509,8139,8139
1507306109,8145,8145
1507309708,8164,8164
1507313308,8201,8201
1507316912,8249,8249
1507320514,8281,8281
1507324116,8332,8332
1507327713,8371,8371
1507331321,8423,8423
1507334922,8473,8473
1507338524,8517,8517
1507342125,8559,8559
1507345729,8603,8603
1507349332,8652,8652
1507352933,8700,8700
1507356534,8762,8762
1507360136,8808,8808
1507363739,8855,8855
1507367339,8901,8901
1507370942,8956,8956
1507374545,8992,8992
1507378149,9023,9023
1507381749,9072,9072
1507385350,9109,9109
1507388962,9137,9137
1507392552,9160,9160
1507396158,9202,9202
1507399761,9234,9234
1507403358,9248,9248
1507406961,9277,9277
1507410562,9303,9303
1507414166,9335,9335
1507417765,9362,9362
1507421371,9388,9388
1507424974,9434,9434
1507428571,9459,9459
1507432175,9494,9494
1507435773,9531,9531
1507439374,9556,9556
1507442978,9586,9586
1507446577,9608,9608
1507450179,9640,9640
1507453781,9679,9679
1507457384,9704,9704
1507460986,9734,9734
1507464588,9768,9768
1507468191,9806,9806
1507471789,9825,9825
1507475390,9841,9841
1507478991,9853,9853
1507482593,9882,9882
1507486194,9920,9920
1507489797,9963,9963
1507493399,10002,10002
1507497010,10056,10056
1507500614,10096,10096
1507504210,10116,10116
1507507812,10147,10147
1507511414,10159,10159
1507515014,10196,10196
1507518615,10227,10227
1507522216,10241,10241
1507525812,10284,10284
1507529410,10294,10294
1507533014,10327,10327
1507536615,10353,10353
1507540218,10369,10369
1507543818,10382,10382
1507547423,10421,10421
1507551034,10495,10495
1507554635,10539,10539
1507558232,10558,10558
1507561834,10609,10609
1507565437,10652,10652
1507569042,10695,10695
1507572641,10721,10721
1507576245,10768,10768
1507579846,10807,10807
1507583456,10844,10844
1507587054,10885,10885
1507590655,10915,10915
1507594256,10961,10961
1507597859,11001,11001
1507601460,11019,11019
1507605057,11054,11054
1507608656,11090,11090
1507612258,11126,11126
1507615858,11161,11161
1507619460,11197,11197
1507623062,11242,11242
1507626673,11258,11258
1507630273,11287,11287
1507633869,11309,11309
1507637473,11341,11341
1507641074,11378,11378
1507644674,11400,11400
1507648278,11446,11446
1507651875,11482,11482
1507655482,11510,11510
1507659083,11557,11557
1507662736,11596,11596
1507666288,11646,11646
1507669892,11691,11691
1507673515,11724,11724
1507677094,11763,11763
1507680698,11797,11797
1507684300,11835,11835
1507687900,11867,11867
1507691507,11899,11899
1507695103,11929,11929
1507698703,11977,11977
1507702306,11999,11999
1507705905,12026,12026
1507709506,12051,12051
1507713109,12083,12083
1507716713,12121,12121
1507720314,12155,12155
1507723914,12192,12192
1507727518,12223,12223
1507731114,12246,12246
1507734716,12263,12263
1507738318,12263,12263
1507741923,12292,12292
1507745524,12384,12384
1507749135,12532,12532
1507752739,12649,12649
1507756344,12754,12754
1507759946,12808,12808
1507763547,12842,12842
1507767152,12884,12884
1507770755,12923,12923
1507774356,12982,12982
1507777956,13018,13018
1507781552,13036,13036
1507785154,13065,13065
1507788758,13093,13093
1507792354,13092,13092
1507795956,13128,13128
1507799561,13131,13131
1507803157,13156,13156
1507806759,13172,13172
1507810359,13195,13195
1507813964,13201,13201
1507817566,13216,13216
1507821170,13243,13243
1507824769,13269,13269
1507828402,13288,13288
1507831973,13292,13292
1507835570,13296,13296
1507839174,13313,13313
1507842774,13318,13318
1507846378,13349,13349
1507849977,13345,13345
1507853575,13347,13347
1507857174,13361,13361
1507860775,13370,13370
1507864373,13373,13373
1507867970,13369,13369
1507871566,13355,13355
1507875169,13345,13345
1507878765,13312,13312
1507882365,13319,13319
1507885964,13291,13291
1507889561,13268,13268
1507893163,13249,13249
1507896759,13200,13200
1507900361,13158,13158
1507903960,13075,13075
1507907557,12988,12988
1507911155,12964,12964
1507914752,12997,12997
1507918357,13019,13019
1507921954,13016,13016
1507925556,13033,13033
1507929159,13038,13038
1507932761,13051,13051
1507936359,13059,13059
1507939959,13084,13084
1507943557,13091,13091
1507947161,13100,13100
1507950758,13104,13104
1507954355,13119,13119
1507957955,13107,13107
1507961554,13096,13096
1507965156,13100,13100
1507968756,13099,13099
1507972352,13101,13101
1507975955,13099,13099
1507979566,13102,13102
1507983164,13117,13117
1507986769,13118,13118
1507990358,13137,13137
1507993959,13157,13157
1507997566,13178,13178
1508001165,13194,13194
1508004766,13205,13205
1508008363,13226,13226
1508011966,13243,13243
1508015565,13248,13248
1508019172,13276,13276
1508022772,13304,13304
1508026374,13322,13322
1508029972,13322,13322
1508033572,13319,13319
1508037174,13329,13329
1508040772,13332,13332
1508044368,13361,13361
1508047970,13362,13362
1508051569,13371,13371
1508055168,13384,13384
1508058771,13408,13408
1508062390,13416,13416
1508065986,13429,13429
1508069576,13427,13427
1508073174,13417,13417
1508076775,13426,13426
1508080375,13429,13429
1508083978,13434,13434
1508087578,13446,13446
1508091176,13453,13453
1508094779,13475,13475
1508098380,13493,13493
1508101982,13509,13509
1508105582,13512,13512
1508109183,13516,13516
1508112786,13529,13529
1508116384,13538,13538
1508119983,13551,13551
1508123585,13562,13562
1508127184,13571,13571
1508130785,13593,13593
1508134391,13613,13613
1508137985,13608,13608
1508141582,13595,13595
1508145185,13595,13595
1508148783,13606,13606
1508152387,13606,13606
1508155986,13613,13613
1508159584,13637,13637
1508163195,13760,13760
1508166807,13990,13990
1508170414,14120,14120
1508174020,14228,14228
1508177624,14330,14330
1508181229,14425,14425
1508184833,14490,14490
1508188437,14536,14536
1508192038,14553,14553
1508195636,14578,14578
1508199243,14603,14603
1508202845,14640,14640
1508206443,14658,14658
1508210046,14687,14687
1508213640,14714,14714
1508217243,14748,14748
1508220841,14762,14762
1508224446,14785,14785
1508228046,14793,14793
1508231649,14813,14813
1508235253,14821,14821
