DateTime,AddedIPs,RemovedIPs
1506229246,0,1
1506232858,2,1
1506236446,3,2
1506240045,0,2
1506243646,0,1
1506247245,0,2
1506250845,1,1
1506254445,1,2
1506258047,3,1
1506261674,1,3
1506265247,3,5
1506268845,1,1
1506276044,0,1
1506279647,0,1
1506283245,0,1
1506286847,0,3
1506290464,2,0
1506294054,0,2
1506297647,0,3
1506301245,1,3
1506304846,3,2
1506308447,3,1
1506312045,3,0
1506315646,2,0
1506319245,2,1
1506322846,2,1
1506330077,3,0
1506333687,2,0
1506337257,9,3
1506340864,7,6
1506344448,2,1
1506348061,1,1
1506351659,4,2
1506355247,2,1
1506358846,4,8
1506362448,2,0
1506366049,5,1
1506369651,1,5
1506373248,3,4
1506376860,3,5
1506380475,2,1
1506384079,0,2
1506387647,4,3
1506391263,1,0
1506394863,4,3
1506398449,2,2
1506402063,1,0
1506405674,6,0
1506409249,2,2
1506412852,2,1
1506416447,3,2
1506420060,1,3
1506423657,0,1
1506427250,2,1
1506430847,1,1
1506434480,1,0
1506438050,1,1
1506441656,4,1
1506445280,3,0
1506448850,3,0
1506452460,1,7
1506456056,0,3
1506459650,1,2
1506463251,4,2
1506466880,3,3
1506470448,2,2
1506474048,0,1
1506481252,1,0
1506488474,1,1
1506492068,1,3
1506495675,2,0
1506499285,1,1
1506502858,1,2
1506506459,1,3
1506510089,1,0
1506513656,4,2
1506517255,1,0
1506520854,2,2
1506524487,5,1
1506528063,3,2
1506531655,3,4
1506535265,1,0
1506538881,4,0
1506542487,3,0
1506546063,1,1
1506549667,1,2
1506553289,1,3
1506556853,5,0
1506560463,3,4
1506564091,1,0
1506571274,1,1
1506578450,2,0
1506582070,1,1
1506585690,1,0
1506589251,3,0
1506592851,2,0
1506596452,2,1
1506600085,2,2
1506603671,1,0
1506607281,2,1
1506610873,7,1
1506614450,3,2
1506618070,5,2
1506621661,8,0
1506625251,3,4
1506628855,4,1
1506636089,0,1
1506639663,4,2
1506643255,1,1
1506646871,1,2
1506654072,0,2
1506657659,3,1
1506664866,1,1
1506668486,1,0
1506672058,9,1
1506675677,1,2
1506679287,1,2
1506682876,2,3
1506686462,5,2
