DateTime,AddedIPs,RemovedIPs
1506667683,70,71
1506671522,68,51
1506673444,92,108
1506675363,108,92
1506677282,63,70
1506679212,77,55
1506681123,52,75
1506683042,75,52
1506684963,103,119
1506688802,77,65
1506692642,75,92
1506696482,63,101
1506700322,93,58
1506704409,67,79
1506706323,71,64
1506710163,66,74
1506714002,66,75
1506717844,74,85
1506719763,132,112
1506721682,122,163
1506723602,82,61
1506726725,105,140
1506728643,99,88
1506730570,88,99
1506732482,131,134
1506736322,81,77
1506738243,125,115
1506740162,115,125
1506742324,131,165
1506744242,91,80
1506746164,140,165
1506750004,94,70
1506753844,55,64
1506757684,69,35
1506761523,35,69
1506763443,69,35
1506765364,106,72
1506769217,63,75
1506771122,70,54
1506774962,72,60
1506779043,74,50
1506782882,53,62
1506786963,65,68
1506788883,68,65
1506790822,114,120
1506792722,120,114
1506794642,140,134
1506796802,69,77
1506801325,67,76
1506803523,57,76
1506807844,76,57
1506809772,133,137
1506811682,54,95
1506815522,95,54
1506817444,161,141
1506819363,61,84
1506823210,129,78
1506825123,78,89
1506828965,92,99
1506830882,99,92
1506832804,159,181
1506836643,114,66
1506838562,76,69
1506840483,179,219
1506842402,219,179
1506844323,69,76
1506846243,139,107
1506848165,77,62
1506850083,62,77
1506852010,126,89
1506853922,73,63
1506857762,91,75
1506859685,183,278
1506861603,303,205
1506865443,75,77
1506869282,81,76
1506875045,78,75
1506876963,69,86
1506880807,81,68
1506882724,70,87
1506886563,62,63
1506890406,54,83
1506895448,66,81
1506897362,63,65
1506899284,65,63
1506901202,142,126
1506905043,43,110
1506908883,99,79
1506912722,68,101
1506918485,113,104
1506922322,169,160
1506926163,68,94
1506928082,157,123
1506930003,72,61
1506933847,61,68
1506937922,49,52
1506942013,63,66
1506944163,81,64
1506948243,54,75
1506952082,83,51
1506955922,76,59
1506960011,76,71
1506963842,88,78
1506966002,76,69
1506970082,77,69
1506975608,66,60
1506977522,57,77
1506979924,58,88
1506983762,59,101
1506987603,95,84
1506991443,49,88
1506993362,82,75
1507001043,75,91
1507002964,91,75
1507004883,147,175
1507008722,81,85
1507010643,105,61
1507014483,67,70
1507016404,344,360
1507018323,383,359
1507022162,64,56
1507024083,75,47
1507027922,77,70
1507029844,70,77
1507031764,127,129
1507033923,80,63
1507037763,78,60
1507041602,78,73
1507047362,74,50
1507049524,90,89
1507053363,84,60
1507057443,80,78
1507059362,79,78
1507061282,78,79
1507063202,128,151
1507067282,56,79
1507069202,64,91
1507071122,149,99
1507073042,99,149
1507074962,91,92
1507076884,92,91
1507078812,123,156
1507080723,87,81
1507086484,66,89
1507088403,74,101
1507092243,86,98
1507096082,107,70
1507099922,73,54
1507103763,68,70
1507107609,63,63
1507111443,76,68
1507113362,75,70
1507117204,68,53
1507119122,53,68
1507121042,116,96
1507126802,70,58
1507131362,116,103
1507135203,92,73
1507139043,78,82
1507143122,84,76
1507146963,78,85
1507150805,85,78
1507152964,139,204
1507157766,62,85
1507159683,163,107
1507161614,147,194
1507163522,50,78
1507167362,81,62
1507173123,80,103
1507175042,84,102
1507179122,88,102
1507182964,103,68
1507186809,87,69
1507188723,26,4389
1507190643,4382,0
1507192564,64,61
1507196403,58,55
1507200245,65,59
1507204083,65,70
1507206255,70,65
1507208163,112,120
1507212016,77,53
1507213923,68,66
1507217762,71,51
1507221603,76,71
1507225682,80,68
1507229764,83,73
1507233613,60,66
1507235524,58,82
1507239604,64,92
1507244165,73,80
1507246324,78,98
1507252323,58,73
1507254242,74,71
1507258082,71,74
1507260244,124,142
1507262163,87,109
1507264085,218,178
1507266006,178,218
1507268164,109,87
1507270803,153,181
1507272963,94,72
1507274883,68,65
1507276808,72,60
1507278724,71,61
1507282563,61,52
1507288564,71,68
1507290483,58,64
1507300082,145,112
1507302009,70,86
1507303922,132,158
1507309923,86,64
1507311843,127,73
1507315922,67,73
1507319763,65,70
1507323613,64,87
1507325522,83,70
1507329603,51,95
1507331522,104,90
1507339442,47,69
1507343282,76,82
1507347122,82,76
1507349043,184,242
1507350962,98,82
1507356723,75,65
1507358642,58,62
1507362482,70,63
1507366322,68,51
1507370163,83,69
1507372082,139,173
1507374007,218,173
1507377843,73,61
1507381682,67,55
1507383602,64,58
1507387442,70,70
1507391282,74,57
1507395122,68,60
1507400883,75,66
1507404722,55,90
1507406643,96,126
1507408562,126,96
1507410482,96,126
1507412403,67,61
1507418163,62,99
1507420084,87,76
1507423922,51,72
1507425842,98,87
1507427763,179,180
1507429684,180,179
1507431608,64,87
1507433523,92,107
1507435443,80,90
1507443124,71,58
1507445042,54,48
1507448883,65,45
1507454642,78,52
1507456562,63,63
1507460407,367,395
1507462322,461,383
1507466162,67,62
1507470002,83,70
1507473845,69,61
1507477683,67,83
1507481522,76,68
1507483443,68,76
1507485363,115,109
1507487524,88,76
1507491362,69,74
1507495202,74,86
1507499043,47,71
1507502883,47,85
1507506964,92,82
1507508882,82,92
1507510809,118,149
1507514643,83,85
1507516562,76,81
1507520402,101,96
1507524243,78,104
1507530003,83,58
1507531922,70,60
1507537683,60,63
1507539607,64,42
1507543443,76,39
1507545362,52,77
1507549202,54,59
1507554962,122,92
1507556883,156,144
1507560722,51,51
1507562643,78,111
1507564811,133,117
1507566724,72,91
1507572482,128,50
1507574404,66,100
1507578243,72,74
1507580643,58,99
1507584723,55,73
1507588563,82,74
1507592402,81,85
1507596243,85,81
1507598162,150,172
1507605842,71,90
1507607763,88,105
1507611608,75,88
1507613522,101,73
1507617362,142,157
1507619282,75,88
1507621204,152,129
1507623123,74,62
1507625043,58,66
1507628883,75,61
1507631042,57,51
1507632963,93,113
1507634883,138,108
1507638723,59,55
1507642562,64,57
1507646402,67,52
1507650244,90,112
1507652162,150,108
1507654083,71,86
1507661043,140,115
1507664882,67,63
1507666802,102,120
1507668722,142,151
1507672563,57,85
1507676410,52,97
1507678322,120,79
1507682162,51,82
1507686244,75,66
1507690082,72,104
1507693922,112,104
1507697763,84,89
1507701610,74,66
1507703522,50,69
1507707362,76,52
1507711202,52,76
1507713122,124,84
1507715044,63,51
1507718882,58,61
1507722723,64,51
1507728485,51,64
1507730408,130,109
1507732322,103,46
1507738082,46,103
1507740002,183,127
1507743844,83,87
1507747684,70,72
1507753443,79,60
1507755364,64,106
1507759214,59,85
1507761122,64,97
1507765202,83,84
1507769043,43,75
1507772882,74,80
1507776722,81,96
1507780563,81,110
1507784411,96,89
1507788243,93,62
1507790163,67,67
1507795922,73,62
1507797845,86,57
1507801683,64,58
1507805523,72,67
1507809364,68,73
1507813210,68,68
1507817284,84,50
1507819202,66,58
1507823043,71,63
1507827122,76,64
1507830964,74,67
1507834809,88,73
1507836966,84,78
1507840805,55,96
1507842722,96,55
1507844644,111,151
1507846562,176,142
1507848485,140,222
1507852323,93,69
1507856417,59,94
1507858323,77,76
1507862162,66,83
1507866004,94,111
1507869842,79,80
1507873683,86,71
1507877522,56,60
1507883283,64,57
1507887124,73,59
1507889043,57,44
1507890964,60,74
1507894805,70,55
1507898644,69,57
1507902483,77,53
1507904403,127,164
1507906324,199,157
1507910645,83,58
1507912562,73,78
1507916402,68,84
1507920242,69,66
1507926244,53,64
1507928163,65,81
1507932011,71,69
1507933924,55,78
1507937762,78,55
1507939683,115,139
1507941604,63,75
1507943523,136,123
1507945443,162,171
1507953845,157,178
1507955762,81,104
1507959845,86,69
1507963922,50,48
1507967762,72,48
1507971605,74,64
1507975442,62,61
1507977363,61,62
1507979763,117,108
1507981682,57,62
1507985523,66,64
1507987443,80,62
1507993207,62,80
1507995125,165,119
1508000883,75,91
1508004723,84,79
1508006642,78,62
1508010722,70,63
1508014564,65,61
1508018410,42,78
1508020323,50,85
1508024163,97,70
1508026083,70,97
1508028002,134,135
1508029923,80,52
1508031843,118,131
1508033764,75,90
1508035682,150,161
1508039522,98,107
1508045283,75,99
1508047209,88,59
1508051043,59,88
1508052962,132,97
1508054883,122,113
1508056803,132,147
1508058723,147,132
1508060642,64,49
1508064483,74,60
1508066402,60,74
1508068322,123,104
1508070252,74,63
1508074324,74,65
1508078162,65,73
1508082004,67,65
1508086082,99,68
1508089922,74,77
1508093763,67,78
1508099522,73,69
1508101442,75,76
1508105282,59,95
1508107202,48,89
1508111043,91,76
1508116802,51,81
1508118722,72,72
1508122563,73,96
1508126411,82,94
1508128322,92,84
1508132162,83,69
1508134082,74,55
1508136002,106,139
1508137922,139,106
1508139843,61,65
1508143682,65,61
1508145602,110,100
1508147522,67,69
1508151363,148,175
1508153283,74,55
1508155208,204,186
1508157122,68,76
1508159043,134,127
1508160962,127,134
1508162882,152,144
1508164804,65,57
1508170562,91,71
1508172482,78,76
1508176322,83,59
1508180163,97,77
1508184011,78,82
1508185923,61,76
1508189762,59,69
1508195763,53,89
1508197683,393,461
1508199603,442,377
1508201524,57,89
1508205614,89,81
1508207523,90,93
1508211362,93,90
1508213285,90,93
1508215204,174,190
1508219044,84,66
1508222883,66,54
1508226722,55,64
1508229605,76,57
1508233444,56,47
