DateTime,Entries,UniqueIPs
1506667683,6401,6401
1506671522,6418,6418
1506673444,6402,6402
1506675363,6418,6418
1506677282,6411,6411
1506679212,6433,6433
1506681123,6410,6410
1506683042,6433,6433
1506684963,6417,6417
1506688802,6429,6429
1506692642,6412,6412
1506696482,6374,6374
1506700322,6409,6409
1506704409,6397,6397
1506706323,6404,6404
1506710163,6396,6396
1506714002,6387,6387
1506717844,6376,6376
1506719763,6396,6396
1506721682,6355,6355
1506723602,6376,6376
1506726725,6341,6341
1506728643,6352,6352
1506730570,6341,6341
1506732482,6338,6338
1506736322,6342,6342
1506738243,6352,6352
1506740162,6342,6342
1506742324,6308,6308
1506744242,6319,6319
1506746164,6294,6294
1506750004,6318,6318
1506753844,6309,6309
1506757684,6343,6343
1506761523,6309,6309
1506763443,6343,6343
1506765364,6377,6377
1506769217,6365,6365
1506771122,6381,6381
1506774962,6393,6393
1506779043,6417,6417
1506782882,6408,6408
1506786963,6405,6405
1506788883,6408,6408
1506790822,6402,6402
1506792722,6408,6408
1506794642,6414,6414
1506796802,6406,6406
1506801325,6397,6397
1506803523,6378,6378
1506807844,6397,6397
1506809772,6393,6393
1506811682,6352,6352
1506815522,6393,6393
1506817444,6413,6413
1506819363,6390,6390
1506823210,6441,6441
1506825123,6430,6430
1506828965,6423,6423
1506830882,6430,6430
1506832804,6408,6408
1506836643,6456,6456
1506838562,6463,6463
1506840483,6423,6423
1506842402,6463,6463
1506844323,6456,6456
1506846243,6488,6488
1506848165,6503,6503
1506850083,6488,6488
1506852010,6525,6525
1506853922,6535,6535
1506857762,6551,6551
1506859685,6456,6456
1506861603,6554,6554
1506865443,6552,6552
1506869282,6557,6557
1506875045,6560,6560
1506876963,6543,6543
1506880807,6556,6556
1506882724,6539,6539
1506886563,6538,6538
1506890406,6509,6509
1506895448,6494,6494
1506897362,6492,6492
1506899284,6494,6494
1506901202,6510,6510
1506905043,6443,6443
1506908883,6463,6463
1506912722,6430,6430
1506918485,6439,6439
1506922322,6448,6448
1506926163,6422,6422
1506928082,6456,6456
