DateTime,AddedIPs,RemovedIPs
1507570214,2,0
1507570513,1,0
1507571714,1,0
1507572614,0,1
1507573214,0,1
1507578014,0,1
1507590314,22,0
1507590914,57,1
1507591215,64,0
1507591514,44,0
1507591815,41,0
1507592415,41,0
1507592713,10,0
1507593014,44,3
1507593313,28,0
1507593615,28,0
1507593914,39,0
1507594214,25,0
1507594814,51,0
1507595117,25,0
1507595714,62,0
1507596015,52,0
1507596613,68,0
1507597215,42,0
1507597514,73,3
1507597814,44,0
1507598113,25,0
1507598414,34,0
1507598727,47,0
1507599016,33,0
1507599314,32,0
1507599615,31,0
1507599914,28,3
1507600514,70,0
1507600815,25,0
1507601413,61,0
1507601714,27,0
1507602014,9,2
1507602314,31,0
1507602615,51,0
1507602914,12,0
1507603215,8,0
1507603513,23,0
1507603813,60,12
1507604414,122,0
1507604714,76,0
1507605313,110,3
1507605615,41,0
1507606214,98,0
1507606513,47,0
1507606814,44,0
1507607414,99,3
1507607714,38,0
1507608015,65,0
1507608315,50,0
1507608614,68,3
1507608914,46,0
1507609215,55,0
1507609522,64,3
1507610114,168,6
1507610414,19,0
1507612213,2,0
1507620614,1,0
1507622113,1,0
1507623615,0,1
1507628415,6,0
1507628716,32,0
1507629915,0,1
1507633814,1,0
1507639215,1,1
1507640415,1,1
1507645214,0,1
1507645814,2,0
1507646414,1,0
1507647616,1,0
1507647914,11,1
1507648814,119,1
1507649713,19,0
1507650015,58,0
1507654514,1,0
1507656314,0,1
1507657513,1,0
1507658715,1,0
1507660513,0,1
1507661115,1,0
1507661414,1,0
1507663814,0,1
1507664415,0,1
1507665314,1,0
1507668614,0,1
1507672514,1,0
1507673114,1,0
1507674014,0,1
1507682715,1,0
1507683314,2,1
1507690514,1,0
1507695014,0,1
1507704015,1,0
1507706714,0,1
1507709115,24,2
1507709415,31,0
1507709714,1,0
1507710014,0,1
1507710614,249,3
1507712114,68,0
1507712417,1,0
1507717215,1,0
1507720513,0,1
1507720814,1,0
1507721113,2,0
1507721415,1,0
1507722314,2,0
1507722613,1,0
1507723215,2,0
1507723513,2,0
1507725014,1,1
1507726213,0,2
1507726514,5,0
1507730113,1,0
1507734015,25,0
1507734614,107,3
1507735215,114,3
1507735513,32,0
1507735814,23,0
1507736113,36,0
1507736414,32,3
1507737015,98,0
1507737314,41,0
1507737615,65,0
1507737915,23,0
1507738214,38,0
1507738514,44,0
1507738815,54,0
1507739414,78,0
1507740014,74,0
1507740315,20,3
1507740614,61,0
1507740913,52,3
1507741214,50,0
1507741814,80,0
1507742114,43,0
1507742414,31,0
1507742724,30,0
1507743014,18,3
1507743314,15,0
1507743615,31,0
1507743914,16,0
1507744213,5,0
1507744515,27,0
1507744814,5,0
1507745115,10,0
1507747214,234,13
1507747814,96,0
1507748414,78,0
1507748714,16,0
1507749313,62,2
1507749615,18,0
1507749923,38,6
1507750214,55,0
1507750514,48,6
1507750815,26,0
1507751114,44,3
1507751414,34,0
1507751714,18,0
1507752014,70,3
1507752315,67,0
1507752614,58,3
1507753215,120,0
1507753516,36,3
1507753815,37,6
1507754113,89,3
1507754714,109,3
1507755014,39,0
1507755314,58,4
1507755614,67,0
1507755914,69,0
1507756214,16,0
1507761014,5,0
1507761314,120,0
1507761614,124,0
1507761915,124,0
1507762214,123,0
1507762814,247,0
1507763114,130,0
1507763714,250,0
1507764015,120,0
1507764614,251,0
1507764914,128,0
1507765215,119,0
1507765514,129,0
1507765814,79,0
1507767923,1,0
1507772714,113,0
1507773016,119,0
1507773615,250,0
1507773913,131,0
1507774215,117,0
1507774515,131,0
1507774814,120,0
1507775414,251,0
1507775714,128,0
1507776014,121,0
1507776314,130,0
1507776615,22,0
1507777814,0,1
1507779015,59,0
1507779314,97,0
1507780214,19,0
1507780514,120,3
1507780815,125,6
1507781114,120,0
1507781416,123,0
1507782014,247,0
1507782314,123,0
1507782914,23,0
1507787115,10,0
1507788015,21,0
1507788314,124,3
1507788614,130,2
1507789215,11,3
1507789527,0,5
1507789814,0,1
1507790114,1,1
1507790414,0,1
1507791014,0,3
1507791614,0,6
1507797915,1,0
1507800014,0,1
1507805415,0,1
1507809014,0,1
1507809314,1,0
1507814113,71,0
1507814414,353,18
1507814714,232,3
1507815015,236,3
1507815314,273,3
1507815615,243,0
1507815915,128,3
1507816214,131,6
1507816814,249,0
1507817114,119,0
1507817714,247,0
1507818014,131,0
1507818615,56,0
1507819214,1,0
1507819513,11,0
1507819814,13,0
1507820114,11,0
1507820415,1,0
1507821614,57,5
1507821927,42,0
1507824918,0,1
1507826114,0,1
1507828214,1,0
1507829714,0,1
1507830914,0,1
1507832114,3,1
1507837515,0,1
1507840815,1,0
1507845316,1,0
1507847413,0,1
1507852514,1,0
1507854315,0,1
1507857614,3,0
1507862714,0,1
1507868723,0,1
1507877413,0,1
1507881314,6,0
1507882214,0,1
1507884314,0,1
1507886415,61,0
1507887013,142,0
1507887314,98,0
1507887614,9,0
1507887914,1,0
1507888215,42,0
1507888514,48,0
1507890015,1,0
1507891813,1,0
1507892113,1,0
1507898714,1,0
1507901414,0,1
1507903814,0,1
1507905314,1,0
1507910114,1,0
1507911614,2,0
1507911914,1,0
1507912214,2,0
1507912513,1,0
1507912814,2,0
1507913115,1,0
1507913414,2,0
1507915813,0,1
1507918514,0,1
1507919415,1,0
1507921215,1,0
1507922414,1,0
1507926614,2,0
1507928113,1,0
1507929013,29,0
1507929614,214,43
1507929921,127,0
1507930514,244,9
1507930814,135,9
1507931413,248,3
1507931714,121,0
1507932019,126,3
1507932312,64,3
1507932913,159,0
1507933514,405,3
1507933814,126,4
1507934414,247,0
1507934714,123,0
1507935014,126,3
1507935314,99,6
1507936513,1,0
1507938014,2,0
1507938316,1,0
1507941315,1,0
1507953914,1,0
1507955115,1,0
1507955415,1,0
1507955714,1,0
1507956014,1,0
1507956913,2,0
1507957813,1,0
1507958723,2,0
1507959314,1,0
1507959614,1,0
1507959914,1,0
1507961114,1,0
1507966815,1,0
1507967415,1,0
1507971314,2,0
1507979114,1,1
1507987515,1,0
1507993514,1,1
1507995014,1,0
1507995614,1,0
1507997714,0,1
1508000713,0,1
1508002815,1,0
1508005523,1,0
1508007316,2,0
1508008814,1,0
1508009714,1,0
1508010614,1,1
1508010913,1,0
1508012113,1,0
1508013913,1,0
1508016914,1,0
1508023215,321,3
1508023521,238,0
1508024113,485,47
1508024414,247,6
1508025014,491,0
1508025315,255,6
1508025616,239,3
1508025914,232,11
1508026513,245,6
1508027115,246,5
1508027414,123,0
1508028014,252,3
1508028314,122,12
1508028914,253,6
1508029215,126,1
1508029814,246,0
1508030415,248,3
1508030720,126,0
1508031314,245,0
1508031614,119,0
1508031914,126,0
1508032213,128,0
1508032815,247,0
1508033115,132,3
1508033714,249,0
1508034314,237,20
1508034615,46,0
1508036415,0,1
1508037615,279,9
1508037914,258,2
1508038514,466,6
1508038816,125,0
1508039413,121,0
1508040314,1,0
1508044213,1,0
1508044815,1,0
1508046314,1,0
1508047514,1,0
1508048414,1,0
1508049613,1,0
1508051414,1,0
1508053514,1,0
1508054113,1,0
1508054414,1,0
1508062215,0,1
1508064014,0,1
1508064615,3,0
1508064914,7,0
1508065215,2,0
1508065815,2,0
1508066415,1,0
1508068514,2,0
1508068814,1,0
1508071215,1,0
1508071814,1,0
1508072114,1,0
1508073315,1,0
1508074213,1,0
1508075713,1,0
1508077215,9,0
1508077815,56,3
1508086514,2,0
1508090715,0,1
1508091014,0,1
1508091314,0,1
1508103614,0,1
1508104817,0,1
1508106614,23,0
1508106914,193,3
1508107214,271,23
1508107514,257,3
1508107814,251,0
1508108114,247,9
1508108415,241,9
1508108714,234,12
1508109014,250,6
1508109615,500,9
1508109921,245,3
1508110215,244,0
1508110514,243,4
1508110814,261,6
1508111413,362,7
1508112014,254,9
1508112314,33,0
1508113514,0,1
1508121014,0,1
1508121615,0,1
1508122514,1,0
1508129714,0,1
1508133915,3,0
1508136315,0,1
1508140213,64,0
1508140514,10,0
1508140816,80,2
1508141115,110,13
1508141714,1,0
1508142314,5,0
1508142614,46,0
1508143214,2,1
1508144113,2,0
1508144415,1,0
1508148914,4,1
1508149823,1,1
1508150416,3,0
1508150715,1,0
1508151016,1,0
1508151313,3,0
1508151615,2,0
1508154015,1,0
1508154914,1,0
1508156114,1,0
1508164216,0,1
1508164514,0,1
1508173215,1,0
1508175014,0,1
1508176514,1,0
1508177715,0,1
1508180114,1,0
1508183718,0,1
1508185516,1,0
1508192113,0,1
1508194214,1,0
1508198114,0,1
1508200514,0,1
1508201414,1,1
1508202016,1,0
1508203516,1,0
1508205014,1,0
1508205914,48,0
1508206514,498,18
1508206815,245,18
1508207414,499,0
1508208014,486,13
1508208313,262,3
1508208913,497,0
1508209216,246,9
1508209814,262,0
1508210415,255,6
1508210723,123,0
1508211313,249,0
1508211615,120,0
1508212214,253,0
1508212814,250,0
1508213114,128,0
1508213714,155,15
1508217922,0,1
1508218514,1,0
1508229314,43,0
1508230514,1,0
