DateTime,AddedIPs,RemovedIPs
1505491813,1,0
1505492414,1,0
1505504414,0,1
1505521814,1,0
1505529014,0,1
1505539527,3,0
1505539815,1,0
1505586015,1,0
1505602214,0,1
1505605213,0,1
1505657113,7,0
1505657414,14,0
1505658013,7,0
1505659215,125,0
1505660415,0,1
1505662214,73,0
1505662515,70,0
1505662815,78,0
1505663115,72,0
1505663414,29,0
1505663714,44,3
1505664014,42,0
1505664314,59,1
1505664914,128,1
1505665215,80,0
1505665514,98,0
1505665814,63,0
1505666113,71,0
1505666415,59,0
1505666714,2,0
1505668213,167,0
1505668814,176,0
1505670613,145,0
1505670913,0,1
1505671813,14,0
1505672113,34,0
1505672720,0,3
1505673013,0,2
1505674814,1,0
1505675412,0,1
1505676614,1,0
1505678417,141,0
1505678714,56,0
1505679014,23,0
1505679313,36,0
1505679615,36,0
1505680215,336,0
1505680513,187,0
1505680814,64,0
1505681114,61,0
1505681414,50,0
1505681714,75,0
1505682014,44,0
1505682313,53,0
1505682614,48,0
1505682914,35,0
1505683214,33,0
1505683514,31,0
1505684112,0,1
1505686815,2,0
1505687414,1,0
1505688014,22,0
1505688315,19,0
1505688615,15,0
1505689214,33,0
1505689814,35,0
1505690115,16,0
1505690415,15,0
1505690722,22,0
1505691015,13,0
1505691313,14,0
1505691914,32,0
1505692213,16,0
1505692514,14,0
1505692814,14,0
1505693114,8,0
1505693714,23,0
1505694015,16,0
1505694321,17,0
1505694613,16,0
1505694914,6,0
1505695215,8,0
1505695514,7,0
1505695815,13,0
1505696113,9,0
1505696714,20,0
1505697014,12,0
1505697614,15,0
1505697918,11,0
1505698214,5,0
1505698513,7,0
1505698814,6,0
1505699413,15,0
1505699713,10,0
1505700015,7,0
1505700614,20,0
1505700914,9,0
1505701216,9,0
1505701522,10,0
1505701814,14,0
1505702113,5,0
1505702414,9,0
1505702714,8,0
1505703313,12,0
1505703615,11,0
1505703915,5,0
1505704514,11,0
1505704814,7,0
1505705125,4,0
1505705413,3,0
1505705713,5,0
1505706015,2,0
1505706314,9,0
1505706613,1,0
1505707214,8,0
1505707514,6,0
1505707814,7,0
1505708113,3,0
1505708415,12,0
1505709014,15,0
1505709313,6,0
1505709615,4,0
1505709914,7,0
1505710214,9,0
1505710513,8,0
1505711113,10,0
1505711414,7,0
1505711715,6,0
1505712015,6,0
1505712325,4,0
1505712913,7,0
1505713213,5,0
1505713515,3,0
1505713814,6,0
1505714113,5,0
1505714414,6,0
1505714714,5,0
1505715013,3,0
1505715313,4,0
1505715614,2,0
1505715919,6,0
1505716214,3,0
1505716815,10,0
1505717115,4,0
1505717714,2,0
1505718015,7,0
1505718614,9,0
1505719215,1,0
1505719814,6,0
1505720114,3,0
1505720415,2,0
1505720715,3,0
1505721014,1,0
1505721615,7,0
1505721914,2,0
1505722514,5,1
1505723115,3,0
1505723714,8,0
1505724015,2,0
1505724315,2,0
1505724614,2,0
1505724913,4,0
1505725215,3,0
1505725514,2,0
1505725813,1,0
