DateTime,AddedIPs,RemovedIPs
1507881867,194,582
1507882813,135,6
1507883539,1,2
1507883795,137,542
1507884391,82,0
1507884734,157,699
1507885455,1,1
1507885703,153,3
1507886665,141,251
1507887612,167,415
1507887992,70,0
1507888584,168,766
1507889296,0,3
1507889546,160,3
1507890493,211,847
1507891219,2,3
1507891463,200,896
1507891592,100,0
1507892445,197,351
1507893140,3,2
1507893376,170,12
1507895065,319,963
1507895191,76,0
1507896017,182,9
1507896994,182,432
1507897941,227,24
1507898908,221,415
1507899863,226,8
1507900823,228,166
1507901784,228,362
1507902391,52,0
1507902736,225,235
1507903706,180,21
1507904668,182,321
1507905612,156,3
1507905991,58,0
1507906586,232,337
1507907533,223,3
1507908515,220,379
1507910704,484,406
1507911612,182,8
1507912594,230,330
1507913533,187,9
1507914532,309,445
1507915455,235,12
1507916430,225,406
1507917371,192,6
1507917691,37,0
1507918594,277,493
1507919536,141,9
1507920507,143,110
1507921474,153,264
1507922453,172,148
1507923384,137,9
1507924338,147,312
1507924891,38,0
1507925305,122,9
1507926282,340,516
1507927212,253,6
1507928189,202,709
1507928492,37,0
1507929151,213,12
1507930109,194,433
1507931069,170,23
1507932048,238,425
1507932091,39,0
1507932995,180,21
1507933967,231,241
1507934894,155,155
1507935888,242,246
1507936822,185,184
1507937800,161,211
1507938733,212,250
1507939292,47,1591
1507939719,339,264
1507940703,237,196
1507941623,205,218
1507942573,212,203
1507942891,29,0
1507944173,330,280
1507945578,461,297
1507946176,4,1
1507946659,488,209
1507947627,347,185
1507948595,222,212
1507949795,197,219
1507950490,30,1
1507950745,118,167
1507951652,92,196
1507952291,11,5
1507952774,91,150
1507954007,134,380
1507954719,7,10
1507955181,98,220
1507956261,107,168
1507956989,10,9
1507957479,247,194
1507958420,135,179
1507958898,8,8
1507959382,221,216
1507960341,294,248
1507961079,76,0
1507961561,440,405
1507962494,277,12
1507963466,295,389
1507964425,208,171
1507964912,98,11
1507965393,217,182
1507966340,160,6
1507966833,5,9
1507967308,311,175
1507968272,369,343
1507968742,2,3
1507969215,170,168
1507970199,192,175
1507970654,1,0
1507971135,175,207
1507971692,67,0
1507972112,232,170
1507972595,1,2
1507973059,158,9
1507974012,167,175
1507974503,4,0
1507974992,148,345
1507975291,71,0
1507976197,250,156
1507976655,2,0
1507977152,170,174
1507978117,183,196
1507978613,6,1
1507979150,491,184
1507980265,238,269
1507980749,5,3
1507981221,206,15
1507982192,174,169
1507982682,168,1
1507983152,133,165
1507984115,188,217
1507984591,0,2
1507985078,157,137
1507986028,145,223
1507986503,194,3
1507986984,184,172
1507987972,184,177
1507988422,8,3
1507988900,172,170
1507989876,336,203
1507990352,7,1
1507990812,126,171
