DateTime,AddedIPs,RemovedIPs
1507761868,39,544
1507762749,0,248
1507763793,44,54
1507764630,0,355
1507765701,35,193
1507767632,22,362
1507769106,0,681
1507769571,18,35
1507770607,0,349
1507771481,33,31
1507772707,0,684
1507773630,46,65
1507774207,0,377
1507775549,34,30
1507776128,0,748
1507777459,23,39
1507778046,0,408
1507779008,0,498
1507779370,13,35
1507779907,0,332
1507780264,255,0
1507781303,21,34
1507781406,0,477
1507783465,5,783
1507785380,747,393
1507786227,0,404
1507787296,13,158
1507788122,0,355
1507789235,23,33
1507789807,0,482
1507791167,18,168
1507791649,0,400
1507793051,15,276
1507793407,0,487
1507794135,0,180
1507794968,12,27
1507795255,0,429
1507796897,22,28
1507797008,0,489
1507797910,0,207
1507798816,51,388
1507799588,0,32
1507800749,26,40
1507801327,0,753
1507802661,28,52
1507803007,0,354
1507804570,14,41
1507805070,0,723
1507806502,25,27
1507806606,0,934
1507808410,23,36
1507808580,0,820
1507810328,21,22
1507811433,255,0
1507812247,25,38
1507814173,22,31
1507816101,29,26
1507816304,2296,0
1507818005,31,38
1507818620,506,0
1507819936,31,32
1507821849,22,42
1507825254,54,1540
1507825824,0,1017
1507827149,27,18
1507829067,631,0
1507830984,46,24
1507832906,65,24
1507834851,122,50
1507835708,0,255
1507837001,69,22
1507838895,59,23
1507840836,61,29
1507842749,34,20
1507844675,43,27
1507846992,39,25
1507847435,252,254
1507848988,30,21
1507850888,31,27
1507852825,45,64
1507854742,19,22
1507856654,18,37
1507858566,23,28
1507860487,19,37
1507862420,21,25
1507864338,14,22
1507866249,21,14
1507866662,0,255
1507868184,16,26
1507870103,19,18
1507872010,573,0
1507873940,26,23
1507875850,17,24
1507877777,22,21
1507879699,22,25
1507881606,22,21
1507883541,42,47
1507885456,30,21
1507887387,20,25
1507889297,31,25
1507891220,55,21
1507893141,46,23
1507895051,29,35
1507896989,25,26
1507898904,24,23
1507900810,34,34
1507902732,24,26
1507903229,0,2291
1507904653,31,292
1507906581,32,25
1507908509,28,21
1507910689,57,1720
1507911308,0,255
1507912590,33,26
1507913452,1532,0
1507914528,608,0
1507916426,81,14
1507916708,0,256
1507918579,75,23
1507919427,254,0
1507920503,72,13
1507922438,50,14
1507924334,47,17
1507924506,457,0
1507924849,256,0
1507925406,394,0
1507926264,42,21
1507926626,100,0
1507927206,530,0
1507928184,367,29
1507929006,232,0
1507930105,322,278
1507931106,229,1
1507932043,251,43
1507932923,202,0
1507933962,239,18
1507934535,160,0
1507935875,88,25
1507936207,298,1
1507937286,197,0
1507937796,45,22
1507938126,125,0
1507939706,30,22
1507940107,222,0
1507941035,408,1
1507941619,20,23
1507941906,129,0
1507944156,18,23
1507944629,0,4216
1507945506,4697,0
1507946177,13,29
1507946333,201,0
1507947306,350,1
1507948324,60,55
1507949460,213,0
1507950491,31,20
1507950846,236,0
1507952011,157,0
1507952292,37,30
1507954720,346,17
1507955429,88,0
1507956990,114,22
1507957225,97,0
1507957806,83,0
1507958900,626,0
1507959607,100,0
1507960520,97,0
1507961081,40,26
1507961406,103,0
1507962486,120,0
1507962969,19,12
1507964913,155,11
1507966833,165,12
1507967107,252,0
1507968184,118,0
1507968743,17,16
1507969214,130,0
1507970106,95,0
1507970655,12,29
1507970986,87,0
1507972048,108,0
1507972596,21,19
1507973128,131,0
1507974134,110,0
1507974504,20,16
1507975250,117,0
1507976107,105,0
1507976656,23,24
1507977727,189,0
1507978614,8,18
1507979705,230,0
1507980750,170,39
1507981506,88,0
1507982683,96,18
1507983207,80,1
1507984593,176,24
1507985489,48,0
1507985727,87,1
1507986504,18,23
1507987835,163,0
1507988423,171,28
1507989306,121,1
1507990353,142,23
1507992257,133,28
1507992660,2036,0
1507993219,165,1
1507994195,103,20
1507995018,83,0
1507996101,108,26
1507996566,360,0
1507997407,91,0
1507998016,11,1175
1507998486,95,0
1507999534,101,0
1507999944,19,24
1508000098,0,1790
1508000446,81,0
1508001315,99,1
1508001855,575,0
1508002224,256,0
1508002633,141,0
1508003785,443,26
1508004606,80,0
1508005702,123,14
1508005822,255,254
1508006706,109,0
1508007876,40,35
1508008446,183,0
1508009414,95,0
1508009782,37,18
1508010306,89,0
1508011714,34,21
1508012108,170,0
1508012887,63,0
1508013626,276,17
1508013906,78,0
1508015545,27,24
1508015715,135,0
1508017459,194,20
1508019398,181,26
1508020232,145,2
1508021373,133,35
1508021477,256,0
1508022254,76,0
1508023235,142,23
1508024107,83,0
1508025150,14,19
1508027106,260,21
1508028306,98,0
1508028986,25,21
1508029273,149,0
1508030047,64,0
1508030893,23,20
1508031024,70,0
1508031727,78,0
1508032833,39,52
1508033705,130,0
1508034755,96,31
1508035506,89,0
1508036664,107,23
1508037006,84,0
1508037307,15,0
1508038592,130,26
1508039599,93,0
1508040508,9,22
1508040910,59,0
1508042427,14,24
1508042706,0,15181
1508043620,15440,0
1508044357,506,0
1508044446,52,1
1508045406,69,0
1508046267,11,24
1508046649,0,256
1508047417,174,0
1508048194,15,12
1508048403,71,0
1508050101,143,14
1508052031,136,20
1508053206,133,0
1508053945,13,18
1508054076,80,0
1508054942,63,0
1508055862,10,19
1508056231,96,0
1508057107,52,0
1508057784,16,17
1508058040,64,0
1508058607,84,0
1508059692,106,20
1508061638,31,41
1508062206,242,1
1508063602,127,30
1508065474,9,18
1508065806,211,0
1508066708,68,0
1508067375,20,18
1508067614,71,0
1508069324,15,20
1508069706,177,0
1508070006,148,0
1508071227,140,21
1508071924,33,0
1508073396,21,18
1508073536,154,0
1508074741,94,0
1508075293,19,25
1508075766,97,0
1508076606,74,1
1508077211,17,23
1508077570,95,0
1508078526,82,0
1508079149,17,31
1508079188,0,2288
1508080002,133,0
1508081072,83,22
1508081432,39,0
1508082126,89,1
1508084216,2222,976
1508085019,508,256
1508085907,201,0
1508086098,17,17
1508088036,505,0
1508088144,82,250
1508089944,26,15
1508090027,0,255
1508090865,268,0
1508091859,11,18
1508093773,128,14
1508094020,120,0
1508094907,111,113
1508095708,15,14
1508097037,188,205
1508097624,29,35
1508098174,84,117
1508098506,0,256
1508099387,86,139
1508099540,17,13
1508100307,324,44
1508101544,94,113
1508102406,76,0
1508103390,17,19
1508104265,71,200
1508105306,11,20
1508105405,120,98
1508106627,340,141
1508107215,9,10
1508107506,62,53
1508109139,25,18
1508109308,105,87
1508111066,152,142
1508112031,90,306
1508113006,84,121
1508113830,335,0
1508114707,65,160
1508114910,12,16
1508115921,85,92
1508116814,33,14
1508117432,73,0
1508117646,117,156
1508118740,72,62
1508120106,151,332
1508120656,25,24
1508121032,72,132
1508121727,59,59
1508122590,32,17
1508123646,133,117
1508124503,19,17
1508124907,75,134
1508126106,109,47
1508126430,35,25
1508127006,89,102
1508128343,95,179
1508128928,55,37
1508130266,379,0
1508130296,124,100
1508131206,63,0
1508132184,11,14
1508132529,135,179
1508134112,12,18
1508134507,86,112
1508134807,76,1
1508136026,23,12
1508136876,151,183
1508137951,107,107
1508139908,174,213
1508140857,39,0
1508141408,53,94
1508141782,22,13
1508142631,69,143
1508143699,83,61
1508145247,156,89
1508145627,22,13
1508146233,85,153
1508147107,71,63
