DateTime,Entries,UniqueIPs
1507970704,109132,9433026
1507971377,109215,9433116
1507971903,109222,9433122
1507972595,109253,9433153
1507973104,109248,9433148
1507973704,109251,9433151
1507974503,109258,9433158
1507974904,109248,9433148
1507975458,109259,9433159
1507975503,109252,9433153
1507976104,109264,9433165
1507976655,109264,9433165
1507976704,109256,9433155
1507977304,109255,9433154
1507977904,109214,9433113
1507978613,109257,9433157
1507979103,109255,9433157
1507979704,109250,9433152
1507980749,109261,9433163
1507980905,109249,9433151
1507981504,109254,9433157
1507982103,109255,9433158
1507982682,109261,9433164
1507983003,109228,9433130
1507983604,109235,9433137
1507984591,109236,9433138
1507984804,109232,9433134
1507985404,109285,9433186
1507986005,109301,9433202
1507986503,109300,9433202
1507986604,109268,9433169
1507987204,109259,9433160
1507987804,109251,9433152
1507988422,109266,9433168
1507989004,109261,9433161
1507989604,109270,9433170
1507990352,109266,9433167
1507990503,109276,9433178
1507991104,109282,9433186
1507991705,109266,9433168
1507992256,109274,9433176
1507992304,109307,9433211
1507992904,109306,9433210
1507993504,109320,9433224
1507994194,109323,9433228
1507995004,109232,9433131
1507995634,109242,9433143
1507996100,109246,9433147
1507996504,109209,9433110
1507997104,109204,9433105
1507997705,109212,9433113
1507998015,109224,9433125
1507998303,109235,9433137
1507998905,109268,9433170
1507999943,109224,9433125
1508000417,109225,9433125
1508000705,109205,9433104
1508001304,109225,9433126
1508001854,109236,9433137
1508001904,109235,9433132
1508002503,109244,9433139
1508003104,109246,9433142
1508003705,109219,9433114
1508004303,109254,9433149
1508005220,109269,9433164
1508005701,109257,9433153
1508006105,109269,9433165
1508006704,109268,9433164
1508007875,109121,9433000
1508007904,109124,9433003
1508008504,109128,9433009
1508009105,109108,9432990
1508009781,109122,9433003
1508010303,109128,9433020
1508010903,109168,9433060
1508011713,109183,9433076
1508012104,109186,9433080
1508012703,109176,9433070
1508013625,109190,9433085
1508013905,109161,9433054
1508014504,109154,9433046
1508015544,109155,9433046
1508015704,109177,9433068
1508016304,109189,9433079
1508016904,109173,9433063
1508017458,109187,9433077
1508017507,109167,9433057
1508018104,109183,9433073
1508018704,109177,9433065
1508019397,109190,9433078
1508019856,109200,9433088
1508019919,109108,9432994
1508020504,109030,9432910
1508021305,109046,9432927
1508021703,109046,9432927
1508022306,109038,9432919
1508023234,109038,9432917
1508023505,109034,9432912
1508024104,109029,9432907
1508025149,109051,9432932
1508025304,109054,9432935
1508025903,109057,9432938
1508026208,108981,9432858
1508027067,109002,9432878
1508027403,109006,9432883
1508028004,108994,9432870
1508028985,109002,9432878
1508029205,109001,9432877
1508029804,108998,9432873
1508030403,108997,9432873
1508030892,109004,9432881
1508031003,109008,9432888
1508031604,108995,9432875
1508032204,109004,9432885
1508032832,109021,9432902
1508033404,109014,9432897
1508034004,109009,9432893
1508034754,109029,9432915
1508035203,109026,9432912
1508035804,109021,9432911
1508036404,108994,9432884
1508036663,109003,9432893
1508037004,108995,9432885
1508037604,108994,9432884
1508038591,108986,9432876
1508038804,108985,9432874
1508039562,108988,9432877
1508040005,108991,9432880
1508040507,109012,9432901
1508040604,109015,9432904
