DateTime,AddedIPs,RemovedIPs
1507882322,5,4
1507882921,4,0
1507883521,2,3
1507883581,0,10
1507884122,1,12
1507885321,3,0
1507886522,2,6
1507887722,7,4
1507888922,19,6
1507889522,2,0
1507890250,1,2
1507890721,0,1
1507891321,0,6
1507892522,5,5
1507893721,1,9
1507894381,0,9
1507894922,3,0
1507895522,3,2
1507896122,14,6
1507897321,2,1
1507897921,14,8
1507898522,11,1
1507899122,11,3
1507899721,2,3
1507900321,1,0
1507900922,2,2
1507902121,4,0
1507902721,3,4
1507903321,2,4
1507903921,4,2
1507904522,1,11
1507905132,6,4
1507905722,2,3
1507906322,1,0
1507906921,2,7
1507908121,4,6
1507908781,3,0
1507910600,13,23
1507911722,10,2
1507912322,10,0
1507912921,6,4
1507913521,2,0
1507914121,1,2
1507914722,3,0
1507915322,0,14
1507916522,1,9
1507918922,15,13
1507920122,0,2
1507921322,3,10
1507921921,1,0
1507922522,8,3
1507923722,4,4
1507924321,1,1
1507925521,5,6
1507926122,2,0
1507926721,1,0
1507927322,7,3
1507928521,1,4
1507929722,8,8
1507930381,2,0
1507930922,1,8
1507932122,1,2
1507932722,5,0
1507933321,5,0
1507933922,2,3
1507934414,2,0
1507934521,3,5
1507935722,5,0
1507936922,2,6
1507937581,13,48
1507938122,2,3
1507938722,3,2
1507939322,3,11
1507939922,4,4
1507940522,4,0
1507941721,7,13
1507942922,5,11
1507943523,1,0
1507944722,2,11
1507946521,1,10
1507947122,1,0
1507947721,0,3
1507948382,24,4
1507949051,11,7
1507949522,1,7
1507950121,0,2
1507951922,0,13
1507951981,1,0
1507953122,5,0
1507953721,4,5
1507954322,4,7
1507954922,1,0
1507956122,0,6
1507956722,0,1
1507958522,2,16
1507959181,38,0
1507959721,2,1
1507960922,2,2
1507962121,21,2
1507963321,4,4
1507963931,0,1
1507964522,2,14
1507965721,0,2
1507966381,1,5
1507966923,14,0
1507967521,6,2
1507968121,3,3
1507968722,1,2
1507969321,1,4
1507970521,8,15
1507971121,1,8
1507971722,3,0
1507972322,9,14
1507972921,0,6
1507974122,1,0
1507975321,4,7
1507975921,0,2
1507976522,1,11
1507977182,0,6
1507977722,4,4
1507978581,5,6
1507978922,2,11
1507979522,3,10
1507981322,15,12
1507981922,0,2
1507982521,10,10
1507983122,5,2
1507983722,1,5
1507984381,5,10
1507984922,0,4
1507985521,0,4
1507986122,2,2
1507986722,2,0
1507987321,3,5
1507987922,4,12
1507988522,4,4
1507989121,0,1
1507989722,4,11
1507990322,2,0
1507990921,1,0
1507992122,3,14
1507993322,4,0
1507993921,2,17
1507994522,14,15
1507995722,9,3
1507996321,1,2
1507996921,1,11
1507996976,3,7
1507998122,2,0
1507998781,5,3
1507999322,6,0
1508000522,2,5
1508001122,2,0
1508001722,6,2
1508002921,7,0
1508003522,6,2
1508004122,1,1
1508004721,4,0
1508005321,0,9
1508005922,3,1
1508006522,42,1
1508007122,40,5
1508007854,3,7
1508008321,18,8
1508008921,2,0
1508009522,16,5
1508010121,2,0
1508011321,5,3
1508011922,6,2
1508012522,13,3
1508013121,7,4
1508013723,28,5
1508014321,4,2
1508014922,1,6
1508016122,4,2
1508017321,10,7
1508017922,12,0
1508018521,6,0
1508019121,4,17
1508019721,5,6
1508020925,4,5
1508021524,28,1
1508022122,1,5
1508022721,1,0
1508023322,40,8
1508023981,15,52
1508024522,8,2
1508025122,10,23
1508025721,11,15
1508026322,12,5
1508026922,9,4
1508027522,3,1
1508028122,5,8
1508028722,12,4
1508029321,5,7
1508029923,14,3
1508030521,10,12
1508031181,15,1
1508031721,14,3
1508032922,28,14
1508033522,13,9
1508034122,5,2
1508034721,1,0
1508035321,6,2
1508035922,2,6
1508036521,15,6
1508037133,6,10
1508037722,27,5
1508038381,4,4
1508038922,4,9
1508039521,1,3
1508040122,4,4
1508040721,10,5
1508041921,0,7
1508041981,0,1
1508042522,12,3
1508043122,0,1
1508043722,19,32
1508044322,30,1
1508044922,11,4
1508045582,6,2
1508046121,17,13
1508046721,5,4
1508047321,9,1
1508047922,7,4
1508048522,5,7
1508049122,2,0
1508049721,15,8
1508050321,1,3
1508050922,2,0
1508051522,32,11
1508052121,17,3
1508052721,1,2
1508053322,11,27
1508054521,13,12
1508055722,3,0
1508056322,3,4
1508056381,0,1
1508056921,8,28
1508057522,18,13
1508058121,17,7
1508058722,8,0
1508059322,16,1
1508059922,6,5
1508060522,8,6
1508061122,0,6
1508061722,17,0
1508062922,11,23
1508064121,4,6
1508065322,14,5
1508066649,17,0
1508067121,13,12
1508067181,16,17
1508067721,26,12
1508068321,34,0
1508068922,41,10
