DateTime,AddedIPs,RemovedIPs
1507260510,21,33
1507262492,57,67
1507264378,27,34
1507266439,738,0
1507268654,14,26
1507271492,43,38
1507273461,22,24
1507275385,35,34
1507277299,33,30
1507279226,24,17
1507281099,31,21
1507283182,41,27
1507285209,26,38
1507287140,20,48
1507289050,31,25
1507290968,28,44
1507292890,23,27
1507294828,81,47
1507296748,22,40
1507298660,24,47
1507300585,31,51
1507302500,11,32
1507304415,20,34
1507306337,28,1467
1507308251,39,66
1507310185,707,0
1507312103,32,19
1507314031,24,11
1507315931,24,23
1507317892,24,22
1507319781,21,19
1507321703,31,23
1507323623,48,48
1507325549,26,32
1507327462,25,26
1507329632,28,20
1507331552,25,24
1507333458,23,21
1507335625,32,26
1507337532,21,19
1507339454,26,27
1507341382,25,34
1507343307,19,35
1507345221,49,68
1507347135,22,45
1507349066,24,47
1507350984,13,65
1507352907,645,0
1507354813,18,15
1507356747,22,10
1507358658,25,23
1507360576,17,19
1507362498,20,16
1507364427,21,19
1507366346,26,24
1507368256,21,20
1507370171,21,31
1507372092,37,25
1507374029,49,39
1507375958,28,19
1507377876,51,26
1507379793,55,19
1507381696,110,33
1507383625,40,30
1507385548,34,32
1507387454,52,34
1507389371,60,32
1507391293,54,44
1507393222,39,1969
1507395146,35,38
1507397055,724,0
1507398982,86,19
1507400903,54,20
1507402822,143,46
1507404736,70,33
1507406668,63,33
1507408572,108,25
1507410494,72,33
1507412428,48,40
1507414347,62,26
1507416261,43,19
1507418197,89,33
1507420103,53,30
1507422035,25,25
1507423949,28,37
1507425871,31,43
1507427772,23,21
1507429720,22,20
1507431629,47,51
1507433558,22,23
1507435462,16,27
1507437386,26,34
1507439303,639,0
1507441225,30,15
1507443150,28,19
1507445071,48,19
1507446989,17,23
1507448906,22,31
1507450830,34,33
1507452747,42,23
1507454654,23,28
1507456590,20,40
1507458512,28,26
1507460420,30,47
1507462342,19,29
1507464271,22,24
1507466182,15,33
1507468133,22,41
1507470013,13,20
1507471939,15,19
1507473861,18,29
1507475782,16,20
1507477702,31,21
1507479637,18,1474
1507481547,23,36
1507483470,845,0
1507485387,27,24
1507487552,47,42
1507489467,26,21
1507491396,34,22
1507493306,28,23
1507495231,19,28
1507497148,23,29
1507499063,42,22
1507501286,40,29
1507503127,29,29
1507505051,32,23
1507507009,16,33
1507508905,24,46
1507510824,54,107
1507512749,17,48
1507514668,21,27
1507516584,16,53
1507518520,13,60
1507520414,17,47
1507522341,19,37
1507524262,15,33
1507526203,776,0
1507528095,20,24
1507530026,29,17
1507531959,19,21
1507533871,18,19
1507535771,21,20
1507537695,19,22
1507539644,40,55
1507543462,57,51
1507545377,21,29
1507547298,30,23
1507549233,22,30
1507551145,51,50
1507553059,16,40
1507554987,27,60
1507556931,34,46
1507558816,32,27
1507560731,30,51
1507562653,40,59
1507564841,61,1886
1507566757,31,22
1507568666,590,0
1507570587,25,36
1507572733,63,31
1507574657,97,29
1507576574,110,32
1507578497,145,24
1507580707,170,34
1507582578,99,48
1507584755,199,39
1507586667,77,31
1507588592,72,17
1507590507,82,14
1507592425,43,20
1507594341,40,16
1507596258,36,15
1507598196,20,25
1507600105,28,14
1507602016,37,18
1507603934,22,21
1507605854,21,19
1507607786,43,31
1507609721,31,17
1507611636,504,0
1507613548,23,25
1507615466,43,21
1507617374,25,19
1507619297,25,25
1507621225,27,15
1507623146,30,30
1507625056,32,36
1507626988,51,18
1507628894,38,18
1507631070,58,27
1507632975,33,12
1507634900,30,13
1507636838,50,35
1507638755,42,15
1507640667,31,24
1507642579,26,14
1507644497,37,18
1507646435,33,21
1507648349,43,17
1507650268,34,30
1507652177,31,1282
1507654093,33,25
1507656030,656,0
1507657945,36,24
1507661097,75,44
1507662981,51,24
1507664899,45,23
1507666822,30,20
1507668741,51,25
1507670656,41,20
1507672573,23,24
1507674614,61,46
1507676425,33,34
1507678332,33,21
1507680274,38,44
1507682171,28,24
1507684351,30,28
1507686259,17,33
1507688177,21,29
1507690098,22,28
1507692021,27,37
1507693941,28,32
1507695868,31,28
1507697784,26,24
1507699703,605,0
1507701623,46,49
1507703577,27,12
1507705462,30,21
1507707373,21,21
1507709291,93,20
1507711224,21,21
1507713143,18,16
1507715055,28,24
1507716978,29,25
1507718893,21,16
1507720822,25,31
1507722742,35,21
1507724672,29,43
1507726576,27,22
1507728500,38,27
1507730433,52,57
1507732344,26,26
1507734277,21,37
1507736171,28,35
1507738094,17,2365
1507740030,22,32
1507741953,887,0
1507743859,36,26
1507746035,21,41
1507748464,65,46
1507750349,24,30
1507752258,32,31
1507754180,115,44
1507756101,142,73
1507758026,146,50
1507759942,86,74
1507761868,68,28
1507763793,75,28
1507765701,67,37
1507767632,29,22
1507769571,29,41
1507771481,38,32
1507773630,60,65
1507775549,47,33
1507777459,27,42
1507779370,14,37
1507781303,24,35
1507783465,7,26
1507785380,804,0
1507787296,14,23
1507789235,24,35
1507791167,19,19
1507793051,15,23
1507794968,15,27
1507796897,22,28
1507798816,53,96
1507800749,26,42
1507802661,28,56
1507804570,14,41
1507806502,28,28
1507808410,24,37
1507810328,21,22
1507812247,25,38
1507814173,22,31
