DateTime,AddedIPs,RemovedIPs
1505553635,1,8
1505559036,4,4
1505564436,5,9
1505571035,2,0
1505575239,9,5
1505580635,5,1
1505586036,1,5
1505591436,8,1
1505596236,4,2
1505602237,1,4
1505607035,9,6
1505613039,6,8
1505618436,9,4
1505623835,4,4
1505629836,1,4
1505635835,1,5
1505640635,9,5
1505645435,2,5
1505651437,2,17
1505656836,7,9
1505661636,2,0
1505667035,4,2
1505672436,7,0
1505677836,8,10
1505683236,4,7
1505688637,4,4
1505694035,2,8
1505699438,1,6
1505704835,6,10
1505710835,1,8
1505716235,0,3
1505721636,4,13
1505726435,1,9
1505731835,3,4
1505737235,6,14
1505743235,2,9
1505749236,1,4
1505755235,7,10
1505760636,1,8
1505765436,6,5
1505771435,5,6
1505776836,2,4
1505782236,2,10
1505788235,2,14
1505793636,2,8
1505799036,6,6
1505804435,4,10
1505809835,2,10
1505815235,5,10
1505820035,4,21
1505826634,0,9
1505830835,3,0
1505835635,1,8
1505841036,4,3
1505844033,3,0
1505848235,1,5
1505851833,0,13
1505857235,5,8
1505862635,7,5
1505868634,2,6
1505874635,3,4
1505880035,4,4
1505884235,1,17
1505889635,1,0
1505895035,3,5
1505901034,2,7
1505907036,4,21
1505911835,3,0
1505917836,3,14
1505922634,5,6
1505927435,6,5
1505932834,3,0
1505938234,9,3
1505943636,4,7
1505949035,3,6
1505954434,4,20
1505960435,4,6
1505965834,0,6
1505971235,3,5
1505976635,1,7
1505986834,1,4
1505991636,5,6
1505996435,1,6
1506001835,2,12
1506007237,5,5
1506012036,2,4
1506015032,2,0
1506019235,9,14
1506024636,3,0
1506030036,3,3
1506035437,3,10
1506040835,2,0
1506046835,2,12
1506052234,6,13
1506057635,3,6
1506063034,2,7
1506068434,6,8
1506073235,3,24
1506079234,3,0
1506084635,7,14
1506090035,1,4
1506094835,6,3
1506100235,6,9
1506105035,2,5
1506112233,8,8
1506115835,4,3
1506120036,2,8
1506126035,5,5
1506131437,3,7
1506138035,1,3
1506144635,4,13
1506149435,7,4
1506154834,0,9
1506160234,1,7
1506165635,0,1
1506171039,0,13
1506176435,7,6
1506184231,18,3
1506187835,12,3
1506191432,3,0
1506195035,3,4
1506199235,4,9
1506204035,1,7
1506207633,5,0
1506211235,2,8
1506215435,0,3
1506222037,13,4
1506226835,2,5
1506231635,1,1
1506237034,4,3
1506242435,13,10
1506247835,64,3
1506253834,27,7
1506259236,4,5
1506264635,12,6
1506270035,3,8
1506274835,4,7
1506280235,9,6
1506283833,28,0
1506289235,5,7
1506295234,7,5
1506300035,2,9
1506306635,2,7
1506311435,20,4
1506316835,10,11
1506322235,2,6
1506328236,4,5
1506333037,3,15
1506337835,6,10
1506343834,2,8
1506349235,9,8
1506354036,1,8
1506358835,5,4
1506362432,6,0
1506366635,5,0
1506372635,7,20
1506378035,10,6
1506383435,2,16
1506388835,4,15
1506394234,2,11
1506400234,2,11
1506405035,7,3
1506409836,3,9
1506415835,3,10
1506420636,1,8
1506431435,4,29
1506436835,3,4
1506441635,3,4
1506448832,6,6
1506452435,2,0
1506460232,3,13
1506465635,3,6
1506471036,5,3
1506477034,4,6
1506482435,3,5
1506487835,9,1
1506493235,14,13
1506498635,3,6
1506504034,6,6
1506513634,0,10
1506517835,2,9
1506523834,6,12
1506528634,5,4
1506534034,6,1
1506537632,5,0
1506543036,2,6
1506547835,5,9
1506555032,9,0
1506559235,5,11
1506565235,3,2
1506571235,4,0
1506576635,4,11
1506582035,2,12
1506587435,3,7
1506592236,2,5
1506597635,0,3
1506602434,1,7
1506608435,2,8
1506612635,3,3
1506616835,41,3
1506620432,15,5
1506625836,4,6
1506631235,3,1
1506640236,4,6
1506645638,1,4
1506652240,5,12
1506657642,4,3
1506662438,3,5
1506667236,3,0
1506672637,1,5
1506678037,3,7
1506681033,2,7
1506684635,1,0
1506689436,5,12
1506695435,2,0
1506700234,4,8
1506705035,1,0
1506709835,1,0
1506714035,8,11
1506717633,6,4
1506723035,2,3
1506728434,1,8
1506733835,1,6
1506740436,3,7
1506745836,4,10
1506750055,3,8
1506755435,1,3
1506761434,7,7
1506766835,2,4
1506771635,4,4
1506777636,6,8
1506782435,4,5
1506787834,5,1
1506792634,3,2
1506796232,0,2
1506800435,1,1
1506803433,4,0
1506807035,3,0
1506811235,7,8
1506816634,1,4
1506822635,2,5
1506828034,0,3
1506834035,54,3
1506838834,77,9
1506844234,6,3
1506849035,7,13
1506859835,4,14
1506865835,4,6
1506870636,6,4
1506876035,1,3
1506882035,7,5
1506889833,6,5
1506894036,1,9
1506897633,7,0
1506903034,4,6
1506909035,2,6
1506914435,2,11
1506920435,2,8
1506925835,47,5
1506930037,3,2
1506936035,2,8
1506941435,8,8
1506946835,4,12
1506953434,1,5
1506958836,13,5
1506963035,8,3
1506967835,4,5
1506973836,8,14
1506978636,0,5
1506982232,1,0
1506985835,3,11
1506991835,10,10
1506997235,5,10
1507003235,6,7
1507008636,2,6
1507014036,0,4
1507019435,8,7
1507024835,7,5
1507029635,7,9
1507035635,0,12
1507040435,4,0
1507045235,2,5
1507050634,5,9
1507054233,4,2
1507059636,5,12
1507063233,1,0
1507068636,2,4
1507074036,2,3
1507080035,1,4
1507085436,5,8
1507090835,4,5
1507096236,2,8
1507101634,3,15
1507107035,0,6
1507111834,5,11
1507117835,4,0
1507123835,1,7
1507128635,1,10
1507133435,2,0
1507138236,0,16
1507142438,4,3
1507147835,9,5
1507153239,3,9
1507158635,2,6
1507164035,3,0
1507170635,2,15
1507176034,4,7
1507180834,5,0
1507186235,1,15
1507191634,0,9
1507196435,1,5
1507201835,1,9
1507206034,9,6
1507211434,2,2
1507216835,1,5
1507221635,3,5
1507226435,2,15
1507230634,1,5
1507236035,11,7
1507239633,4,0
1507243235,152,0
1507249235,185,8
1507255236,29,9
1507260636,61,6
1507266036,4,12
1507271437,21,7
1507276836,17,5
1507281635,43,3
1507287035,4,9
1507293036,19,0
1507299035,7,3
1507305035,12,3
1507309835,23,5
1507315235,21,9
1507321235,5,9
1507326036,10,0
1507331435,4,4
1507335032,11,0
1507341635,9,13
1507347036,18,5
1507353035,3,4
1507359635,5,3
1507365035,2,6
1507370435,4,3
1507375235,4,4
1507380635,12,2
1507386635,6,3
1507392036,2,1
1507396835,3,2
1507401636,44,2
