DateTime,Entries,UniqueIPs
1507849321,1789,1838
1507849921,1792,1842
1507850522,1792,1842
1507851722,1795,1845
1507852922,1800,1850
1507854122,1784,1834
1507854722,1787,1837
1507855924,1785,1835
1507857721,1783,1831
1507858921,1781,1829
1507860122,1772,1820
1507861322,1774,1822
1507861922,1771,1819
1507862522,1775,1823
1507863721,1737,1785
1507864922,1725,1773
1507865521,1727,1775
1507866122,1735,1783
1507867321,1731,1779
1507868522,1715,1763
1507869121,1711,1759
1507869722,1712,1760
1507870322,1706,1754
1507870921,1697,1745
1507872121,1691,1739
1507872722,1691,1739
1507873322,1685,1733
1507874521,1685,1733
1507875722,1682,1730
1507876921,1686,1734
1507877521,1689,1737
1507878121,1688,1736
1507879322,1686,1736
1507879922,1689,1739
1507880522,1686,1736
1507881722,1683,1733
1507882322,1690,1740
1507883521,1698,1748
1507884122,1695,1745
1507885321,1686,1736
1507886522,1687,1737
1507887722,1693,1743
1507888922,1683,1733
1507890121,1684,1734
1507890721,1676,1726
1507891321,1678,1728
1507892522,1678,1728
1507893721,1674,1724
1507894322,1673,1723
1507894922,1672,1723
1507895522,1671,1722
1507896122,1681,1732
1507897321,1669,1720
1507897921,1670,1721
1507898522,1676,1726
1507899122,1677,1727
1507899721,1667,1717
1507900922,1662,1713
1507902121,1659,1710
1507902721,1613,1664
1507903321,1614,1665
1507903921,1608,1659
1507904522,1615,1666
1507905122,1621,1673
1507905722,1625,1677
1507906322,1608,1660
1507906921,1610,1662
1507908121,1615,1667
1507908721,1618,1670
1507910521,1624,1676
1507911722,1626,1678
1507912921,1622,1674
1507913521,1641,1695
1507914121,1642,1696
1507914722,1649,1703
1507915322,1653,1707
1507916522,1646,1700
1507917122,1649,1703
1507917722,1653,1707
1507918322,1651,1705
1507918922,1658,1712
1507920122,1656,1710
1507921322,1649,1703
1507921921,1652,1706
1507922522,1645,1699
1507923722,1649,1703
1507924922,1656,1710
1507925521,1638,1692
1507926122,1638,1692
1507926721,1649,1703
1507927322,1659,1713
1507928521,1658,1712
1507929722,1668,1722
1507930322,1676,1730
1507930922,1678,1732
1507932122,1677,1731
1507932722,1681,1735
1507933321,1685,1739
1507934521,1687,1741
1507935122,1690,1744
1507935722,1690,1744
1507936922,1684,1739
1507938122,1678,1733
1507938722,1682,1737
1507939322,1687,1742
1507939922,1688,1743
1507940522,1694,1749
1507941721,1681,1734
1507942922,1680,1733
1507943523,1682,1735
1507944722,1680,1735
1507945322,1678,1733
1507946521,1685,1740
1507947721,1685,1740
1507948322,1684,1739
1507948922,1686,1741
1507949522,1686,1741
1507950121,1687,1742
1507950722,1683,1738
1507951322,1675,1730
1507951922,1680,1735
1507952521,1678,1733
1507953122,1680,1735
1507953721,1682,1737
1507954322,1686,1741
1507954922,1685,1740
1507956122,1683,1738
1507956722,1680,1735
1507957322,1680,1735
1507958522,1681,1736
1507959721,1668,1723
1507960922,1669,1724
1507962121,1672,1727
1507963321,1649,1704
1507964522,1651,1706
1507965122,1652,1707
1507965721,1649,1704
1507966322,1641,1696
1507966923,1628,1682
1507968121,1625,1679
1507969321,1623,1676
1507970521,1617,1670
1507971121,1617,1670
1507972322,1606,1659
1507972921,1601,1656
1507973522,1602,1657
1507974122,1591,1645
1507975321,1591,1645
1507976522,1593,1647
1507977722,1598,1652
1507978321,1602,1657
1507978922,1609,1664
1507980122,1608,1663
1507981322,1607,1662
1507981922,1589,1644
1507982521,1589,1644
1507983122,1602,1658
1507983722,1603,1659
1507984321,1608,1665
1507984922,1604,1661
1507986122,1590,1647
1507987321,1593,1650
1507987922,1590,1646
1507988522,1600,1658
1507989121,1580,1635
1507989722,1581,1632
1507990322,1582,1633
1507990921,1587,1638
1507992122,1590,1641
1507993322,1584,1634
1507993921,1575,1625
1507994522,1581,1631
1507995722,1583,1634
1507996321,1587,1638
1507996921,1591,1644
1507998122,1589,1642
1507998722,1597,1651
1507999322,1609,1664
1508000522,1599,1656
1508001122,1601,1658
1508001722,1594,1651
1508002921,1603,1660
1508003522,1612,1669
1508004122,1611,1668
1508004721,1620,1677
1508005321,1625,1683
1508006522,1633,1697
1508007122,1661,1750
1508007722,1664,1752
1508008321,1678,1778
1508008921,1678,1780
1508009522,1683,1786
1508010121,1688,1791
1508011321,1690,1793
1508011922,1691,1797
1508012522,1699,1808
1508013121,1704,1817
1508013723,1703,1819
1508014321,1707,1823
1508014922,1707,1828
1508016122,1713,1835
1508017321,1708,1831
1508017922,1707,1841
1508018521,1715,1852
1508019121,1705,1845
1508019721,1700,1845
1508020925,1707,1852
1508021524,1713,1862
1508022122,1710,1861
1508023322,1705,1875
1508023921,1711,1881
1508024522,1714,1888
1508025122,1704,1878
1508025721,1697,1876
1508026322,1698,1877
1508026922,1703,1882
1508028122,1708,1887
1508028722,1722,1903
1508029321,1726,1907
1508029923,1728,1915
1508030521,1742,1930
1508031122,1737,1926
1508031721,1746,1937
1508032321,1745,1936
1508032922,1749,1948
1508033522,1761,1962
1508034122,1764,1966
1508035321,1767,1973
1508035922,1764,1974
1508036521,1759,1972
1508037122,1760,1973
1508037722,1788,2002
1508038321,1783,1998
1508038922,1791,2008
1508039521,1789,2008
1508040122,1786,2006
1508040721,1792,2017
1508041323,1790,2015
1508042522,1791,2016
1508043722,1790,2025
1508044922,1796,2033
1508045522,1801,2040
1508046121,1808,2049
1508047321,1798,2043
1508047922,1799,2048
1508048522,1805,2056
1508049721,1817,2067
1508050321,1818,2070
1508050922,1819,2071
1508051522,1824,2076
1508052121,1831,2083
1508052721,1833,2085
1508053322,1837,2089
1508054521,1850,2103
1508055722,1849,2102
1508056322,1852,2106
1508056921,1852,2111
1508057522,1860,2122
1508058121,1862,2125
1508058722,1869,2133
1508059322,1876,2143
1508059922,1878,2148
1508060522,1884,2154
1508061722,1901,2172
1508062922,1903,2179
1508064121,1900,2177
1508065322,1905,2180
1508066522,1915,2191
1508067121,1925,2204
1508067721,1930,2211
1508068321,1960,2245
1508068922,1972,2260
1508069522,1989,2277
1508070121,2033,2325
1508070722,2060,2355
1508071321,2099,2403
1508072521,2113,2418
1508073122,2137,2449
1508073722,2158,2480
1508074321,2184,2513
1508074922,2191,2525
1508076121,2190,2537
1508077321,2219,2576
1508077922,2225,2588
1508078521,2253,2620
1508079122,2271,2646
1508079722,2282,2666
1508080922,2284,2669
1508082121,2302,2692
1508082721,2321,2717
1508083921,2323,2720
1508084522,2350,2752
1508085121,2371,2780
1508085722,2383,2800
1508086322,2384,2813
1508086922,2401,2840
1508087522,2414,2860
1508088122,2418,2866
1508089322,2431,2888
1508090521,2450,2918
1508091122,2462,2940
1508091722,2455,2947
1508092922,2479,2982
1508093522,2493,2983
1508094122,2522,3028
1508095322,2541,3061
1508096522,2570,3103
1508097122,2590,3140
1508097722,2601,3160
1508098922,2612,3188
1508099522,2628,3216
1508100122,2638,3235
1508100722,2645,3257
1508101322,2663,3286
1508101922,2682,3316
1508102522,2695,3333
1508103122,2672,3322
1508103722,2675,3340
1508104321,2672,3337
1508104921,2679,3349
1508106121,2681,3364
1508106722,2680,3385
1508107321,2689,3402
1508107921,2691,3427
1508108521,2696,3435
1508109122,2706,3455
1508109722,2720,3477
1508110321,2726,3491
1508110922,2740,3514
1508111522,2746,3543
1508112122,2747,3554
1508112722,2740,3552
1508113322,2753,3577
1508113922,2752,3583
1508114522,2759,3612
1508115123,2752,3619
1508115723,2747,3624
1508116921,2742,3639
1508118121,2740,3647
1508118722,2741,3660
1508119322,2744,3681
1508119921,2750,3700
1508120522,2738,3711
1508121122,2746,3733
1508121722,2744,3737
1508122321,2755,3762
1508122921,2754,3769
1508123522,2753,3780
1508124122,2751,3798
1508124721,2731,3798
1508125321,2720,3808
1508126521,2704,3796
1508127722,2699,3795
1508128322,2693,3804
1508128922,2695,3822
1508130121,2676,3812
1508131322,2642,3792
1508132522,2640,3793
1508133122,2638,3805
1508134322,2629,3815
1508134921,2638,3840
1508135521,2614,3841
1508136122,2620,3856
1508136721,2613,3864
1508137321,2597,3871
1508138521,2595,3873
1508139122,2586,3872
1508139722,2574,3882
1508140922,2568,3896
1508141522,2557,3895
1508142122,2553,3894
1508143321,2549,3908
1508143921,2531,3901
1508144522,2537,3931
1508145722,2541,3914
1508146321,2535,3911
1508146921,2532,3916
1508149321,2507,3900
1508149921,2509,3914
1508150521,2509,3924
1508151722,2506,3921
1508152322,2504,3935
1508152922,2503,3952
1508153522,2496,3956
1508154122,2496,3966
1508155322,2481,3931
1508155922,2478,3940
1508156521,2477,3930
1508157121,2472,3943
1508157721,2470,3936
1508158321,2472,3950
1508158923,2473,3956
1508159521,2472,3972
1508160122,2489,3991
1508161321,2491,3992
1508161921,2489,3986
1508162522,2490,3989
1508163722,2496,4003
1508164922,2505,4008
1508166122,2505,3988
1508166722,2506,3996
1508167321,2512,4007
1508167921,2499,4010
1508168522,2495,4009
1508169721,2511,4016
1508170322,2525,4036
1508170922,2541,4043
1508171521,2538,4052
1508172122,2564,4053
1508172721,2566,4065
1508173322,2580,4063
1508174521,2581,4028
1508175722,2597,4055
1508176921,2594,4035
1508178121,2584,4048
1508178721,2575,4039
1508179322,2586,4040
1508179921,2586,4050
1508180522,2585,4062
1508181722,2596,4075
1508182321,2590,4079
1508182921,2599,4099
1508183522,2598,4101
1508184122,2610,4104
1508184722,2631,4114
1508185321,2634,4120
1508185921,2642,4145
1508186522,2649,4163
1508187721,2660,4146
1508188321,2652,4149
1508188921,2656,4149
1508189522,2652,4154
1508190122,2653,4169
1508190721,2649,4175
1508191321,2642,4183
1508191922,2660,4210
1508192522,2655,4225
1508193121,2660,4230
1508193721,2669,4237
1508194322,2675,4226
1508194922,2677,4242
1508195522,2676,4228
1508196121,2661,4216
1508196722,2643,4222
1508197321,2640,4246
1508197922,2646,4242
1508198522,2664,4257
1508199121,2665,4267
1508199721,2668,4276
1508200922,2690,4253
1508201522,2698,4244
1508202123,2681,4249
1508202722,2687,4266
1508203323,2702,4275
1508203922,2692,4291
1508204522,2701,4299
1508205122,2706,4312
1508205721,2711,4324
1508206322,2728,4327
1508206921,2726,4304
1508208122,2732,4309
1508208722,2712,4270
1508209321,2709,4270
1508209921,2722,4265
1508210521,2737,4285
