DateTime,AddedIPs,RemovedIPs
1507804922,0,3
1507806122,1,0
1507807322,6,0
1507808522,4,1
1507809722,8,3
1507810922,0,5
1507811521,0,1
1507812721,3,0
1507813322,3,2
1507814521,10,8
1507815722,11,0
1507816322,2,1
1507816921,2,1
1507817521,5,0
1507818122,11,0
1507818721,5,2
1507819321,5,0
1507820522,5,0
1507821121,1,0
1507821722,5,0
1507822921,0,2
1507823522,2,0
1507824722,1,1
1507825321,2,0
1507825922,1,0
1507826522,3,1
1507827721,2,1
1507828322,1,0
1507828922,10,4
1507830121,3,0
1507831322,0,11
1507831921,2,0
1507832522,0,3
1507833722,4,7
1507834922,2,0
1507835522,4,0
1507836721,1,0
1507837321,2,1
1507838521,6,0
1507839121,0,4
1507839722,0,2
1507840322,1,0
1507840922,1,0
1507842121,1,7
1507843322,1,1
1507844522,2,1
1507845721,0,3
1507846921,3,3
1507847521,1,0
1507849921,2,0
1507850522,4,2
1507851722,0,1
1507852922,2,8
1507854122,0,2
1507855321,0,7
1507855924,1,0
1507857721,0,3
1507860122,0,1
1507861322,0,4
1507863721,0,2
1507865521,0,2
1507866122,2,0
1507867321,0,1
1507869722,0,2
1507870921,0,6
1507872121,1,1
1507872722,1,0
1507873322,1,0
1507874521,0,7
1507876921,3,1
1507879322,0,5
1507879922,0,1
1507882322,2,3
1507883521,2,1
1507884122,0,6
1507885321,2,0
1507887722,2,0
1507888922,0,1
1507890121,1,0
1507890721,0,1
1507892522,1,1
1507893721,0,7
1507894922,3,0
1507895522,1,1
1507896122,3,3
1507897321,2,0
1507897921,1,3
1507898522,4,0
1507899721,1,1
1507900922,0,1
1507902121,3,0
1507902721,1,0
1507903321,1,0
1507903921,1,3
1507904522,1,0
1507905122,3,2
1507905722,2,3
1507906322,1,0
1507906921,1,1
1507908121,2,0
1507908721,1,0
1507910521,3,1
1507911722,1,0
1507912921,2,3
1507913521,3,0
1507914121,1,1
1507914722,3,0
1507918922,3,4
1507920122,0,1
1507921322,1,9
1507921921,1,0
1507922522,3,0
1507923722,3,4
1507925521,2,0
1507926122,1,0
1507926721,1,0
1507927322,5,1
1507928521,0,1
1507929722,7,0
1507930322,1,0
1507930922,0,2
1507932122,1,1
1507933321,2,0
1507934521,2,0
1507935722,2,0
1507936922,1,1
1507938122,1,1
1507938722,1,1
1507939322,2,8
1507940522,2,0
1507941721,1,4
1507942922,0,4
1507943523,1,0
1507944722,0,6
1507946521,1,1
1507947721,0,1
1507948322,1,0
1507949522,0,3
1507950121,0,1
1507951322,0,5
1507951922,2,0
1507953122,0,1
1507953721,0,2
1507954322,2,2
1507954922,1,0
1507958522,0,3
1507963321,0,1
1507963921,0,1
1507964522,1,0
1507965721,0,2
1507966322,1,1
1507969321,0,1
1507970521,0,4
1507971121,2,8
1507972322,1,0
1507972921,0,1
1507975921,0,1
1507976522,0,5
1507977722,3,4
1507978321,5,1
1507978922,2,7
1507979522,0,2
1507981322,3,1
1507981922,0,2
1507982521,1,0
1507983122,5,2
1507983722,0,1
1507984321,4,3
1507984922,0,4
1507986122,1,2
1507987321,3,0
1507987922,0,3
1507988522,4,0
1507989121,0,1
1507989722,3,2
1507990322,2,0
1507990921,1,0
1507992122,3,2
1507993322,4,0
1507993921,2,13
1507995722,5,2
1507996321,1,0
1507996921,2,1
1507998122,1,0
1507998722,2,0
1507999322,6,0
1508000522,1,0
1508001122,2,0
1508002921,1,0
1508003522,3,0
1508004721,4,0
1508006522,42,1
1508007122,51,0
1508007722,2,5
1508008321,23,0
1508008921,1,0
1508009522,6,5
1508010121,1,0
1508011321,5,1
1508011922,2,0
1508012522,11,0
1508013121,7,1
1508013723,3,0
1508014922,3,0
1508016122,2,0
1508017321,9,3
1508017922,7,0
1508018521,5,0
1508019121,4,3
1508019721,3,0
1508020925,4,0
1508021524,10,0
1508022122,2,0
1508023322,22,0
1508023921,3,1
1508024522,7,0
1508025721,6,0
1508026322,1,2
1508026922,2,0
1508028122,4,3
1508028722,12,0
1508029321,3,0
1508029923,9,0
1508030521,10,5
1508031122,3,0
1508031721,9,0
1508032922,22,0
1508033522,13,0
1508034122,3,0
1508035321,6,1
1508035922,4,0
1508036521,3,0
1508037122,3,1
1508037722,25,3
1508038321,4,1
1508038922,4,1
1508039521,2,0
1508040122,2,1
1508040721,6,0
1508042522,0,7
1508043722,14,15
1508044922,12,1
