DateTime,AddedIPs,RemovedIPs
1507858921,79,79
1507860122,77,77
1507861322,78,78
1507861922,80,80
1507862522,80,80
1507863721,55,55
1507864922,77,77
1507865521,80,80
1507866122,78,78
1507867321,69,69
1507868522,80,80
1507869121,80,80
1507869722,80,80
1507870322,80,80
1507870921,77,77
1507872121,65,65
1507872722,80,80
1507873322,80,80
1507874521,80,80
1507875722,64,64
1507876921,79,79
1507877521,80,80
1507878121,80,80
1507879322,80,80
1507879922,80,80
1507880522,80,80
1507881722,80,80
1507882322,80,80
1507882921,80,80
1507883521,71,71
1507884122,72,72
1507885321,37,37
1507886522,80,80
1507887722,79,79
1507888922,56,56
1507890121,80,80
1507890721,80,80
1507891321,76,76
1507892522,80,80
1507893721,76,76
1507894322,79,79
1507894922,80,80
1507895522,80,80
1507896122,80,80
1507897321,62,62
1507897921,79,79
1507898522,80,80
1507899122,80,80
1507899721,80,80
1507900922,79,79
1507902121,79,79
1507902721,79,79
1507903321,80,80
1507903921,80,80
1507904522,80,80
1507905122,80,80
1507905722,80,80
1507906322,80,80
1507906921,79,79
1507908121,80,80
1507908721,79,79
1507910521,76,76
1507911722,80,80
1507912921,77,77
1507913521,80,80
1507914121,79,79
1507914722,71,71
1507915322,80,80
1507916522,65,65
1507917122,36,36
1507917722,16,16
1507918322,80,80
1507918922,80,80
1507920122,80,80
1507921322,73,73
1507921921,80,80
1507922522,80,80
1507923722,80,80
1507924922,78,78
1507925521,80,80
1507926122,39,39
1507926721,77,77
1507927322,80,80
1507928521,73,73
1507929121,13,13
1507929722,80,80
1507930322,80,80
1507930922,80,80
1507932122,80,80
1507932722,80,80
1507933321,80,80
1507934521,77,77
1507935122,74,74
1507935722,80,80
1507936922,70,70
1507938122,80,80
1507938722,80,80
1507939322,80,80
1507939922,80,80
1507940522,79,79
1507941721,80,80
1507942922,78,78
1507943523,78,78
1507944722,80,80
1507945322,80,80
1507946521,80,80
1507947721,80,80
1507948322,75,75
1507948922,79,79
1507949522,80,80
1507950121,80,80
1507950722,70,70
1507951322,78,78
1507951922,80,80
1507952521,80,80
1507953122,80,80
1507953721,63,63
1507954322,80,80
1507954922,80,80
1507956122,55,55
1507956722,80,80
1507957322,80,80
1507958522,80,80
1507959721,30,30
1507960922,80,80
1507961522,74,74
1507962121,80,80
1507963321,43,43
1507963921,71,71
1507964522,75,75
1507965122,76,76
1507965721,80,80
