DateTime,AddedIPs,RemovedIPs
1507776122,1,7
1507777321,3,6
1507778521,6,0
1507779122,5,4
1507779723,22,1
1507780322,24,7
1507780922,5,2
1507781522,9,0
1507782121,2,9
1507782721,1,0
1507783322,7,0
1507784522,0,6
1507785721,8,10
1507786921,5,9
1507788122,4,3
1507789322,2,3
1507790522,6,3
1507791122,2,3
1507791722,1,0
1507792922,20,0
1507794122,3,3
1507795322,3,4
1507796522,9,1
1507797121,11,8
1507797721,0,10
1507798921,1,0
1507800122,5,8
1507800721,0,6
1507801322,1,0
1507802521,15,10
1507803121,1,2
1507803721,3,0
1507804922,0,2
1507805522,0,8
1507806122,11,1
1507807322,17,1
1507807921,1,5
1507808521,3,0
1507809122,1,0
1507810921,3,7
1507812721,4,3
1507814521,1,2
1507815722,2,0
1507816921,0,5
1507818122,5,0
1507819321,4,6
1507820522,1,0
1507821722,4,2
1507822921,15,5
1507824722,1,7
1507825321,10,1
1507825922,3,0
1507826522,1,0
1507827721,3,4
1507828922,8,12
1507830121,7,8
1507831322,5,0
1507832522,3,5
1507833722,2,15
1507834321,2,2
1507834922,0,5
1507836121,0,3
1507836721,0,5
1507837321,1,0
1507838521,9,4
1507839121,1,0
1507839722,5,0
1507840321,0,3
1507840922,1,0
1507842121,7,7
1507843322,4,9
1507844521,5,1
1507845721,2,12
1507847521,2,2
1507848121,1,3
1507848722,5,0
1507849321,4,7
1507849921,1,0
1507850522,6,0
1507851722,11,0
1507852321,6,1
1507852922,4,0
1507853522,4,7
1507854122,2,4
1507855321,8,0
1507856522,7,5
1507857122,9,8
1507857721,7,0
1507858921,3,2
1507860122,5,19
1507861322,1,5
1507862521,2,1
1507863721,0,8
1507865521,6,1
1507866122,1,1
1507867321,2,3
1507868522,0,9
1507869721,3,5
1507870322,22,3
1507870921,2,0
1507872121,2,6
1507872722,1,3
1507873322,1,0
1507874521,1,0
1507875121,7,0
1507875722,2,2
1507876322,2,0
1507876921,2,0
1507879322,1,4
1507881722,0,1
1507882322,4,0
1507882921,5,3
1507883521,1,5
1507884122,1,0
1507885321,1,3
1507886522,3,5
1507887722,5,0
1507888921,23,4
1507889522,2,2
1507891321,0,5
1507892522,4,11
1507893721,1,5
1507895522,2,4
1507896122,1,0
1507897321,0,7
1507898522,8,1
1507899122,14,8
1507899721,2,0
1507900321,2,5
1507900922,2,3
1507902121,2,0
1507902721,2,2
1507903321,0,6
1507903921,0,2
1507904522,0,4
1507905122,4,1
1507905722,0,11
1507906921,2,3
1507908121,0,2
1507908721,3,8
1507910521,9,3
1507911722,15,0
1507912322,15,1
1507912921,4,5
1507914121,0,1
1507916522,2,6
1507917122,1,0
1507917722,0,4
1507918922,8,0
1507920121,0,3
1507921322,4,10
1507922521,4,3
1507923722,1,4
1507924321,1,0
1507925521,1,2
1507926121,2,4
1507927322,4,1
1507928521,1,8
1507929721,1,4
1507930322,1,0
1507930922,1,0
1507931521,0,11
1507932121,0,7
1507932721,8,0
1507933321,3,0
1507933922,2,1
1507934521,1,0
1507935722,5,8
1507936922,2,0
1507938122,3,10
1507938721,0,2
1507939322,1,7
1507939922,4,0
1507940522,3,0
1507941721,3,18
1507942922,6,7
1507944122,4,11
1507945322,0,13
1507947122,2,3
1507947721,0,5
1507948322,23,0
1507948921,12,1
1507949522,1,4
1507950722,2,6
1507951922,0,1
1507952521,0,7
1507953121,6,0
1507953721,4,4
1507954322,2,2
1507954922,0,4
1507956722,1,2
1507957322,0,3
1507958521,3,1
1507959721,2,2
1507960922,2,0
1507962121,26,5
1507963321,6,4
1507964522,2,11
1507965721,0,4
1507966923,17,0
1507967521,6,0
1507968121,4,1
1507968722,1,1
1507969321,1,0
1507970521,6,4
1507971121,0,6
1507971722,3,0
1507972322,7,2
1507973522,0,3
1507974122,1,0
1507975321,7,4
1507975921,0,1
1507976522,1,2
1507977722,1,1
1507978321,0,2
1507979522,3,8
1507980122,1,0
1507981321,2,0
1507982521,2,3
1507983722,1,8
1507984321,3,1
1507984922,0,2
1507985521,0,5
1507986122,2,2
1507986722,3,0
1507987321,0,1
1507988522,0,1
1507989722,1,0
1507990322,0,1
1507990921,0,2
1507993322,1,5
1507994522,17,0
1507995722,6,9
1507996921,0,3
1507998122,1,6
1507998722,2,2
1508000521,1,4
1508001722,8,3
1508002921,10,0
1508003522,1,1
1508004122,1,0
1508004721,0,2
1508006522,0,6
1508007722,1,5
1508008321,0,1
1508008921,1,0
1508009522,10,1
1508010121,1,7
1508010722,1,0
1508011321,0,1
1508011922,2,0
1508012522,1,7
1508013121,1,4
1508013723,34,0
1508014321,5,6
1508014922,1,1
1508016121,3,1
1508017321,2,8
1508017922,1,9
1508018521,1,0
1508019121,1,3
1508019721,4,0
1508020322,0,1
1508020925,0,3
1508021524,14,10
1508022721,2,1
1508023322,0,21
1508024522,1,0
1508025721,11,11
1508026322,18,0
1508026922,8,0
1508027522,3,5
1508028122,1,3
1508029321,2,0
1508029922,2,8
1508030521,1,6
1508031122,15,3
1508031721,3,0
1508032922,6,25
1508034122,2,0
1508034721,2,2
1508036521,11,4
1508037122,4,2
1508037722,2,0
1508038321,0,1
1508038922,0,3
1508040122,2,1
1508040721,0,1
1508041323,0,4
1508043122,0,1
1508044322,2,0
1508044922,0,5
1508045522,0,1
1508046121,15,3
1508046721,4,0
1508047321,1,0
1508047922,1,5
1508048522,1,3
1508049122,3,0
1508049721,2,0
1508050321,2,0
1508050922,1,7
1508051522,32,0
1508052121,9,0
1508053322,9,4
1508054521,1,8
1508055722,2,9
1508056322,0,7
1508056921,0,7
1508058121,12,0
1508058722,3,0
1508059322,2,2
1508059922,2,2
1508060522,0,2
1508061122,0,1
1508062922,0,6
1508064121,2,6
1508065322,11,0
1508066522,10,1
1508067121,2,0
1508067721,0,2
1508068922,2,6
1508069522,1,0
1508070121,1,1
1508072521,24,7
1508073122,0,1
1508073722,1,5
1508074321,2,0
1508077321,1,3
1508079722,10,4
1508080922,2,3
1508082121,2,0
1508083921,2,6
1508084522,1,0
1508085722,0,4
1508086322,3,3
1508086922,13,6
1508088122,5,2
1508089322,1,8
1508091122,3,5
1508091721,1,0
1508092922,1,4
1508093522,3,5
1508094122,1,0
1508095322,7,1
1508096522,2,2
1508097722,0,11
1508098922,2,5
1508100122,1,11
1508100722,0,13
1508101322,0,1
1508102522,2,3
1508103722,2,3
1508104321,2,4
1508104921,4,12
1508106121,2,0
1508106722,7,7
1508107321,2,0
1508107921,0,7
1508108521,0,7
1508109722,1,0
1508110321,0,16
1508110922,1,0
1508111522,1,0
