DateTime,AddedIPs,RemovedIPs
1506429985,104,0
1506433586,109,0
1506437186,112,0
1506440786,70,0
1506444386,78,0
1506447986,62,0
1506451586,95,0
1506455186,72,0
1506458786,84,0
1506462385,68,0
1506465986,66,0
1506469586,58,0
1506473186,85,2764
1506476786,88,0
1506480386,92,0
1506483986,81,0
1506487586,99,0
1506491186,135,0
1506494786,121,0
1506498386,163,0
1506501986,278,0
1506505586,296,0
1506509186,384,0
1506513687,337,0
1506517286,303,0
1506520886,170,0
1506524487,264,0
1506528086,252,0
1506531687,104,0
1506535286,76,0
1506538887,96,0
1506542486,94,0
1506546086,89,0
1506549687,86,0
1506553287,77,0
1506556886,67,2612
1506560486,79,0
1506564087,88,0
1506567687,66,0
1506571287,78,0
1506574886,102,0
1506578487,171,0
1506582087,493,0
1506585687,497,0
1506589287,378,0
1506592886,107,0
1506596487,166,0
1506600087,222,0
1506603687,95,0
1506607287,129,0
1506610887,113,0
1506614487,114,0
1506618087,80,0
1506621686,83,0
1506625287,75,0
1506628886,75,0
1506632487,76,0
1506636087,78,0
1506639687,78,0
1506643287,77,3617
1506646887,62,0
1506650487,113,0
1506654086,175,0
1506657687,102,0
1506661287,79,0
1506664887,141,0
1506668486,160,0
1506672087,198,0
1506675687,111,0
1506679287,129,0
1506682887,154,0
1506686487,117,0
1506690087,139,0
1506693687,153,0
1506697287,125,0
1506700887,207,0
1506704487,116,0
1506708087,105,0
1506711687,161,0
1506715287,110,0
1506718888,90,0
1506722487,74,0
1506726088,92,0
1506729687,86,3624
1506733287,99,0
1506736887,211,0
1506740487,110,0
1506744087,173,0
1506747687,122,0
1506751287,121,0
1506754888,107,0
1506758487,103,0
1506762088,118,0
1506765687,424,0
1506769287,272,0
1506772887,161,0
1506776487,480,0
1506780088,426,0
1506783687,291,0
1506787287,311,0
1506790888,125,0
1506794488,69,0
1506798088,104,0
1506801687,153,0
1506805287,78,0
1506809788,117,0
1506813387,86,0
1506816987,71,3079
1506820588,74,0
1506824188,84,0
1506827787,89,0
1506831388,73,0
1506834988,63,0
1506838587,78,0
1506842187,98,0
1506845787,68,0
1506849387,101,0
1506852988,78,0
1506856587,71,0
1506860188,96,0
1506863787,103,0
1506867388,101,0
1506870988,132,0
1506874588,108,0
1506878187,82,0
1506881787,82,0
1506885387,108,0
1506888988,69,0
1506892587,68,0
1506896187,60,0
1506899788,95,0
1506903387,58,4359
1506906988,81,0
1506910588,114,0
1506914187,238,0
1506917788,131,0
1506921387,73,0
1506924988,107,0
1506928588,113,0
1506932188,145,0
1506935788,187,0
1506939388,119,0
1506942988,99,0
1506946588,145,0
1506950188,88,0
1506953787,144,0
1506957388,218,0
1506960987,88,0
1506964588,82,0
1506968188,66,0
1506971788,146,0
1506975388,198,0
1506978988,74,0
1506982588,85,0
1506986188,85,0
1506989788,74,2090
1506993388,97,0
1506996988,76,0
1507000588,84,0
1507004188,56,0
1507007788,183,0
1507011388,104,0
1507014988,119,0
1507018588,118,0
1507022189,191,0
1507025788,143,0
1507029388,101,0
1507032988,120,0
1507036588,111,0
1507040188,108,0
1507043788,120,0
1507047388,149,0
1507050989,132,0
1507054588,57,0
1507058188,95,0
