DateTime,Entries,UniqueIPs
1506061040,3937,3937
1506068244,3935,3935
1506075440,3928,3928
1506079045,3929,3929
1506081773,3928,3928
1506082640,3922,3922
1506089836,3922,3922
1506090736,3921,3921
1506093433,3922,3922
1506097039,3922,3922
1506103369,3921,3921
1506104240,3930,3930
1506108734,3929,3929
1506111434,3924,3924
1506118635,3926,3926
1506121368,3925,3925
1506125837,3927,3927
1506133038,3923,3923
1506133942,3922,3922
1506140261,3920,3920
1506145646,3921,3921
1506147438,3926,3926
1506154633,3927,3927
1506161831,3927,3927
1506169043,3928,3928
1506174434,3927,3927
1506176244,3926,3926
1506183441,3923,3923
1506190640,3924,3924
1506193367,3923,3923
1506197836,3924,3924
1506205037,3922,3922
1506212249,3922,3922
1506219437,3918,3918
1506226667,3917,3917
1506233839,3914,3914
1506241038,3910,3910
1506248234,3908,3908
1506251834,3909,3909
1506255443,3909,3909
1506262636,3912,3912
1506267140,3913,3913
1506269834,3911,3911
1506277032,3914,3914
1506284239,3912,3912
1506291435,3911,3911
1506298634,3916,3916
1506305833,3907,3907
1506313060,3908,3908
1506313934,3907,3907
1506320233,3908,3908
1506327433,3907,3907
1506334632,3903,3903
1506341832,3909,3909
1506349936,3911,3911
1506356232,3912,3912
1506363429,3913,3913
1506370630,3911,3911
1506377832,3913,3913
1506385029,3915,3915
1506392235,3913,3913
1506399456,3912,3912
1506406625,3912,3912
1506413830,3909,3909
1506421029,3912,3912
1506428234,3912,3912
1506431833,3911,3911
1506436340,3916,3916
1506439032,3917,3917
1506442629,3917,3917
1506444445,5107,5107
1506449841,3953,3953
1506453443,3955,3955
1506457045,3959,3959
1506460643,3961,3961
1506464243,3961,3961
1506471448,3964,3964
1506478644,3957,3957
1506482247,3956,3956
1506484977,3957,3957
1506485871,3959,3959
1506489446,3960,3960
1506493045,3956,3956
1506496650,3957,3957
1506500247,3962,3962
1506507442,3959,3959
1506514646,3962,3962
1506518246,3965,3965
1506521847,3963,3963
1506522746,3962,3962
1506525445,3964,3964
1506529049,3963,3963
1506530843,3962,3962
1506533543,3961,3961
1506536244,3961,3961
1506537144,3959,3959
1506539847,3961,3961
1506543447,3964,3964
1506544346,3963,3963
1506547039,3964,3964
1506550642,3965,3965
1506554237,3967,3967
1506557844,3969,3969
1506561442,3975,3975
1506565047,3972,3972
1506572267,3971,3971
1506579446,3970,3970
1506583044,3971,3971
1506586652,3975,3975
1506590246,3976,3976
1506592975,3977,3977
1506593842,3979,3979
1506601047,3977,3977
1506604650,3978,3978
1506608251,3976,3976
1506611839,3977,3977
1506615440,3977,3977
