DateTime,Entries,UniqueIPs
1506135739,1731,1818
1506139339,1730,1818
1506142938,1728,1816
1506146600,1727,1815
1506150200,1728,1816
1506153739,1727,1815
1506157339,1723,1811
1506160939,1725,1813
1506164539,1727,1814
1506171800,1723,1810
1506175339,1722,1809
1506182600,1723,1810
1506186141,1721,1808
1506189800,1722,1809
1506193402,1722,1809
1506196940,1721,1808
1506200601,1720,1807
1506204202,1721,1808
1506207801,1720,1807
1506211401,1719,1806
1506218602,1717,1804
1506222203,1717,1804
1506229341,1719,1806
1506232941,1719,1806
1506236542,1720,1807
1506243742,1719,1806
1506247401,1718,1805
1506251001,1716,1803
1506254541,1714,1801
1506258141,1715,1802
1506261742,1714,1801
1506265341,1715,1802
1506268942,1716,1803
1506272542,1718,1805
1506276202,1717,1804
1506279742,1717,1804
1506283402,1719,1806
1506286943,1720,1807
1506290542,1718,1805
1506294142,1721,1808
1506297742,1719,1806
1506305002,1717,1804
1506308542,1721,1808
1506312204,1721,1807
1506315743,1722,1809
1506319343,1720,1806
1506322943,1722,1808
1506326603,1725,1811
1506330203,1725,1812
1506330782,1724,1811
1506337403,1727,1814
1506340943,1725,1812
1506344604,1726,1813
1506348203,1725,1813
1506355344,1725,1813
1506359004,1721,1809
1506362544,1722,1810
1506366145,1720,1808
1506369805,1720,1808
1506373404,1720,1808
1506377004,1722,1810
1506380545,1721,1809
1506394944,1714,1802
1506398604,1713,1801
1506402144,1714,1802
1506405745,1716,1805
1506409404,1718,1807
1506412945,1718,1807
1506416604,1718,1807
1506420145,1720,1809
1506423804,1720,1809
1506427405,1721,1810
1506431005,1723,1812
1506434544,1724,1813
1506438205,1724,1813
1506441805,1726,1815
1506445405,1726,1815
1506452605,1725,1814
1506456205,1727,1816
1506463405,1726,1815
1506467005,1728,1817
1506470546,1729,1818
1506474145,1728,1817
1506477805,1728,1817
1506481405,1727,1816
1506484945,1725,1814
1506488545,1726,1815
1506492145,1726,1815
1506495746,1727,1816
1506499406,1729,1818
1506506605,1727,1816
1506510146,1727,1818
1506513805,1728,1819
1506517345,1725,1816
1506521006,1724,1815
1506524546,1726,1817
1506528147,1725,1816
1506531746,1726,1817
1506535346,1725,1816
1506539006,1726,1817
1506542607,1726,1817
1506546206,1725,1816
1506549747,1725,1816
1506553406,1724,1815
1506557006,1723,1814
1506564146,1720,1811
1506567806,1721,1812
1506571407,1724,1815
1506574946,1721,1812
1506578547,1723,1814
1506582206,1723,1815
1506585747,1724,1817
1506589346,1721,1814
1506593006,1722,1815
1506603748,1717,1810
1506607407,1718,1811
1506611009,1719,1812
1506614547,1718,1811
1506621748,1719,1812
1506625409,1718,1811
1506629007,1721,1814
1506632547,1719,1812
1506639807,1720,1813
1506643348,1724,1817
1506647008,1723,1816
1506654208,1720,1813
1506657808,1719,1812
