DateTime,AddedIPs,RemovedIPs
1506380545,1,1
1506384204,0,3
1506387804,0,3
1506391405,1,2
1506394944,2,2
1506398604,1,1
1506402144,1,2
1506405745,3,1
1506409404,3,4
1506412945,1,1
1506416604,2,1
1506420145,2,1
1506423804,4,1
1506427405,2,1
1506431005,3,3
1506434544,1,0
1506438205,3,2
1506441805,3,5
1506445405,5,3
1506448945,0,1
1506452605,1,3
1506456205,2,2
1506459805,1,7
1506463405,4,5
1506467005,2,2
1506470546,2,1
1506477805,2,2
1506481405,1,5
1506484945,1,0
1506488545,1,0
1506492145,1,1
1506495746,2,3
1506499406,2,0
1506502946,1,0
1506506605,1,2
1506510146,4,1
1506513805,1,2
1506517345,1,0
1506521006,0,3
1506524546,2,1
1506528147,2,2
1506531746,2,4
1506535346,4,0
1506539006,1,3
1506542607,5,2
1506546206,2,0
1506549747,1,0
1506553406,0,1
1506557006,0,2
1506560606,1,2
1506564146,3,0
1506567806,1,2
1506571407,3,3
1506574946,0,1
1506578547,2,4
1506582206,4,1
1506585747,2,0
1506593006,2,5
1506596607,2,0
1506600207,0,3
1506603748,1,1
1506607407,1,2
1506611009,2,2
1506614547,1,0
1506618207,3,0
1506621748,3,3
1506625409,1,3
1506629007,6,0
1506636207,0,1
1506639807,2,3
1506643348,4,3
1506647008,2,3
1506650607,0,4
1506654208,2,3
1506661348,1,2
1506664948,2,1
1506668533,3,3
1506672194,4,3
1506675733,3,3
1506679393,1,2
1506682934,1,3
1506686594,1,1
1506690194,1,0
1506693793,0,1
1506697394,4,1
1506700994,3,6
1506708194,0,4
1506711794,2,2
1506715394,4,6
1506718994,4,45
1506722594,5,4
1506726194,1,6
1506729794,0,2
1506733334,2,1
1506736936,0,2
1506740595,2,4
1506744195,1,3
1506747795,1,2
1506751394,2,7
1506754935,2,3
1506758594,2,4
1506762195,0,1
1506765794,1,2
1506769394,0,1
1506772995,0,1
1506776595,2,2
1506780135,1,0
1506783795,1,1
1506787335,4,0
1506790995,2,2
1506794595,4,2
1506798195,1,1
1506801735,2,1
1506805395,0,2
1506808996,50,1
1506812535,2,2
1506816196,4,1
1506819736,1,0
1506823396,8,2
1506826995,2,1
1506830536,1,0
1506834196,4,3
1506837796,7,1
1506841396,2,3
1506844996,2,1
1506848596,1,1
1506852196,4,1
1506859397,3,2
1506862997,1,0
1506866596,2,3
1506870196,3,3
1506873796,3,1
1506877337,1,1
1506880997,2,3
1506884596,0,1
1506888137,3,1
1506891796,1,2
1506895337,2,1
1506898936,2,3
1506902596,1,0
1506909736,2,2
1506913397,1,0
1506916997,6,1
1506920597,3,2
1506924197,1,3
1506927797,4,5
1506931397,1,2
1506934997,5,4
1506938537,1,1
1506942197,1,1
1506949397,0,1
1506952997,1,3
1506956597,5,1
1506960137,4,1
1506963737,5,3
1506967397,0,4
1506970937,2,0
1506974597,5,4
1506978197,0,3
1506981737,7,4
1506985337,3,3
1506988937,2,1
1506992538,0,4
1506996198,1,2
1506999798,4,3
1507003398,6,2
1507006998,1,2
1507010598,1,3
1507014198,1,2
1507017798,3,2
1507021398,2,2
1507024938,1,3
1507028598,9,1
1507032138,4,3
1507035738,1,0
1507039398,4,2
1507042998,2,2
1507046598,3,1
1507050198,3,1
1507053738,2,1
1507057338,4,4
1507060998,0,2
1507064598,6,2
1507068198,3,2
1507071798,3,1
1507075345,1,1
1507078945,4,2
1507082605,2,2
1507086205,1,3
1507089805,1,1
1507093405,1,2
1507096945,3,2
1507100612,2,6
1507104212,3,2
1507107812,1,1
1507111412,2,5
1507115012,4,1
1507118552,5,2
1507122152,0,3
1507125812,2,3
1507129412,3,1
1507133012,1,1
1507136612,1,2
1507140152,0,1
1507143752,0,1
1507147412,5,4
1507151012,1,2
1507154612,3,2
1507158213,1,0
1507161753,1,1
1507165353,0,1
1507169013,0,1
1507172613,1,1
1507176153,0,2
1507179753,2,2
1507183413,3,6
1507187013,1,2
1507190613,2,2
1507194213,1,1
1507197813,1,6
1507201413,2,5
1507205013,4,3
1507208553,2,3
1507212153,1,0
1507215813,5,4
1507219413,4,1
1507222953,1,1
1507226613,2,1
1507230213,0,2
1507233754,2,1
1507237414,0,2
1507240954,3,2
1507244554,3,2
1507248154,2,2
1507251754,4,0
1507255354,2,1
1507258954,3,1
1507262554,2,2
1507266154,2,0
1507269814,3,2
1507273414,2,2
1507277014,2,5
1507280554,2,0
1507284154,1,0
1507287814,0,4
1507291414,1,1
1507295014,0,1
1507298554,1,0
1507302154,1,0
1507305814,3,3
1507309354,1,0
1507313014,4,4
1507316614,1,0
1507323815,2,1
1507327415,3,2
1507331015,1,0
1507334555,1,2
1507338215,1,2
1507341755,3,1
1507345355,3,3
1507348955,0,1
1507352555,0,3
1507356215,0,4
1507359755,6,5
1507363355,3,3
1507367015,1,6
1507370555,2,1
1507374215,0,1
1507377755,3,2
1507381415,1,2
1507384955,3,4
1507388615,2,4
1507395815,3,3
1507403015,2,1
1507406556,1,1
