DateTime,AddedIPs,RemovedIPs
1506059808,1,3
1506063675,11,13
1506067530,16,21
1506071331,1,2
1506075176,2,1
1506079000,4,4
1506082871,3,0
1506086702,2,7
1506090535,11,16
1506094462,5,16
1506098307,2,6
1506102216,5,9
1506106113,9,4
1506109954,7,12
1506113799,9,13
1506117650,13,13
1506121554,10,19
1506125350,9,17
1506129188,11,17
1506133009,10,9
1506136872,8,5
1506140723,2,2
1506144543,7,5
1506148403,8,10
1506152478,7,12
1506156319,11,10
1506160128,6,2
1506163987,15,8
1506167818,12,5
1506171669,12,10
1506175753,14,6
1506179585,15,17
1506183431,12,13
1506187263,10,6
1506191120,8,10
1506194958,13,16
1506198788,2,4
1506202611,3,6
1506206438,14,9
1506210282,23,10
1506214364,37,28
1506218181,32,23
1506222045,1,2
1506225878,18,8
1506229714,69,28
1506233593,2,4
1506237697,2,4
1506245355,5,6
1506249198,11,3
1506253046,13,13
1506256901,8,7
1506264552,19,18
1506272252,28,20
1506276092,1,3
1506280231,3,15
1506283983,0,1
1506287848,1,3
1506291868,1,1
1506295728,1,0
1506299555,2,1
1506303431,10,7
1506307230,13,11
1506311071,17,16
1506314932,7,5
1506318756,12,11
1506322608,10,7
1506330302,16,23
1506334138,12,12
1506337954,11,15
1506341786,2,1
1506345636,2,8
1506350036,1,2
1506354039,14,12
1506357901,23,7
1506361733,11,18
1506365562,12,7
1506369429,10,7
1506373250,11,6
1506377081,6,3
1506388595,12,11
1506392442,19,10
1506396291,18,19
1506400141,21,25
1506403966,18,17
1506407806,3,3
1506411646,3,11
1506415478,8,15
1506419328,14,24
1506423155,16,15
1506427023,32,23
1506430853,33,36
1506434747,28,37
1506438531,16,21
1506442378,32,35
1506446227,18,17
1506450324,13,13
1506454120,15,20
1506457987,18,7
1506461944,7,4
1506465657,20,14
1506469521,10,6
1506473362,29,20
1506477191,17,18
1506481049,13,11
1506484904,28,23
1506488708,25,19
1506492538,7,18
1506496392,15,20
1506500214,5,10
1506504037,19,25
1506507898,10,18
1506511721,22,20
1506515566,25,15
1506519395,36,29
1506523243,29,17
1506527071,23,22
1506530940,30,33
1506534761,18,18
1506538611,1,1
1506546287,7,8
1506550134,6,3
1506553973,5,2
1506557794,6,6
1506561667,6,5
1506565719,10,10
1506569615,12,8
1506573415,7,3
1506577265,6,4
1506581081,4,6
1506588767,19,8
1506592986,6,3
1506596933,12,7
1506600777,15,10
1506604606,44,23
1506608469,16,14
