DateTime,AddedIPs,RemovedIPs
1506082882,15,6
1506086722,8,41
1506090548,8,6
1506094473,16,15
1506098324,17,34
1506102226,17,5
1506106128,71,22
1506109975,37,15
1506113810,26,10
1506117669,65,121
1506121579,32,21
1506125364,32,18
1506129204,26,12
1506133023,46,47
1506136899,40,11
1506140757,22,31
1506144572,35,24
1506148431,49,17
1506152514,43,50
1506156341,20,25
1506160142,44,65
1506164001,37,38
1506167837,50,73
1506171687,35,27
1506175774,40,64
1506179598,33,25
1506183448,56,62
1506187279,46,51
1506191143,30,22
1506194975,66,71
1506198807,26,30
1506202626,14,14
1506206454,57,52
1506210300,48,56
1506214373,98,34
1506218188,79,54
1506222050,27,18
1506225885,72,44
1506229721,121,104
1506233616,39,41
1506237723,19,46
1506241548,13,15
1506245380,50,50
1506249230,47,38
1506253077,33,66
1506256933,48,50
1506264591,107,101
1506272290,80,93
1506276125,19,14
1506280260,46,84
1506284006,12,6
1506287872,35,15
1506291876,24,13
1506295744,18,22
1506299561,22,26
1506303452,19,13
1506307238,43,7
1506311080,56,54
1506314947,54,46
1506318765,71,72
1506322619,41,40
1506330312,121,115
1506334158,54,50
1506337960,32,82
1506341792,23,27
1506345642,21,60
1506350060,32,27
1506354047,47,68
1506357910,87,74
1506361740,86,46
1506365569,126,66
1506369437,71,71
1506373257,27,27
1506377090,23,26
1506380940,5,10
1506384772,5,11
1506388603,61,56
1506392449,79,79
1506396305,73,77
1506400165,81,71
1506403972,34,36
1506407816,15,33
1506411654,10,29
1506415486,50,62
1506419345,44,78
1506423167,67,84
1506427037,64,73
1506430873,61,18
1506438542,158,137
1506442391,37,36
1506446235,56,55
1506450345,51,66
1506454132,72,87
1506457994,40,57
1506461967,222,316
1506465668,101,90
1506469549,93,72
1506473378,183,195
1506477211,139,132
1506481078,129,117
1506484951,221,234
1506488733,125,130
1506492555,65,45
1506496419,30,26
1506500231,72,56
1506504046,17,15
1506507909,33,57
1506511731,40,38
1506515583,107,64
1506519414,105,49
1506523262,112,64
1506527085,112,112
1506530963,143,130
1506534768,113,119
1506538619,130,126
1506542465,93,92
1506546296,78,76
1506550141,52,52
1506553983,26,32
1506557804,20,22
1506561675,31,29
1506565731,60,63
1506569650,71,92
1506573434,325,292
1506577283,348,348
1506581092,312,310
1506588778,448,450
1506596949,451,449
1506600795,40,42
1506604626,83,84
1506608493,51,51
1506612310,35,35
1506616122,36,37
1506620032,37,40
1506623838,51,57
1506627649,61,68
1506631495,25,26
1506635324,28,35
1506640030,50,65
1506643983,38,39
1506647818,52,70
1506651689,43,45
1506655497,54,51
1506659322,97,73
1506663267,424,387
1506667245,110,111
1506674953,137,153
1506678823,54,57
1506682606,21,64
1506686555,28,25
1506690317,332,275
1506694162,394,391
1506697977,154,157
1506702064,29,28
1506705886,31,32
1506709748,58,59
1506713581,27,28
1506717431,161,161
1506721249,160,160
1506726011,65,62
1506729907,30,30
1506734015,66,65
1506737844,55,55
1506741717,72,72
1506745538,55,64
1506749349,94,103
1506753203,104,107
1506757061,104,90
1506760850,107,106
1506764746,108,107
1506768795,65,78
1506772617,41,44
1506776504,59,87
1506780336,95,76
1506784167,314,283
1506787987,352,353
1506791842,334,333
1506795706,354,354
1506799497,327,328
1506900820,434,446
1506904654,21,21
1506908464,50,52
1506912287,36,53
1506947143,377,364
1506962515,301,314
1506975249,300,278
1506979325,107,113
1506990803,214,207
1506994629,68,76
1506998518,36,54
1507002290,190,165
1507006141,345,335
1507009970,321,322
1507013837,414,414
1507017748,381,380
1507021540,361,363
1507029184,448,446
1507033034,59,59
1507036840,144,145
1507040740,67,70
