DateTime,Entries,UniqueIPs
1506082882,275,275
1506086722,242,242
1506090548,244,244
1506094473,245,245
1506098324,228,228
1506102226,240,240
1506106128,289,289
1506109975,311,311
1506113810,327,327
1506117669,271,271
1506121579,282,282
1506125364,296,296
1506129204,310,310
1506133023,309,309
1506136899,338,338
1506140757,329,329
1506144572,340,340
1506148431,372,372
1506152514,365,365
1506156341,360,360
1506160142,339,339
1506164001,338,338
1506167837,315,315
1506171687,323,323
1506175774,299,299
1506179598,307,307
1506183448,301,301
1506187279,296,296
1506191143,304,304
1506194975,299,299
1506198807,295,295
1506202626,295,295
1506206454,300,300
1506210300,292,292
1506214373,356,356
1506218188,381,381
1506222050,390,390
1506225885,418,418
1506229721,435,435
1506233616,433,433
1506237723,406,406
1506241548,404,404
1506245380,404,404
1506249230,413,413
1506253077,380,380
1506256933,378,378
1506264591,384,384
1506272290,371,371
1506276125,376,376
1506280260,338,338
1506284006,344,344
1506287872,364,364
1506291876,375,375
1506295744,371,371
1506299561,367,367
1506303452,373,373
1506307238,409,409
1506311080,411,411
1506314947,419,419
1506318765,418,418
1506322619,419,419
1506330312,425,425
1506334158,429,429
1506337960,379,379
1506341792,375,375
1506345642,336,336
1506350060,341,341
1506354047,320,320
1506357910,333,333
1506361740,373,373
1506365569,433,433
1506369437,433,433
1506373257,433,433
1506377090,430,430
1506380940,425,425
1506384772,419,419
1506388603,424,424
1506392449,424,424
1506396305,420,420
1506400165,430,430
1506403972,428,428
1506407816,410,410
1506411654,391,391
1506415486,379,379
1506419345,345,345
1506423167,328,328
1506427037,319,319
1506430873,362,362
1506438542,383,383
1506442391,384,384
1506446235,385,385
1506450345,370,370
1506454132,355,355
1506457994,338,338
1506461967,244,244
1506465668,255,255
1506469549,276,276
1506473378,264,264
1506477211,271,271
1506481078,283,283
1506484951,270,270
1506488733,265,265
1506492555,285,285
1506496419,289,289
1506500231,305,305
1506504046,307,307
1506507909,283,283
1506511731,285,285
1506515583,328,328
1506519414,384,384
1506523262,432,432
1506527085,432,432
1506530963,445,445
1506534768,439,439
1506538619,443,443
1506542465,444,444
1506546296,446,446
1506550141,446,446
1506553983,440,440
1506557804,438,438
1506561675,440,440
1506565731,437,437
1506569650,416,416
1506573434,449,449
1506577283,449,449
1506581092,451,451
1506588778,449,449
1506596949,451,451
1506600795,449,449
1506604626,448,448
1506608493,448,448
1506612310,448,448
1506616122,447,447
1506620032,444,444
1506623838,438,438
1506627649,431,431
1506631495,430,430
1506635324,423,423
1506640030,408,408
1506643983,407,407
1506647818,389,389
1506651689,387,387
1506655497,390,390
1506659322,414,414
1506663267,451,451
1506667245,450,450
1506674953,434,434
1506678823,431,431
1506682606,388,388
1506686555,391,391
1506690317,448,448
1506694162,451,451
1506697977,448,448
1506702064,449,449
1506705886,448,448
1506709748,447,447
1506713581,446,446
1506717431,446,446
1506721249,446,446
1506726011,449,449
1506729907,449,449
1506734015,450,450
1506737844,450,450
1506741717,450,450
1506745538,441,441
1506749349,432,432
1506753203,429,429
1506757061,443,443
1506760850,444,444
1506764746,445,445
1506768795,432,432
1506772617,429,429
1506776504,401,401
1506780336,420,420
1506784167,451,451
1506787987,450,450
1506791842,451,451
1506795706,451,451
1506799497,450,450
1506900820,438,438
1506904654,438,438
1506908464,436,436
1506912287,419,419
1506947143,432,432
1506962515,419,419
1506975249,441,441
1506979325,435,435
1506990803,442,442
1506994629,434,434
1506998518,416,416
1507002290,441,441
1507006141,451,451
1507009970,450,450
1507013837,450,450
1507017748,451,451
1507021540,449,449
