DateTime,AddedIPs,RemovedIPs
1506044514,204,212
1506048314,213,204
1506052183,197,213
1506055986,173,196
1506059839,131,174
1506063702,130,131
1506067570,123,130
1506071357,130,123
1506075215,129,130
1506079024,126,129
1506082892,128,126
1506086743,125,128
1506090558,126,125
1506094482,126,126
1506098335,125,126
1506102239,126,125
1506106143,137,126
1506110009,138,137
1506113828,132,138
1506117706,143,132
1506121612,141,143
1506125380,149,141
1506129221,147,149
1506133038,153,147
1506136932,143,153
1506140787,137,143
1506144602,129,137
1506148468,133,129
1506152549,150,133
1506156363,147,150
1506160160,136,147
1506164014,140,136
1506167860,131,140
1506171711,132,131
1506175796,141,132
1506179615,150,141
1506183462,141,150
1506187302,142,141
1506191162,140,142
1506194996,124,140
1506198821,124,124
1506202641,126,124
1506206483,151,126
1506210317,161,151
1506214381,135,67
1506218195,80,28
1506222057,2,2
1506225898,65,17
1506229728,141,66
1506233639,1,1
1506237747,1,0
1506241582,2,2
1506245407,6,8
1506249263,23,28
1506253109,25,29
1506276160,109,123
1506284030,2,0
1506287898,1,0
1506291882,3,1
1506295751,1,0
1506299571,1,0
1506303470,134,81
1506307248,162,154
1506311090,193,190
1506314956,161,162
1506318772,144,144
1506322632,232,231
1506330322,417,417
1506334176,199,199
1506337968,162,162
1506341799,2,2
1506345648,1,1
1506350088,1,1
1506354056,26,26
1506357924,279,279
1506361752,311,311
1506365581,271,271
1506369448,307,307
1506373273,122,122
1506377102,2,2
1506388611,120,120
1506392458,300,300
1506396322,263,263
1506400191,262,262
1506403982,161,162
1506407826,5,6
1506411663,1,1
1506415495,233,449
1506419363,232,233
1506423179,275,232
1506427052,306,274
1506430894,290,307
1506438558,287,290
1506442405,290,287
1506446247,261,290
1506450361,240,261
1506454142,238,240
1506458006,237,238
1506461993,230,230
1506465691,295,237
1506469578,303,294
1506473400,327,304
1506477229,300,326
1506481112,311,301
1506484998,314,311
1506488760,311,314
1506492566,237,311
1506496439,233,237
1506500242,232,233
1506504057,235,232
1506507921,233,235
1506511745,266,233
1506515603,300,213
1506519429,299,201
1506523283,204,204
1506527098,173,173
1506530997,187,187
1506534776,142,142
1506538626,88,88
1506542473,81,82
1506546309,301,301
1506550152,449,449
1506553996,451,450
1506557813,451,451
1506561687,451,451
1506565750,451,451
1506569688,451,451
1506573461,451,451
1506577302,451,451
1506581104,451,451
1506584931,450,450
1506588790,451,451
1506596975,451,451
1506600814,451,451
1506604639,451,451
1506608520,450,450
1506612326,451,451
1506616133,450,451
1506620059,451,450
1506623856,451,451
1506627657,451,451
1506631504,451,451
1506635337,451,451
1506640043,451,451
1506643995,451,451
1506647828,451,451
1506651701,451,451
1506655515,451,451
1506659333,450,450
1506663309,400,400
1506667257,451,451
1506674973,451,451
1506678848,451,451
1506682616,451,451
1506690340,451,451
1506694189,451,451
1506697990,451,451
1506702076,451,451
1506705903,451,451
1506709770,451,451
1506713596,451,451
1506717448,451,451
1506721263,451,451
1506726026,451,451
1506729925,451,451
1506734036,451,451
1506737863,451,451
1506741750,451,451
1506745576,451,451
1506749369,451,451
1506753225,451,451
1506757087,451,451
1506760860,451,451
1506764788,451,451
1506768807,451,451
1506772637,451,451
1506776528,451,451
1506780369,451,451
1506784196,451,451
1506788002,451,451
1506791867,451,451
1506795731,451,451
1506799512,451,451
1506900841,451,451
1506904676,451,451
1506908475,451,451
1506912299,451,451
1506979370,451,451
1506983146,60,60
1506990836,166,166
1506994643,322,323
1506998547,450,449
1507002304,451,451
1507006154,450,450
1507009983,450,450
1507013859,451,451
1507017798,451,451
1507021557,451,451
1507029196,449,449
1507033055,451,451
1507036850,451,451
1507040766,451,451
1507044586,450,451
1507048486,451,450
1507052264,451,451
1507059909,449,450
1507063788,451,450
1507067837,450,450
1507071739,451,451
1507075548,450,450
1507079392,451,451
1507087003,451,451
1507090847,451,451
1507094678,451,451
1507098515,451,451
1507102362,451,451
1507106213,451,451
1507110055,450,450
1507113881,451,451
1507117965,451,451
1507121827,450,450
1507125753,451,451
1507129532,450,450
1507133353,451,451
1507137391,451,451
1507141267,450,450
1507145087,451,451
1507148921,450,451
1507153031,451,450
1507157466,451,451
1507161178,451,451
1507165268,451,451
1507169077,451,451
1507172930,451,451
1507176787,450,451
1507180620,451,450
1507184443,451,451
1507188284,450,450
1507192121,451,451
1507195965,446,448
1507199823,449,447
1507203635,451,451
1507207467,451,451
1507211303,451,451
1507215161,451,451
1507218988,451,451
1507222908,451,451
1507226697,450,450
1507230790,451,451
1507234626,450,451
1507238755,450,449
1507242565,451,451
1507246629,451,451
1507250438,451,451
1507254270,449,449
1507258136,450,450
1507261985,448,449
1507265819,451,450
1507270216,451,451
1507274094,451,451
1507278052,15,15
1507281774,8,8
1507285721,88,88
1507289574,197,200
1507293394,189,190
1507297258,209,206
1507301078,204,203
1507304917,42,43
1507308747,1,1
1507312605,2,2
1507317583,4,4
1507321474,1,1
1507325308,1,1
1507329180,123,123
1507332995,364,363
1507336837,370,370
1507340670,406,406
1507344537,381,381
1507348351,350,350
1507352199,338,338
1507356281,300,300
1507360116,2,6
1507363969,5,5
1507367795,10,12
1507371643,15,16
1507375507,15,15
1507379346,1,2
1507383198,265,263
1507386996,356,351
1507390846,448,449
1507394692,390,388
1507398528,419,419
1507402369,348,349
1507406183,415,414
1507410059,101,101
1507413872,6,6
1507417732,197,389
1507421592,228,256
1507425430,228,231
1507429265,287,228
1507433110,279,287
1507436932,282,279
1507444606,291,282
1507448438,292,291
1507452288,294,292
1507456148,290,294
1507459955,230,290
1507463814,228,230
1507467655,231,228
1507471497,229,231
1507475323,230,229
1507479179,229,230
1507483011,228,229
1507487114,297,228
1507490937,297,297
1507494790,303,297
1507498638,291,303
1507502446,280,290
1507506523,278,281
1507510362,305,278
1507514246,284,305
1507518089,296,284
1507521885,312,296
1507525735,280,312
1507529574,226,280
1507533420,226,226
1507537247,228,226
1507541097,228,228
1507544935,229,228
1507548799,228,229
1507552603,226,228
1507556683,292,226
1507560530,280,292
1507564386,289,279
1507568208,292,289
1507572091,304,293
1507580397,307,304
1507584297,277,307
1507588152,280,277
1507591997,284,280
1507595842,291,284
1507599648,250,291
1507603481,229,250
1507607337,228,229
1507611166,231,228
1507614998,231,230
1507618864,229,232
1507630637,301,229
1507634478,286,301
1507638326,275,271
1507642139,288,290
1507645992,290,288
1507649839,272,290
1507653598,288,272
1507657488,282,288
1507661588,228,282
1507665421,227,228
1507669288,226,227
1507673113,226,226
1507677199,227,226
1507681014,228,227
1507684865,245,228
1507688727,304,245
1507692529,295,304
1507696404,294,295
1507700247,305,294
1507704065,297,305
1507707918,306,297
1507711755,288,306
1507715586,299,287
1507719415,305,300
1507723312,299,305
1507727107,250,299
1507730940,230,250
1507734784,230,230
1507738622,228,229
1507742461,229,229
1507747166,281,229
1507750875,272,281
1507754708,288,271
1507758532,282,289
1507762381,288,282
1507766219,296,288
1507770087,286,295
1507773925,288,287
1507777729,237,288
1507781582,227,237
1507785416,229,227
1507789258,227,229
1507793107,226,227
1507797181,72,71
1507801029,3,2
1507804834,1,0
1507808682,6,4
1507812533,2,2
1507816361,5,3
1507820204,1,1
1507824957,4,4
1507828846,51,25
1507832691,66,34
1507836576,38,22
1507840385,65,33
1507844202,62,32
1507848051,56,29
1507851884,52,26
1507855722,40,24
1507859554,67,65
1507863384,77,73
1507867236,39,38
1507871088,67,64
1507874954,76,89
1507878769,249,435
1507882607,242,249
1507886436,239,242
1507890283,226,239
1507894123,228,226
1507898017,229,228
1507901861,227,229
1507905651,230,227
1507910178,246,230
1507914121,248,246
1507917900,241,248
1507921987,248,240
1507925819,244,249
1507929704,246,244
1507933495,239,246
1507937327,227,239
1507945033,227,227
1507949327,228,227
1507953331,240,227
1507957069,247,241
1507960749,240,247
1507964475,247,240
1507968364,254,247
1507972165,244,254
1507976214,254,244
1507980279,235,254
1507984142,232,235
1507991807,233,232
1507995653,227,233
