DateTime,Entries,UniqueIPs
1505909498,159,159
1505917072,157,157
1505920944,156,156
1505924843,158,158
1505928739,152,152
1505932554,152,152
1505936375,158,158
1505940202,160,160
1505944106,160,160
1505948134,159,159
1505951897,158,158
1505955862,158,158
1505959634,159,159
1505963435,157,157
1505967336,157,157
1505971116,156,156
1505975204,158,158
1505979078,157,157
1505998233,141,141
1506013854,139,139
1506017591,138,138
1506021268,144,144
1506025478,143,143
1506033175,146,146
1506044682,147,147
1506048426,152,152
1506052331,152,152
1506056035,154,154
1506059888,154,154
1506063827,145,145
1506067619,135,135
1506071479,130,130
1506075324,126,126
1506079113,128,128
1506082942,126,126
1506086807,124,124
1506090611,128,128
1506094532,128,128
1506098382,130,130
1506102294,130,130
1506106216,128,128
1506110124,130,130
1506113893,129,129
1506125450,119,119
1506129292,118,118
1506133111,118,118
1506137050,116,116
1506140883,119,119
1506144738,118,118
1506148616,117,117
1506156437,116,116
1506160270,115,115
1506164090,115,115
1506167952,114,114
1506171878,109,109
1506175906,108,108
1506179690,109,109
1506183535,110,110
1506187385,110,110
1506191264,112,112
1506195077,116,116
1506198892,116,116
1506202699,118,118
1506206602,121,121
1506210397,122,122
1506214422,125,125
1506218224,131,131
1506222112,131,131
1506225933,130,130
1506229755,129,129
1506233751,135,135
1506237872,135,135
1506241721,135,135
1506245549,137,137
1506288013,139,139
1506291913,140,140
1506295782,138,138
1506299606,137,137
1506303554,136,136
1506307286,136,136
1506311134,139,139
1506315006,140,140
1506318811,145,145
1506322692,143,143
1506330358,142,142
1506334227,144,144
1506337999,144,144
1506341827,144,144
1506345681,144,144
1506350215,144,144
1506354091,147,147
1506357975,149,149
1506361791,152,152
1506365620,159,159
1506369484,160,160
1506373380,160,160
1506377132,163,163
1506380978,164,164
1506384854,166,166
1506388653,168,168
1506392513,166,166
1506396372,166,166
1506400292,166,166
1506404019,169,169
1506407872,167,167
1506411697,164,164
1506415534,162,162
1506419441,158,158
1506423234,154,154
1506427121,157,157
1506431010,162,162
1506434836,165,165
1506438628,163,163
1506442462,165,165
1506446287,163,163
1506450415,158,158
1506454187,167,167
1506458047,171,171
1506462088,171,171
1506465793,169,169
1506469701,171,171
1506473529,172,172
1506477295,174,174
1506481258,175,175
1506485184,176,176
1506488939,177,177
1506492610,176,176
1506496551,171,171
1506500284,164,164
1506504102,165,165
1506507983,167,167
1506511800,170,170
1506515676,171,171
1506519505,175,175
1506527205,171,171
1506531156,172,172
1506535042,169,169
1506538848,174,174
1506542566,175,175
1506546359,174,174
1506550199,176,176
1506557853,177,177
1506561760,178,178
1506565818,181,181
1506569868,182,182
1506573568,181,181
1506577395,178,178
1506581161,178,178
1506585055,176,176
1506588844,177,177
1506593033,177,177
1506597075,175,175
1506600884,175,175
1506604698,178,178
1506608655,180,180
1506612407,181,181
1506616194,180,180
1506620183,180,180
1506623929,180,180
1506627695,185,185
1506631548,186,186
1506635382,186,186
1506640085,185,185
1506644035,183,183
1506647871,184,184
1506651802,180,180
1506655581,182,182
1506659377,179,179
1506663511,180,180
1506667300,183,183
1506675063,184,184
1506678910,185,185
1506682661,183,183
1506690397,187,187
