DateTime,AddedIPs,RemovedIPs
1505924854,17,2
1505928770,21,38
1505932584,25,3
1505936399,107,45
1505940222,28,8
1505944133,72,76
1505948155,25,23
1505951913,38,40
1505955894,71,74
1505959649,35,50
1505963447,32,42
1505967355,25,19
1505971131,66,87
1505975227,24,28
1505979110,31,32
1505998248,230,248
1506002200,52,13
1506013874,111,132
1506017604,60,44
1506021279,85,42
1506025493,28,32
1506033198,84,87
1506044718,64,72
1506048446,53,54
1506052368,26,62
1506056045,25,30
1506059900,22,31
1506063853,72,80
1506067631,19,5
1506071518,21,74
1506075343,22,3
1506079132,60,69
1506082961,31,9
1506086817,30,57
1506090620,33,8
1506094547,30,4
1506098392,28,7
1506102304,36,24
1506106234,96,74
1506110144,98,93
1506113907,37,39
1506125466,147,170
1506129305,47,65
1506133134,83,49
1506137075,57,58
1506140899,54,60
1506144774,51,59
1506148647,110,108
1506156454,80,97
1506160292,91,89
1506164110,53,47
1506167966,65,66
1506171913,58,29
1506175917,64,93
1506179703,38,43
1506183548,109,99
1506187399,33,11
1506191282,75,76
1506195095,122,115
1506198912,24,28
1506202710,32,36
1506206625,37,50
1506210414,47,53
1506214431,41,47
1506218230,91,99
1506222125,50,46
1506225944,54,57
1506229760,60,53
1506233774,62,62
1506237901,42,82
1506241744,41,8
1506288035,339,306
1506291918,49,53
1506295788,55,61
1506299611,31,35
1506303568,59,60
1506307294,39,41
1506311139,39,43
1506315012,33,41
1506318818,71,60
1506322707,33,35
1506330365,129,148
1506334234,43,44
1506338006,55,77
1506341834,39,26
1506345686,41,54
1506350242,39,35
1506354101,66,39
1506357987,45,53
1506361799,74,70
1506365629,133,86
1506369493,49,55
1506373397,34,43
1506377137,68,72
1506380983,30,37
1506384867,31,40
1506388660,95,87
1506392520,55,52
1506396379,58,57
1506400309,104,93
1506404024,70,66
1506407877,62,75
1506411704,86,109
1506415541,58,31
1506419461,78,110
1506423245,94,51
1506427134,157,159
1506431034,114,129
1506434866,153,170
1506438642,196,195
1506442472,127,120
1506446296,94,95
1506450425,111,118
1506454195,125,119
1506458055,80,76
1506462098,71,70
1506465819,90,93
1506469733,102,112
1506473549,128,127
1506477308,94,83
1506481288,82,85
1506485216,146,126
1506488971,99,119
1506493006,177,169
1506496838,103,149
1506500684,167,135
1506504521,64,83
1506508403,218,178
1506513472,171,167
1506517247,290,279
1506521114,188,189
1506524918,167,171
1506528764,420,414
1506532593,172,178
1506536680,191,210
1506540508,115,130
1506544379,66,68
1506548223,128,135
1506552068,75,74
1506555886,87,87
1506559722,69,68
1506563563,158,145
1506567395,66,65
1506571242,121,111
1506575094,77,90
1506578947,114,104
1506582764,77,103
1506586850,218,198
1506590680,66,58
1506594526,158,150
1506598362,72,73
1506602202,130,126
1506606021,159,153
1506609866,70,66
1506613727,58,65
1506617566,67,72
1506621387,68,76
1506625228,111,123
1506629078,144,135
1506632909,61,66
1506636876,51,62
1506640855,125,120
1506644932,112,121
1506648777,70,65
1506652646,158,140
1506656442,96,114
1506660280,122,94
1506664369,132,125
1506668218,74,87
1506672091,145,144
1506675902,156,155
1506679767,64,97
1506683568,167,129
1506687412,57,54
1506691254,72,68
1506695097,145,149
1506698941,194,182
1506703051,61,60
1506706849,56,68
1506710682,112,113
1506714521,50,52
1506718374,103,106
1506722211,49,53
1506726183,95,100
1506730013,52,57
1506734159,59,65
1506737929,65,59
1506741915,110,110
1506745681,54,59
1506749442,118,102
1506753369,122,111
1506757201,55,54
1506760914,106,123
1506764940,46,26
1506768879,67,95
1506772704,52,27
1506776692,116,125
1506780564,98,84
1506784311,42,106
1506788072,149,83
1506791958,48,51
1506795937,68,70
1506799900,92,96
1506900956,411,417
1506904760,33,37
1506908524,78,80
1506912352,50,76
1506994694,397,379
1506998691,48,92
1507002431,31,25
1507006231,75,76
1507010053,40,19
1507014012,46,64
1507021640,113,112
1507029250,80,40
1507033114,33,31
1507036915,82,79
1507040888,42,38
1507044694,107,153
1507059977,322,281
1507063863,80,90
1507067907,42,44
1507076008,148,149
1507079836,72,72
1507083635,58,401
1507087475,50,0
1507091319,84,0
1507095171,117,0
1507099012,38,0
1507102847,76,36
1507106681,55,32
1507110543,48,78
1507114382,63,54
1507118199,59,50
1507122292,46,52
1507126133,82,89
1507129967,40,8
1507133813,51,53
1507137906,76,71
1507141952,57,54
1507145812,107,111
1507149658,92,90
1507153493,48,53
1507157487,66,81
1507161209,32,44
1507165315,66,63
1507169099,70,42
1507172967,60,64
1507176823,117,119
1507180652,58,64
1507184488,80,85
1507188329,58,52
1507192148,96,90
1507195995,57,53
1507199856,65,86
1507203666,43,17
1507207491,59,103
1507211332,50,7
1507215194,49,126
1507219016,121,44
1507226723,108,100
1507230825,114,117
1507234662,89,84
1507238812,83,98
1507242600,34,55
1507246663,50,55
1507250464,103,90
1507254302,60,47
1507258160,73,75
1507262013,88,79
1507265858,70,108
1507270237,54,15
1507274114,95,124
1507278068,50,86
1507281793,47,12
1507285740,92,78
1507289592,50,38
1507293411,53,78
1507297282,52,60
1507301095,64,64
1507304931,22,22
1507308762,6,2
1507312632,18,7
1507317597,116,109
1507321488,24,23
1507325324,16,13
1507329206,24,27
1507333014,60,59
1507336872,29,34
1507340690,31,38
1507344578,38,45
1507348368,39,35
1507352218,29,58
1507356295,61,60
1507360130,22,22
1507363988,43,67
1507367816,31,55
1507371666,36,30
1507379399,89,73
1507383223,54,16
1507387017,81,68
1507390878,35,28
1507394745,71,83
1507398558,45,6
1507402393,95,99
1507406200,54,46
1507410091,68,70
1507413888,45,48
1507417758,32,35
1507421640,41,41
1507425468,55,54
1507429300,33,33
1507433169,56,82
1507436976,37,58
1507444648,110,71
1507448493,44,84
1507452347,50,50
1507456216,47,42
1507459997,69,77
1507463855,31,21
1507471526,73,94
1507475351,75,77
1507479211,40,4
1507483052,33,22
1507487154,33,20
1507490978,114,111
1507494828,77,75
1507498699,34,35
1507502512,38,37
1507506558,62,65
1507510411,33,35
1507514282,30,29
1507518166,68,62
1507521928,54,56
1507525781,29,51
1507529607,52,32
1507533449,62,64
1507537276,61,81
1507541148,23,30
1507544971,31,72
1507548840,56,82
1507552635,38,6
1507556726,65,76
1507560572,42,1
1507564444,67,63
1507568250,28,29
1507580441,222,188
1507584347,82,81
1507588191,48,48
1507592056,65,67
1507595915,63,60
1507599682,48,48
1507603516,97,108
1507607396,30,38
1507615034,98,118
1507618911,47,40
1507630694,171,159
1507634547,52,70
1507638401,98,74
1507642187,42,51
1507646039,90,87
1507649905,64,39
1507653652,113,121
1507657522,67,61
1507661630,94,99
1507665454,106,107
1507669366,88,100
1507673149,35,37
1507677242,51,75
1507681056,66,76
1507684924,44,17
1507688799,67,62
1507692597,42,38
1507696459,47,85
1507700298,49,29
1507704107,100,93
1507707981,70,74
1507711829,87,82
1507715635,48,37
1507719461,113,118
1507727157,109,174
1507730978,129,55
1507734835,44,49
1507738662,143,136
1507742522,38,42
1507747260,65,99
1507751332,261,207
1507755175,60,66
1507759007,150,151
1507762855,61,75
1507766701,90,106
1507770525,100,97
1507774359,58,41
1507778451,55,74
1507782526,146,125
1507786372,54,88
1507794046,192,198
1507797870,142,105
1507801726,86,142
1507805569,187,129
1507809401,64,63
1507813240,215,211
1507817337,73,68
1507821161,94,95
1507824981,244,239
1507828895,107,109
1507832716,75,80
1507836605,134,137
1507840416,118,122
1507844253,56,66
1507848081,74,84
1507851909,127,111
1507855747,69,71
1507859578,121,116
1507863417,94,116
1507867315,77,54
1507871120,150,147
1507875002,71,90
1507878859,168,146
1507882645,72,78
1507886491,254,253
1507890327,61,61
1507894178,66,60
1507898090,142,143
1507901930,48,60
1507905714,171,157
1507910231,92,93
1507914246,63,59
1507917969,178,175
1507922056,114,111
1507925879,197,199
1507929783,63,77
1507933541,45,49
1507937364,110,102
