DateTime,AddedIPs,RemovedIPs
1505917089,13,12
1505920983,5,4
1505924866,5,8
1505928800,4,6
1505932619,6,6
1505936419,4,2
1505940240,1,2
1505944160,7,8
1505948174,3,1
1505951926,12,8
1505955929,4,10
1505959662,5,5
1505963462,3,1
1505967377,5,3
1505971146,6,4
1505975248,5,2
1505979139,4,1
1505998261,17,18
1506002224,1,2
1506013892,5,6
1506017620,3,1
1506021394,1,1
1506025504,2,3
1506029601,0,2
1506033417,3,0
1506037255,6,3
1506041082,3,1
1506044944,9,6
1506048796,4,2
1506052632,7,4
1506056450,6,2
1506060282,6,4
1506064126,6,2
1506067970,3,1
1506075660,5,3
1506079493,6,10
1506083334,2,2
1506087191,1,2
1506091017,7,5
1506094838,2,5
1506098694,6,8
1506102528,4,2
1506106251,2,4
1506110163,7,12
1506113918,5,7
1506125478,22,21
1506129317,10,9
1506133155,12,5
1506137097,4,3
1506140911,4,5
1506144805,1,1
1506148675,1,4
1506156475,5,13
1506160318,2,3
1506164127,4,5
1506167977,4,8
1506171944,5,7
1506175932,0,7
1506179718,3,10
1506183559,4,6
1506187409,2,3
1506191302,4,4
1506195114,9,14
1506198932,1,10
1506202720,3,1
1506206655,2,3
1506210428,4,11
1506214437,8,5
1506218235,4,2
1506222134,3,2
1506225956,6,7
1506229765,5,8
1506233793,3,2
1506237928,6,4
1506241768,3,3
1506288054,56,37
1506291923,7,3
1506295792,4,4
1506299615,4,2
1506303578,6,3
1506307301,7,4
1506311146,1,2
1506315018,1,1
1506318826,4,4
1506322718,3,5
1506330375,6,10
1506334241,4,4
1506338010,4,8
1506341839,1,6
1506345691,3,2
1506350269,5,3
1506354105,2,7
1506357997,1,1
1506361807,3,1
1506365637,4,4
1506369500,5,7
1506373418,2,2
1506377142,3,5
1506380988,3,3
1506384889,0,1
1506388666,5,2
1506396386,2,4
1506400325,1,2
1506404029,3,4
1506407882,3,10
1506411709,5,0
1506415548,2,5
1506419482,8,7
1506423257,7,9
1506427148,3,7
1506431054,2,6
1506434892,5,6
1506438660,5,3
1506442482,5,5
1506446305,0,2
1506450436,6,5
1506454202,6,6
1506458064,7,2
1506462104,6,2
1506465843,9,7
1506469760,16,8
1506473568,2,4
1506477317,3,4
1506481310,6,9
1506485234,9,4
1506488998,5,7
1506493013,4,8
1506496847,2,4
1506500700,11,4
1506504531,7,3
1506508432,3,3
1506513480,2,2
1506517255,3,1
1506521151,8,5
1506524935,5,2
1506528782,1,2
1506532616,2,5
1506536695,2,4
1506540513,5,4
1506544409,9,9
1506548257,14,10
1506552091,5,7
1506555892,11,11
1506559738,6,2
1506563570,4,5
1506567405,5,10
1506571252,0,1
1506575125,2,6
1506582794,12,10
1506586859,6,9
1506590692,4,7
1506594535,5,5
1506598378,4,4
1506602223,4,6
1506606029,4,10
1506609877,9,3
1506613739,4,3
1506617573,6,1
1506621399,2,5
1506625235,4,6
1506629093,1,8
1506632925,8,3
1506636887,4,6
1506640887,7,9
1506644944,6,1
1506648782,3,4
1506652679,4,6
1506656458,15,4
1506660287,1,1
1506664378,4,3
1506668227,3,4
1506672099,7,3
1506675909,5,3
1506679794,2,2
1506683575,2,7
1506687419,5,2
1506691267,5,5
1506695129,3,3
1506698977,2,4
1506703084,3,3
1506706862,4,6
1506710695,3,2
1506714534,3,3
1506718383,7,6
1506722221,4,6
1506726220,6,4
1506730025,7,4
1506734178,16,9
1506737939,5,2
1506741940,3,5
1506745694,9,6
1506749449,6,5
1506753387,4,5
1506757219,6,8
1506760921,8,6
1506764950,7,5
1506768899,8,9
1506772711,11,2
1506776727,6,2
1506780586,5,2
1506784324,4,7
1506788081,2,4
1506791967,4,2
1506795977,1,2
1506799936,4,9
1506900987,41,33
1506904765,5,8
1506908531,8,8
1506912361,3,3
1506994701,106,103
1506998709,28,13
1507002455,12,12
1507006249,2,9
1507010064,3,2
1507014094,4,7
1507021649,5,16
1507029258,15,8
1507033122,31,18
1507036932,37,7
1507040906,10,8
1507044724,17,5
1507059988,83,68
1507063873,23,18
1507067921,8,9
1507076034,37,11
1507079848,22,19
1507083638,13,302
1507087477,45,0
1507091320,63,0
1507095173,23,0
1507099015,29,0
1507102849,44,0
1507106684,42,0
1507110552,42,0
1507114388,18,0
1507118205,31,0
1507122300,30,28
1507126138,30,32
1507129975,49,48
1507133819,24,26
1507137910,20,28
1507141967,23,29
1507145824,34,33
1507149665,21,20
1507153499,5,15
1507157491,3,18
1507161215,19,10
1507165325,61,49
1507169103,60,56
1507172981,23,25
1507180658,93,73
1507184493,47,45
1507188339,42,19
1507192153,63,62
1507196000,27,32
1507199860,15,18
1507203671,26,30
1507207494,32,41
1507211336,23,26
1507215203,8,16
1507219024,5,16
1507226727,64,64
1507230834,43,42
1507234667,22,34
1507238823,62,56
1507242606,33,25
1507246672,64,50
1507250470,42,30
1507254310,42,29
1507258164,22,29
1507262021,14,19
1507265865,2,13
1507270240,7,9
1507274118,8,15
1507278070,11,16
1507281821,5,9
1507285744,4,16
1507289594,1,14
1507293414,2,18
1507297284,2,17
1507301098,3,11
1507304933,2,5
1507308766,0,1
1507312638,5,6
1507317600,6,19
1507321491,1,1
1507325326,2,1
1507329209,1,6
1507333018,1,5
1507336877,1,4
1507340693,6,9
1507344586,3,5
1507348390,2,4
1507352221,4,10
1507356298,2,3
1507360132,5,16
1507363991,5,4
1507367820,2,6
1507371670,1,6
1507379408,7,42
1507383225,3,9
1507387021,2,18
1507390882,2,7
1507394751,4,3
1507398562,4,9
1507402396,3,1
1507406204,2,1
1507410101,4,3
1507413890,3,8
1507417763,6,5
1507421648,6,2
1507425474,12,2
1507429306,4,2
1507433176,10,5
1507436987,14,10
1507444654,9,15
1507448504,4,6
1507452358,10,10
1507456227,4,3
1507460003,5,3
1507463862,10,4
1507471533,12,9
1507475358,8,6
1507479216,2,3
1507483058,1,4
1507487159,6,3
1507490985,5,6
1507494836,3,1
1507498705,5,6
1507502526,3,7
1507506565,6,8
1507510445,13,14
1507514289,8,10
1507518179,2,6
1507521932,8,3
1507525791,12,10
1507529614,9,4
1507533452,8,7
1507537280,11,5
1507541155,8,5
1507544979,8,9
1507548848,9,8
1507552638,7,6
1507556732,4,3
1507560584,14,12
1507564456,4,3
1507568259,4,5
1507580448,9,8
1507584355,6,10
1507588197,7,8
1507592070,8,7
1507595928,13,11
1507599688,12,11
1507603523,3,12
1507607420,2,8
1507615040,14,16
1507618920,9,6
1507630703,28,22
1507634564,13,12
1507638411,7,4
1507642196,8,9
1507646051,10,5
1507649917,10,8
1507653665,4,3
1507657530,8,3
1507661638,10,12
1507665462,7,11
1507669380,10,8
1507673154,2,1
1507677249,7,4
1507681061,4,3
1507684940,9,6
1507688814,3,5
1507692606,6,7
1507696469,3,2
1507700309,2,1
1507704115,5,2
1507707990,8,6
1507711844,4,4
1507715644,4,5
1507719468,3,8
1507727164,12,10
1507730986,0,6
1507734842,6,4
1507738668,1,7
1507742537,4,7
1507747277,4,9
1507755183,16,12
1507759020,6,3
1507762869,5,8
1507766716,9,4
1507770535,6,9
1507774366,8,5
1507778468,18,14
1507782535,10,13
1507786394,3,2
1507794063,18,7
