DateTime,AddedIPs,RemovedIPs
1506004381,2,5
1506007981,1,0
1506011581,0,3
1506015181,6,2
1506022381,3,3
1506025981,7,3
1506029581,0,3
1506033181,3,0
1506036781,1,5
1506043982,0,4
1506047581,6,0
1506054781,3,4
1506065582,2,1
1506069181,7,6
1506076381,2,6
1506079981,2,2
1506083582,0,2
1506087181,0,4
1506090781,3,0
1506094381,0,2
1506097981,3,2
1506101581,2,0
1506105181,3,2
1506112381,5,3
1506115981,1,0
1506119581,0,6
1506123182,1,0
1506126781,1,0
1506130381,0,7
1506133981,3,0
1506137581,0,8
1506141181,2,2
1506144781,2,0
1506148381,0,2
1506151981,5,4
1506155581,3,0
1506159181,0,2
1506166381,4,5
1506173581,5,0
1506177181,6,0
1506184381,3,4
1506187981,2,4
1506191581,1,0
1506195181,3,7
1506198781,0,1
1506202381,5,0
1506205981,1,0
1506209581,3,3
1506213181,1,1
1506216781,1,0
1506220381,0,4
1506223981,8,0
1506227581,2,2
1506231181,0,5
1506234781,2,0
1506238381,5,3
1506241981,0,7
1506245581,6,5
1506249181,12,2
1506256381,3,0
1506259982,5,3
1506263581,0,3
1506267181,2,0
1506270781,3,3
1506274382,0,1
1506277981,2,0
1506281581,3,0
1506288781,0,5
1506292381,3,0
1506295981,4,6
1506299581,0,2
1506303181,2,0
1506306781,1,0
1506310381,0,6
1506313981,3,0
1506317581,7,0
1506321181,0,8
1506328381,2,0
1506331982,0,4
1506335581,6,7
1506339181,4,0
1506342781,0,7
1506346381,7,2
1506349981,6,2
1506353581,0,4
1506357181,3,0
1506360781,3,0
1506364381,1,7
1506367981,1,5
1506375182,4,3
1506378781,3,2
1506385981,5,0
1506389581,2,6
1506396781,4,0
1506400381,3,4
1506407581,5,0
1506411181,2,3
1506414781,0,4
1506418381,5,2
1506421981,2,3
1506429181,0,4
1506432781,4,7
1506439981,2,0
1506443581,6,4
1506450781,2,7
1506454381,0,2
1506457981,7,5
1506461581,3,0
1506465181,0,3
1506468781,2,7
1506472381,2,2
1506479581,4,0
1506483181,1,6
1506486782,0,4
1506490381,4,0
1506493981,3,3
1506501181,7,3
1506504781,4,0
1506508381,0,5
1506511982,4,6
1506515581,2,0
1506519181,5,3
1506526382,3,0
1506529981,4,4
1506533581,0,2
