DateTime,AddedIPs,RemovedIPs
1505586781,12,13
1505593981,4,4
1505597582,11,10
1505604781,13,11
1505608381,10,12
1505615582,12,15
1505619181,7,7
1505626381,4,5
1505629981,10,8
1505637181,11,11
1505640782,14,13
1505647981,6,8
1505651581,9,9
1505658781,11,9
1505662381,10,9
1505669582,10,11
1505673181,15,16
1505680381,7,7
1505683981,15,13
1505691181,12,11
1505694781,9,11
1505701981,12,14
1505705581,14,11
1505712781,13,11
1505716381,8,8
1505723582,6,9
1505727181,7,8
1505734382,12,14
1505737981,11,9
1505745182,6,4
1505752381,12,13
1505755981,10,11
1505763182,14,12
1505766781,14,19
1505773981,7,9
1505777582,5,2
1505784781,14,9
1505788381,4,6
1505795582,10,14
1505799181,12,8
1505806381,7,6
1505809981,8,8
1505817181,10,14
1505820782,12,13
1505827981,15,15
1505831581,12,14
1505838782,8,9
1505842381,13,7
1505845981,10,8
1505849581,2,2
1505853181,5,6
1505860382,15,15
1505863981,13,13
1505871181,10,9
1505874781,12,10
1505881981,5,8
1505885581,11,10
1505892782,16,14
1505896381,12,10
1505903582,10,11
1505907181,13,12
1505914382,5,6
1505917981,16,14
1505925181,14,17
1505928781,9,10
1505935981,17,16
1505939581,15,15
1505946781,8,7
1505950381,11,11
1505957581,13,16
1505961182,6,8
1505968381,6,5
1505971981,14,12
1505979181,10,9
1505982781,8,12
1505989981,14,11
1505993581,10,11
1505997181,5,6
1506004381,12,16
1506007981,6,6
1506015181,21,14
1506022381,11,8
1506025981,14,15
1506033181,11,13
1506036781,7,7
1506043982,11,8
1506047581,13,17
1506054781,17,23
1506058381,9,9
1506065582,12,12
1506069181,20,17
1506076381,7,10
1506079981,11,12
1506087181,8,6
1506090781,17,13
1506097981,9,10
1506101581,14,15
1506105181,10,10
1506112381,18,19
1506115981,6,4
1506123182,6,6
1506126781,5,3
1506133981,10,9
1506141181,6,8
1506144781,20,21
1506151981,13,12
1506155581,14,16
1506162781,7,7
1506166381,10,11
1506173581,9,12
1506177181,16,11
1506184381,12,14
1506187981,2,2
1506191581,10,9
1506195181,10,8
1506202381,10,8
1506205981,9,13
1506209581,12,11
1506213181,5,6
1506216781,8,5
1506223981,18,16
1506227581,11,10
1506234781,12,14
1506238381,15,11
1506245581,9,13
1506249181,19,19
1506256381,16,18
1506259982,11,11
1506267181,12,11
1506270781,15,14
1506277981,18,17
1506281581,12,18
1506285181,9,8
1506292381,11,9
1506295981,11,9
1506303181,8,9
1506306781,16,14
